"","gene","comparison","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr","GO"
"1","gene-LOC113664307","control_vs_mid","NW_020843977.1","Gnomon","gene",6,4295,".","+",".","ID=gene-LOC113664307;Dbxref=GeneID:113664307;Name=LOC113664307;gbkey=Gene;gene=LOC113664307;gene_biotype=protein_coding;partial=true;start_range=.,6;pdam_00021819;Pocillopora damicornis;113664307;NLR family CARD domain-containing protein 3-like","GO:0005515"
"2","gene-LOC113664313","control_vs_mid","NW_020843977.1","Gnomon","gene",64235,72470,".","+",".","ID=gene-LOC113664313;Dbxref=GeneID:113664313;Name=LOC113664313;gbkey=Gene;gene=LOC113664313;gene_biotype=protein_coding;;Pocillopora damicornis;113664313;NLR family CARD domain-containing protein 4-like",""
"3","gene-LOC113664651","control_vs_mid","NW_020844032.1","Gnomon","gene",40214,48535,".","+",".","ID=gene-LOC113664651;Dbxref=GeneID:113664651;Name=LOC113664651;gbkey=Gene;gene=LOC113664651;gene_biotype=protein_coding;pdam_00022934;Pocillopora damicornis;113664651;protein toll-like","GO:0005515,GO:0007165"
"4","gene-LOC113664668","control_vs_mid","NW_020844036.1","Gnomon","gene",3442,6334,".","+",".","ID=gene-LOC113664668;Dbxref=GeneID:113664668;Name=LOC113664668;gbkey=Gene;gene=LOC113664668;gene_biotype=protein_coding;pdam_00021329;Pocillopora damicornis;113664668;adhesion G-protein coupled receptor D1-like","GO:0004888,GO:0004930,GO:0007166,GO:0007186,GO:0016021"
"5","gene-LOC113664750","control_vs_mid","NW_020843402.1","Gnomon","pseudogene",1063715,1065017,".","+",".","ID=gene-LOC113664750;Dbxref=GeneID:113664750;Name=LOC113664750;gbkey=Gene;gene=LOC113664750;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113664750;solute carrier family 25 member 36-A pseudogene",""
"6","gene-LOC113664782","control_vs_mid","NW_020844063.1","Gnomon","gene",168620,170004,".","-",".","ID=gene-LOC113664782;Dbxref=GeneID:113664782;Name=LOC113664782;gbkey=Gene;gene=LOC113664782;gene_biotype=lncRNA;;Pocillopora damicornis;113664782;uncharacterized LOC113664782",""
"7","gene-LOC113664962","control_vs_mid","NW_020844103.1","Gnomon","gene",116989,122499,".","-",".","ID=gene-LOC113664962;Dbxref=GeneID:113664962;Name=LOC113664962;gbkey=Gene;gene=LOC113664962;gene_biotype=protein_coding;pdam_00010344;Pocillopora damicornis;113664962;protein Wnt-8b-like","GO:0005102,GO:0005576,GO:0007275,GO:0016055"
"8","gene-LOC113665071","control_vs_mid","NW_020844142.1","Gnomon","gene",8419,55238,".","-",".","ID=gene-LOC113665071;Dbxref=GeneID:113665071;Name=LOC113665071;gbkey=Gene;gene=LOC113665071;gene_biotype=protein_coding;pdam_00022171;Pocillopora damicornis;113665071;acyl-CoA dehydrogenase family member 11-like","GO:0008152,GO:0016627,GO:0050660,GO:0055114"
"9","gene-LOC113665082","control_vs_mid","NW_020844146.1","Gnomon","gene",113154,122438,".","-",".","ID=gene-LOC113665082;Dbxref=GeneID:113665082;Name=LOC113665082;gbkey=Gene;gene=LOC113665082;gene_biotype=protein_coding;pdam_00015166;Pocillopora damicornis;113665082;nose resistant to fluoxetine protein 6-like","GO:0016747"
"10","gene-LOC113665180","control_vs_mid","NW_020844152.1","Gnomon","gene",572583,574071,".","-",".","ID=gene-LOC113665180;Dbxref=GeneID:113665180;Name=LOC113665180;gbkey=Gene;gene=LOC113665180;gene_biotype=protein_coding;pdam_00003754;Pocillopora damicornis;113665180;TRAF-type zinc finger domain-containing protein 1-like","GO:0008270"
