"","prot","scaffold","Gene.Predict","id.x","gene.start","gene.stop","pos1.x","pos2.x","pos3.x","attr.x","Predict","id.y","start","stop","pos1.y","pos2.y","pos3.y","attr.y"
"1","Mcavernosa00001-RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Mcavernosa00103-RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Mcavernosa01252-RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Mcavernosa01732-RA","Sc0000019","maker","CDS",399404,399475,".","-","0","ID=Mcavernosa01732-RA:cds;Parent=Mcavernosa01732-RA;;transcript_id=Mcavernosa01732-RA:cds","Pfam","protein_match",860,1045,"5.0E-64","+",".","date=27-09-2020;Target=Mcavernosa01732-RA 860 1045;Ontology_term=GO:0009190,GO:0035556;ID=match$140227_860_1045;signature_desc=Adenylate and Guanylate cyclase catalytic domain;Name=PF00211;status=T;Dbxref=InterPro:IPR001054"
"5","Mcavernosa01732-RA","Sc0000019","maker","CDS",395310,395378,".","-","0","ID=Mcavernosa01732-RA:cds;Parent=Mcavernosa01732-RA;;transcript_id=Mcavernosa01732-RA:cds","Pfam","protein_match",549,792,"2.9E-41","+",".","date=27-09-2020;Target=Mcavernosa01732-RA 549 792;Ontology_term=GO:0004672,GO:0006468;ID=match$140237_549_792;signature_desc=Protein tyrosine and serine/threonine kinase;Name=PF07714;status=T;Dbxref=InterPro:IPR001245"
"6","Mcavernosa01732-RA","Sc0000019","maker","three_prime_UTR",392358,393361,".","-",".","ID=Mcavernosa01732-RA:three_prime_utr;Parent=Mcavernosa01732-RA;;transcript_id=Mcavernosa01732-RA:three_prime_utr","Pfam","protein_match",549,792,"2.9E-41","+",".","date=27-09-2020;Target=Mcavernosa01732-RA 549 792;Ontology_term=GO:0004672,GO:0006468;ID=match$140237_549_792;signature_desc=Protein tyrosine and serine/threonine kinase;Name=PF07714;status=T;Dbxref=InterPro:IPR001245"
"7","Mcavernosa01732-RA","Sc0000019","maker","CDS",395310,395378,".","-","0","ID=Mcavernosa01732-RA:cds;Parent=Mcavernosa01732-RA;;transcript_id=Mcavernosa01732-RA:cds","Pfam","protein_match",860,1045,"5.0E-64","+",".","date=27-09-2020;Target=Mcavernosa01732-RA 860 1045;Ontology_term=GO:0009190,GO:0035556;ID=match$140227_860_1045;signature_desc=Adenylate and Guanylate cyclase catalytic domain;Name=PF00211;status=T;Dbxref=InterPro:IPR001054"
"8","Mcavernosa01732-RA","Sc0000019","maker","three_prime_UTR",392358,393361,".","-",".","ID=Mcavernosa01732-RA:three_prime_utr;Parent=Mcavernosa01732-RA;;transcript_id=Mcavernosa01732-RA:three_prime_utr","Pfam","protein_match",860,1045,"5.0E-64","+",".","date=27-09-2020;Target=Mcavernosa01732-RA 860 1045;Ontology_term=GO:0009190,GO:0035556;ID=match$140227_860_1045;signature_desc=Adenylate and Guanylate cyclase catalytic domain;Name=PF00211;status=T;Dbxref=InterPro:IPR001054"
"9","Mcavernosa01732-RA","Sc0000019","maker","CDS",395310,395378,".","-","0","ID=Mcavernosa01732-RA:cds;Parent=Mcavernosa01732-RA;;transcript_id=Mcavernosa01732-RA:cds","Pfam","protein_match",813,853,"5.2E-6","+",".","date=27-09-2020;Target=Mcavernosa01732-RA 813 853;Ontology_term=GO:0004383,GO:0006182;ID=match$140222_813_853;signature_desc=Heme NO binding associated;Name=PF07701;status=T;Dbxref=InterPro:IPR011645,KEGG:00230+4.6.1.2"
"10","Mcavernosa01732-RA","Sc0000019","maker","exon",400982,401086,".","-",".","ID=Mcavernosa01732-RA:exon:2947;Parent=Mcavernosa01732-RA;;transcript_id=Mcavernosa01732-RA:exon:2947","Pfam","protein_match",860,1045,"5.0E-64","+",".","date=27-09-2020;Target=Mcavernosa01732-RA 860 1045;Ontology_term=GO:0009190,GO:0035556;ID=match$140227_860_1045;signature_desc=Adenylate and Guanylate cyclase catalytic domain;Name=PF00211;status=T;Dbxref=InterPro:IPR001054"
