"","gene","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"Acerv_evm.TU.Segkk1011_pilon.49","Acerv_evm.TU.Segkk1011_pilon.49",31,0,0,2,30,71,30,16,2,4,13,40,29,73,22,"Segkk1011_pilon","EVM","mRNA",661790,662233,".","+",".","ID=Acerv_evm.model.Segkk1011_pilon.49;Parent=Acerv_evm.TU.Segkk1011_pilon.49;product=PREDICTED:_uncharacterized_protein_LOC107346996_isoform_X1_;transcript_id=Acerv_evm.model.Segkk1011_pilon.49"
"Acerv_evm.TU.Segkk105_pilon.25","Acerv_evm.TU.Segkk105_pilon.25",93,63,216,206,93,128,110,122,242,303,124,160,68,183,64,"Segkk105_pilon","EVM","CDS",242184,242280,".","+","2","ID=cds.Acerv_evm.model.Segkk105_pilon.25;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=cds.Acerv_evm.model.Segkk105_pilon.25"
"Acerv_evm.TU.Segkk1071_pilon.13","Acerv_evm.TU.Segkk1071_pilon.13",35,0,55,47,23,39,0,27,25,46,20,0,19,24,8,"Segkk1071_pilon","EVM","exon",112470,112599,".","+",".","ID=Acerv_evm.model.Segkk1071_pilon.13.exon3;Parent=Acerv_evm.model.Segkk1071_pilon.13;transcript_id=Acerv_evm.model.Segkk1071_pilon.13.exon3"
"Acerv_evm.TU.Segkk1157_pilon.2","Acerv_evm.TU.Segkk1157_pilon.2",57,0,917,634,51,112,32,67,544,795,28,44,33,100,27,"Segkk1157_pilon","EVM","CDS",26933,27592,".","+","2","ID=cds.Acerv_evm.model.Segkk1157_pilon.2;Parent=Acerv_evm.model.Segkk1157_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk1157_pilon.2"
"Acerv_evm.TU.Segkk1169_pilon.5","Acerv_evm.TU.Segkk1169_pilon.5",750,0,0,0,520,907,627,727,0,0,578,810,308,962,373,"Segkk1169_pilon","EVM","CDS",66148,66770,".","+","2","ID=cds.Acerv_evm.model.Segkk1169_pilon.5;Parent=Acerv_evm.model.Segkk1169_pilon.5;transcript_id=cds.Acerv_evm.model.Segkk1169_pilon.5"
"Acerv_evm.TU.Segkk119_pilon.17","Acerv_evm.TU.Segkk119_pilon.17",110,0,35,36,108,186,75,283,28,36,72,50,81,132,38,"Segkk119_pilon","EVM","mRNA",199258,202854,".","-",".","ID=Acerv_evm.model.Segkk119_pilon.17;Parent=Acerv_evm.TU.Segkk119_pilon.17;product=Carbonic_anhydrase_9_;transcript_id=Acerv_evm.model.Segkk119_pilon.17"
"Acerv_evm.TU.Segkk1240_pilon.3","Acerv_evm.TU.Segkk1240_pilon.3",27,3,3,1,29,42,32,29,1,3,19,44,16,37,19,"Segkk1240_pilon","EVM","CDS",31018,32232,".","+","0","ID=cds.Acerv_evm.model.Segkk1240_pilon.3;Parent=Acerv_evm.model.Segkk1240_pilon.3;transcript_id=cds.Acerv_evm.model.Segkk1240_pilon.3"
"Acerv_evm.TU.Segkk1241_pilon.2","Acerv_evm.TU.Segkk1241_pilon.2",42,0,2,0,19,24,41,10,0,6,24,56,11,35,16,"Segkk1241_pilon","EVM","exon",5811,5877,".","+",".","ID=Acerv_evm.model.Segkk1241_pilon.2.exon1;Parent=Acerv_evm.model.Segkk1241_pilon.2;transcript_id=Acerv_evm.model.Segkk1241_pilon.2.exon1"
"Acerv_evm.TU.Segkk1268_pilon.2","Acerv_evm.TU.Segkk1268_pilon.2",25,0,7,6,27,35,30,43,10,12,35,50,14,39,28,"Segkk1268_pilon","EVM","exon",5673,5835,".","-",".","ID=Acerv_evm.model.Segkk1268_pilon.2.exon1;Parent=Acerv_evm.model.Segkk1268_pilon.2;transcript_id=Acerv_evm.model.Segkk1268_pilon.2.exon1"
"Acerv_evm.TU.Segkk1276_pilon.3","Acerv_evm.TU.Segkk1276_pilon.3",27,0,50,58,29,31,0,15,29,30,15,0,33,32,0,"Segkk1276_pilon","EVM","exon",49631,49763,".","+",".","ID=Acerv_evm.model.Segkk1276_pilon.3.exon2;Parent=Acerv_evm.model.Segkk1276_pilon.3;transcript_id=Acerv_evm.model.Segkk1276_pilon.3.exon2"
