"","gene_id","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","23_ctl1_Of_CT_1","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"1","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",819378,819498,".","+","2","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"2","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",815043,815089,".","+","0","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"3","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","mRNA",801692,820379,".","+",".","ID=rna-XM_020745087.1;Parent=gene-LOC110039914;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;Name=XM_020745087.1;gbkey=mRNA;gene=LOC110039914;model_evidence=Supporting evidence includes similarity to: 8 mRNAs%2C 9 ESTs%2C 57 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 32 samples with support for all annotated introns;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"4","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",813807,814008,".","+",".","ID=exon-XM_020745088.1-5;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"5","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",812194,812294,".","+",".","ID=exon-XM_020745088.1-2;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"6","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",816259,816347,".","+","0","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"7","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",813251,813281,".","+",".","ID=exon-XM_020745088.1-4;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"8","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",819378,819498,".","+","2","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"9","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",816803,816873,".","+","1","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"10","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",812583,812654,".","+",".","ID=exon-XM_020745088.1-3;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"11","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",814849,814918,".","+","1","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"12","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","mRNA",802511,820379,".","+",".","ID=rna-XM_020745088.1;Parent=gene-LOC110039914;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;Name=XM_020745088.1;gbkey=mRNA;gene=LOC110039914;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 6 ESTs%2C 5 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 18 samples with support for all annotated introns;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
