Species,Site,gene_id,length,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,,ontology,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Treatment_Compare,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,PDB ID,PDB description,Species,Macromolecule ,e-value
Acervicornis,FL,Acerv_evm.model.Segkk1079_pilon.5,4437,GO:0020037,0.03354113,0.99268367,4,55,heme binding,,MF,4342.4442,-1.2844781,0.36994036,-3.4721221,0.00051636,0.03647207,CvsT2,XM_015900044.1,peroxidase-like,Acropora digitifera,4305,0,NR_027647.2,lactoperoxidase,Homo sapiens,57.2,2.00E-04,"3NIU: Entity 1: Chains A, B",Crystal structure of the complex of dimeric goat lactoperoxidase with diethylene glycol at 2.9 A resolution,Capra hircus,Lactoperoxidase,2.98E-72
Acervicornis,FL,Acerv_evm.model.Segkk1303_pilon.10,2091,GO:0071705,0.04236235,0.99954373,1,2,nitrogen compound transport,,BP,444.856808,-1.8703135,0.46732661,-4.0021548,6.28E-05,0.01847268,T1vsT2,XM_029357455.1,glycine betaine transporter 1-like,Acropora millepora,3718,0,NA,NA,NA,NA,NA,"2WIT: Entity 1: Chains A, B, C",CRYSTAL STRUCTURE OF THE SODIUM-COUPLED GLYCINE BETAINE SYMPORTER BETP FROM CORYNEBACTERIUM GLUTAMICUM WITH BOUND SUBSTRATE,Corynebacterium glutamicum,GLYCINE BETAINE TRANSPORTER BETP,2.63E-64
Acervicornis,FL,Acerv_evm.model.Segkk169_pilon.1,866,GO:0004559,0.04485765,0.99948773,1,2,alpha-mannosidase activity,downreg of mannosidase--> decline in metabolism?,MF,36.2686923,-2.8730387,0.63959652,-4.4919549,7.06E-06,0.00205821,CvsT4,XM_029334638.1,lysosomal alpha-mannosidase-like,Acropora millepora,1411,0,NM_000528.4,mannosidase alpha class 2B member 1 (MAN2B1),Homo sapiens,8.60E+01,9.00E-14,1O7D: Entity 1: Chain A,The structure of the bovine lysosomal a-mannosidase suggests a novel mechanism for low pH activation,Bos taurus,Lysosomal alpha-mannosidase,1.05E-108
Acervicornis,FL,Acerv_evm.model.Segkk169_pilon.1,866,GO:0004559,0.04485765,0.99948773,1,2,alpha-mannosidase activity,,MF,36.2686923,-2.7246812,0.58525895,-4.6555139,3.23E-06,0.0007689,CvsT2,XM_029334638.2,lysosomal alpha-mannosidase-like,Acropora millepora,1411,0,NM_000528.4,mannosidase alpha class 2B member 1 (MAN2B1),Homo sapiens,8.60E+01,9.00E-14,1O7D: Entity 1: Chain A,The structure of the bovine lysosomal a-mannosidase suggests a novel mechanism for low pH activation,Bos taurus,Lysosomal alpha-mannosidase,1.05E-108
Acervicornis,FL,Acerv_evm.model.Segkk169_pilon.1,866,GO:0006013,0.04485765,0.99948773,1,2,mannose metabolic process,,BP,36.2686923,-2.8730387,0.63959652,-4.4919549,7.06E-06,0.00205821,CvsT4,XM_029334638.3,lysosomal alpha-mannosidase-like,Acropora millepora,1411,0,NM_000528.4,mannosidase alpha class 2B member 1 (MAN2B1),Homo sapiens,8.60E+01,9.00E-14,1O7D: Entity 1: Chain A,The structure of the bovine lysosomal a-mannosidase suggests a novel mechanism for low pH activation,Bos taurus,Lysosomal alpha-mannosidase,1.05E-108
Acervicornis,FL,Acerv_evm.model.Segkk169_pilon.1,866,GO:0006013,0.04485765,0.99948773,1,2,mannose metabolic process,,BP,36.2686923,-2.7246812,0.58525895,-4.6555139,3.23E-06,0.0007689,CvsT2,XM_029334638.4,lysosomal alpha-mannosidase-like,Acropora millepora,1411,0,NM_000528.4,mannosidase alpha class 2B member 1 (MAN2B1),Homo sapiens,8.60E+01,9.00E-14,1O7D: Entity 1: Chain A,The structure of the bovine lysosomal a-mannosidase suggests a novel mechanism for low pH activation,Bos taurus,Lysosomal alpha-mannosidase,1.05E-108
Acervicornis,FL,Acerv_evm.model.Segkk1774_pilon.15,1089,GO:0020037,0.03354113,0.99268367,4,55,heme binding,,MF,116.828142,1.13409952,0.30605519,3.70553928,0.00021094,0.01907121,CvsT2,XM_029345105.1,cytochrome P450 4V2-like,Acropora millepora,1005,0,NM_207352.4,cytochrome P450 family 4 subfamily V member 2 (CYP4V2),Homo sapiens,6.44E+01,4.00E-07,6C94: Entity 1: Chain A,Structure Of Cytochrome P450 4B1 (CYP4B1) Complexed with the Inhibitor HET0016,Oryctolagus cuniculus,Cytochrome P450 4B1,4.93E-61
Acervicornis,FL,Acerv_evm.model.Segkk1777_pilon.32,1677,GO:0030245,0.02143158,1,1,1,cellulose catabolic process,,BP,74.0691955,1.45011798,0.37889101,3.82726945,0.00012957,0.03050658,T1vsT2,XM_029336920.1,endoglucanase A-like ,Acropora millepora,2915,0,NA,NA,NA,NA,NA,3WC3: Entity 1: Chain A,"Crystal structure of endo-1,4-beta-glucanase from Eisenia fetida",Eisenia fetida,"Endo-1, 4-beta-glucanase",1.49E-169
Acervicornis,FL,Acerv_evm.model.Segkk1777_pilon.32,1677,GO:0008810,0.02143158,1,1,1,cellulase activity,,MF,74.0691955,1.45011798,0.37889101,3.82726945,0.00012957,0.03050658,T1vsT2,XM_029336920.2,endoglucanase A-like ,Acropora millepora,2915,0,NA,NA,NA,NA,NA,3WC3: Entity 1: Chain A,"Crystal structure of endo-1,4-beta-glucanase from Eisenia fetida",Eisenia fetida,"Endo-1, 4-beta-glucanase",1.49E-169
Acervicornis,FL,Acerv_evm.model.Segkk1777_pilon.32,1677,GO:0000272,0.03794971,0.99963467,1,2,polysaccharide catabolic process,,BP,74.0691955,1.45011798,0.37889101,3.82726945,1.30E-04,0.03050658,T1vsT2,XM_029336920.3,endoglucanase A-like ,Acropora millepora,2915,0,NA,NA,NA,NA,NA,3WC3: Entity 1: Chain A,"Crystal structure of endo-1,4-beta-glucanase from Eisenia fetida",Eisenia fetida,"Endo-1, 4-beta-glucanase",1.49E-169
