Metadata,,,,GOSeq,,,,,,,DESeq2,,,,,,,BLASTn (pdam included),,,,,BLASTn (pdam excluded),,,,,BLASTn (Homo sapiens),,,,,PDB  ,,,,
Species,Site,gene_id,length,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Treatment_Compare,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,PDB ID,PDB description,Species,Macromolecule ,e-value
Pdamicornis,Hawaii,LOC113664141,12015,GO:0007154,5.10E-04,0.99997042,4,15,cell communication,BP,290.482135,-2.3263831,0.4096408,-5.6790805,1.35E-08,2.88E-06,CvsHigh,XM_027179738.1,multiple epidermal growth factor-like domains protein 11,Pocillopora damicornis,5753,0,XM_022946726.1,uncharacterized,Stylophora pistillata,1182,0,CP068260.1,isolate CHM13 chromosome 18,Homo sapiens,43.7,3.6,4CBZ: Entity 1,"Notch ligand, Jagged-1, contains an N-terminal C2 domain",Homo sapiens,PROTEIN JAGGED-1,1.24E-20
Pdamicornis,Hawaii,LOC113664141,12015,GO:0007154,0.00050955,0.99997042,4,15,cell communication,BP,290.482135,-2.2830264,0.40969283,-5.572532,2.51E-08,5.52E-06,CvsMid,XM_027179738.1,multiple epidermal growth factor-like domains protein 11,Pocillopora damicornis,5753,0,XM_022946726.1,uncharacterized,Stylophora pistillata,1182,0,CP068260.1,isolate CHM13 chromosome 18,Homo sapiens,43.7,3.6,4CBZ: Entity 1,"Notch ligand, Jagged-1, contains an N-terminal C2 domain",Homo sapiens,PROTEIN JAGGED-1,1.24E-20
Pdamicornis,Hawaii,LOC113664150,2364,GO:0007154,0.00050955,0.99997042,4,15,cell communication,BP,183.041454,-2.8815137,0.83282215,-3.4599389,5.40E-04,0.02804449,CvsMid,XM_027179745.1,jagged-1-like,Pocillopora damicornis,2940,0.00E+00,XM_022946726.1,uncharacterized,Stylophora pistillata,1182,0,AC245857.2,FOSMID clone ABC9-43975400N15 from chromosome unknown,Homo sapiens,44.6,0.52,4CBZ: Entity 1,"Notch ligand, Jagged-1, contains an N-terminal C2 domain",Homo sapiens,PROTEIN JAGGED-1,2.43E-21
Pdamicornis,Hawaii,LOC113665266,3140,GO:0048487,0.04595716,0.99946048,1,2,beta-tubulin binding,MF,164.019317,-5.247897,0.47328822,-11.088163,1.43E-28,1.98E-25,CvsHigh,XM_027180942.1,tubulin-specific chaperone A-like,Pocillopora damicornis,1476,0,XM_022924730.1,tubulin-specific chaperone A-like,Stylophora pistillata,237,3.00E-118,NM_004607.3,tubulin folding cofactor A (TBCA),Homo sapiens,66.2,8.00E-08,1H7C: Entity 1,human tubulin chaperone cofactor a,Homo sapiens,TUBULIN-SPECIFIC CHAPERONE A,2.77E-25
Pdamicornis,Hawaii,LOC113665266,3140,GO:0048487,0.04595716,0.99946048,1,2,beta-tubulin binding,MF,164.019317,-5.373986,0.47301816,-11.361056,6.53E-30,1.01E-26,CvsMid,XM_027180942.1,tubulin-specific chaperone A-like,Pocillopora damicornis,1476,0,XM_022924730.1,tubulin-specific chaperone A-like,Stylophora pistillata,237,3.00E-118,NM_004607.3,tubulin folding cofactor A (TBCA),Homo sapiens,66.2,8.00E-08,1H7C: Entity 1,human tubulin chaperone cofactor a,Homo sapiens,TUBULIN-SPECIFIC CHAPERONE A,2.77E-25
Pdamicornis,Hawaii,LOC113665266,3140,GO:0007021,0.04595716,0.99946048,1,2,tubulin complex assembly,BP,164.019317,-5.247897,0.47328822,-11.088163,1.43E-28,1.98E-25,CvsHigh,XM_027180942.1,tubulin-specific chaperone A-like,Pocillopora damicornis,1476,0,XM_022924730.1,tubulin-specific chaperone A-like,Stylophora pistillata,237,3.00E-118,NM_004607.3,tubulin folding cofactor A (TBCA),Homo sapiens,66.2,8.00E-08,1H7C: Entity 1,human tubulin chaperone cofactor a,Homo sapiens,TUBULIN-SPECIFIC CHAPERONE A,2.77E-25
Pdamicornis,Hawaii,LOC113665266,3140,GO:0007021,4.60E-02,0.99946048,1,2,tubulin complex assembly,BP,164.019317,-5.373986,0.47301816,-11.361056,6.53E-30,1.01E-26,CvsMid,XM_027180942.1,tubulin-specific chaperone A-like,Pocillopora damicornis,1476,0,XM_022924730.1,tubulin-specific chaperone A-like,Stylophora pistillata,237,3.00E-118,NM_004607.3,tubulin folding cofactor A (TBCA),Homo sapiens,66.2,8.00E-08,1H7C: Entity 1,human tubulin chaperone cofactor a,Homo sapiens,TUBULIN-SPECIFIC CHAPERONE A,2.77E-25
Pdamicornis,Hawaii,LOC113665266,3140,GO:0007023,4.60E-02,0.99946048,1,2,post-chaperonin tubulin folding pathway,BP,164.019317,-5.247897,0.47328822,-11.088163,1.43E-28,1.98E-25,CvsHigh,XM_027180942.1,tubulin-specific chaperone A-like,Pocillopora damicornis,1476,0,XM_022924730.1,tubulin-specific chaperone A-like,Stylophora pistillata,237,3.00E-118,NM_004607.3,tubulin folding cofactor A (TBCA),Homo sapiens,66.2,8.00E-08,1H7C: Entity 1,human tubulin chaperone cofactor a,Homo sapiens,TUBULIN-SPECIFIC CHAPERONE A,2.77E-25
Pdamicornis,Hawaii,LOC113665266,3140,GO:0007023,0.04595716,0.99946048,1,2,post-chaperonin tubulin folding pathway,BP,164.019317,-5.373986,0.47301816,-11.361056,6.53E-30,1.01E-26,CvsMid,XM_027180942.1,tubulin-specific chaperone A-like,Pocillopora damicornis,1476,0,XM_022924730.1,tubulin-specific chaperone A-like,Stylophora pistillata,237,3.00E-118,NM_004607.3,tubulin folding cofactor A (TBCA),Homo sapiens,66.2,8.00E-08,1H7C: Entity 1,human tubulin chaperone cofactor a,Homo sapiens,TUBULIN-SPECIFIC CHAPERONE A,2.77E-25
Pdamicornis,Hawaii,LOC113665451,13761,GO:0004817,2.44E-02,1,1,1,cysteine-tRNA ligase activity,MF,312.520084,-0.911683,0.27705643,-3.2906039,1.00E-03,0.03540205,CvsHigh,XM_027181141.1,"cysteine--tRNA ligase, cytoplasmic-like",Pocillopora damicornis,4650,0.00E+00,XM_022923201.1,"cysteine--tRNA ligase, cytoplasmic-like",Stylophora pistillata,3.45E+03,0.00E+00,NR_165430.1,cysteinyl-tRNA synthetase 1 (CARS1),Homo sapiens,176,2.00E-40,3TQO: Entity 1,Structure of the cysteinyl-tRNA synthetase (cysS) from Coxiella burnetii.,Coxiella burnetii,Cysteinyl-tRNA synthetase,5.49E-66
