"","gene_id","Orthogroup"
"1","Pocillopora_acuta_HIv1_PredGene_11122_t","OG0000127"
"2","Pocillopora_acuta_HIv1_PredGene_11200_t","OG0000669"
"3","Pocillopora_acuta_HIv1_PredGene_17795_t","OG0004726"
"4","Pocillopora_acuta_HIv1_PredGene_18567_t","OG0002222"
"5","Pocillopora_acuta_HIv1_PredGene_22960_t","OG0001696"
"6","Pocillopora_acuta_HIv1_PredGene_23744_t","OG0009134"
"7","Pocillopora_acuta_HIv1_PredGene_29511_t","OG0003325"
"8","Pocillopora_acuta_HIv1_PredGene_29635_t","OG0001459"
"9","Pocillopora_acuta_HIv1_PredGene_31452_t","OG0003268"
"10","Pocillopora_acuta_HIv1_PredGene_5516_t","OG0001880"
"11","Pocillopora_acuta_HIv1_PredGene_9973_t","OG0007456"
"12","Pocillopora_acuta_HIv1_PredGene_g10201.t1","OG0012168"
"13","Pocillopora_acuta_HIv1_PredGene_g10202.t1","OG0012167"
"14","Pocillopora_acuta_HIv1_PredGene_g10269.t1","OG0016091"
"15","Pocillopora_acuta_HIv1_PredGene_g10524.t1","OG0001367"
"16","Pocillopora_acuta_HIv1_PredGene_g10956.t1","OG0000812"
"17","Pocillopora_acuta_HIv1_PredGene_g10961.t1","OG0015011"
"18","Pocillopora_acuta_HIv1_PredGene_g10986.t1","OG0004372"
"19","Pocillopora_acuta_HIv1_PredGene_g11351.t1","OG0001310"
"20","Pocillopora_acuta_HIv1_PredGene_g11358.t1","OG0001310"
"21","Pocillopora_acuta_HIv1_PredGene_g1152.t1","OG0008410"
"22","Pocillopora_acuta_HIv1_PredGene_g11568.t1","OG0006916"
"23","Pocillopora_acuta_HIv1_PredGene_g11568.t2","OG0006916"
"24","Pocillopora_acuta_HIv1_PredGene_g11569.t1","OG0006916"
"25","Pocillopora_acuta_HIv1_PredGene_g11845.t1","OG0011548"
"26","Pocillopora_acuta_HIv1_PredGene_g11986.t1","OG0010914"
"27","Pocillopora_acuta_HIv1_PredGene_g12058.t1","OG0010185"
"28","Pocillopora_acuta_HIv1_PredGene_g12087.t1","OG0006718"
"29","Pocillopora_acuta_HIv1_PredGene_g12092.t1","OG0019183"
"30","Pocillopora_acuta_HIv1_PredGene_g12696.t1","OG0001977"
"31","Pocillopora_acuta_HIv1_PredGene_g1271.t1","OG0009928"
"32","Pocillopora_acuta_HIv1_PredGene_g1272.t1","OG0009928"
"33","Pocillopora_acuta_HIv1_PredGene_g1281.t1","OG0015224"
"34","Pocillopora_acuta_HIv1_PredGene_g1342.t1","OG0020688"
"35","Pocillopora_acuta_HIv1_PredGene_g14138.t1","OG0000344"
"36","Pocillopora_acuta_HIv1_PredGene_g1441.t1","OG0000805"
"37","Pocillopora_acuta_HIv1_PredGene_g14435.t1","OG0012582"
"38","Pocillopora_acuta_HIv1_PredGene_g14714.t1","OG0003466"
"39","Pocillopora_acuta_HIv1_PredGene_g14792.t1","OG0000469"
"40","Pocillopora_acuta_HIv1_PredGene_g15469.t1","OG0019178"
"41","Pocillopora_acuta_HIv1_PredGene_g15901.t1","OG0008322"
"42","Pocillopora_acuta_HIv1_PredGene_g16052.t1","OG0003039"
"43","Pocillopora_acuta_HIv1_PredGene_g1629.t1","OG0001296"
"44","Pocillopora_acuta_HIv1_PredGene_g1630.t1","OG0001296"
"45","Pocillopora_acuta_HIv1_PredGene_g16370.t1","OG0000194"
"46","Pocillopora_acuta_HIv1_PredGene_g17083.t1","OG0011284"
"47","Pocillopora_acuta_HIv1_PredGene_g17325.t1","OG0001018"
"48","Pocillopora_acuta_HIv1_PredGene_g17591.t1","OG0010322"
"49","Pocillopora_acuta_HIv1_PredGene_g17717.t1","OG0009442"
"50","Pocillopora_acuta_HIv1_PredGene_g17860.t1","OG0019119"
"51","Pocillopora_acuta_HIv1_PredGene_g1790.t1","OG0000505"
"52","Pocillopora_acuta_HIv1_PredGene_g17977.t1","OG0001364"
"53","Pocillopora_acuta_HIv1_PredGene_g18273.t1","OG0012148"
"54","Pocillopora_acuta_HIv1_PredGene_g18552.t1","OG0000605"
"55","Pocillopora_acuta_HIv1_PredGene_g18651.t1","OG0000498"
"56","Pocillopora_acuta_HIv1_PredGene_g18672.t1","OG0000605"
"57","Pocillopora_acuta_HIv1_PredGene_g18846.t1","OG0010411"
"58","Pocillopora_acuta_HIv1_PredGene_g18847.t1","OG0017213"
"59","Pocillopora_acuta_HIv1_PredGene_g18980.t1","OG0007132"
"60","Pocillopora_acuta_HIv1_PredGene_g19003.t1","OG0000487"
"61","Pocillopora_acuta_HIv1_PredGene_g19073.t1","OG0002070"
"62","Pocillopora_acuta_HIv1_PredGene_g1931.t1","OG0004902"
"63","Pocillopora_acuta_HIv1_PredGene_g19390.t1","OG0000960"
"64","Pocillopora_acuta_HIv1_PredGene_g19457.t1","OG0007099"
"65","Pocillopora_acuta_HIv1_PredGene_g19464.t1","OG0003901"
"66","Pocillopora_acuta_HIv1_PredGene_g19464.t2","OG0003901"
"67","Pocillopora_acuta_HIv1_PredGene_g19487.t1","OG0000872"
"68","Pocillopora_acuta_HIv1_PredGene_g19554.t1","OG0001361"
"69","Pocillopora_acuta_HIv1_PredGene_g19722.t1","OG0014533"
"70","Pocillopora_acuta_HIv1_PredGene_g19878.t1","OG0009287"
"71","Pocillopora_acuta_HIv1_PredGene_g20016.t1","OG0005595"
"72","Pocillopora_acuta_HIv1_PredGene_g20277.t1","OG0001880"
"73","Pocillopora_acuta_HIv1_PredGene_g20469.t1","OG0005323"
"74","Pocillopora_acuta_HIv1_PredGene_g20634.t1","OG0002471"
"75","Pocillopora_acuta_HIv1_PredGene_g20640.t1","OG0009908"
"76","Pocillopora_acuta_HIv1_PredGene_g20815.t1","OG0001575"
"77","Pocillopora_acuta_HIv1_PredGene_g20859.t1","OG0004127"
"78","Pocillopora_acuta_HIv1_PredGene_g21047.t1","OG0005501"
"79","Pocillopora_acuta_HIv1_PredGene_g21053.t1","OG0001186"
"80","Pocillopora_acuta_HIv1_PredGene_g21093.t1","OG0003976"
"81","Pocillopora_acuta_HIv1_PredGene_g21093.t2","OG0003976"
"82","Pocillopora_acuta_HIv1_PredGene_g21278.t1","OG0015574"
"83","Pocillopora_acuta_HIv1_PredGene_g21283.t1","OG0001405"
"84","Pocillopora_acuta_HIv1_PredGene_g21407.t1","OG0007476"
"85","Pocillopora_acuta_HIv1_PredGene_g21804.t1","OG0003325"
"86","Pocillopora_acuta_HIv1_PredGene_g21804.t2","OG0003325"
"87","Pocillopora_acuta_HIv1_PredGene_g21804.t3","OG0003325"
"88","Pocillopora_acuta_HIv1_PredGene_g21894.t1","OG0017277"
"89","Pocillopora_acuta_HIv1_PredGene_g22418.t1","OG0002222"
"90","Pocillopora_acuta_HIv1_PredGene_g22645.t1","OG0006950"
"91","Pocillopora_acuta_HIv1_PredGene_g22696.t1","OG0010255"
"92","Pocillopora_acuta_HIv1_PredGene_g22710.t1","OG0006401"
"93","Pocillopora_acuta_HIv1_PredGene_g22710.t2","OG0006401"
"94","Pocillopora_acuta_HIv1_PredGene_g22714.t1","OG0000576"
"95","Pocillopora_acuta_HIv1_PredGene_g22758.t1","OG0011436"
"96","Pocillopora_acuta_HIv1_PredGene_g2314.t1","OG0000121"
"97","Pocillopora_acuta_HIv1_PredGene_g23872.t1","OG0000624"
"98","Pocillopora_acuta_HIv1_PredGene_g23878.t1","OG0000624"
"99","Pocillopora_acuta_HIv1_PredGene_g23882.t1","OG0000624"
"100","Pocillopora_acuta_HIv1_PredGene_g24043.t1","OG0008564"
"101","Pocillopora_acuta_HIv1_PredGene_g24448.t1","OG0014459"
"102","Pocillopora_acuta_HIv1_PredGene_g24638.t1","OG0007608"
"103","Pocillopora_acuta_HIv1_PredGene_g25285.t1","OG0000307"
"104","Pocillopora_acuta_HIv1_PredGene_g25362.t1","OG0002355"
"105","Pocillopora_acuta_HIv1_PredGene_g25397.t1","OG0001459"
"106","Pocillopora_acuta_HIv1_PredGene_g25581.t1","OG0002791"
"107","Pocillopora_acuta_HIv1_PredGene_g2599.t1","OG0001273"
"108","Pocillopora_acuta_HIv1_PredGene_g26402.t1","OG0001342"
"109","Pocillopora_acuta_HIv1_PredGene_g26522.t1","OG0001196"
"110","Pocillopora_acuta_HIv1_PredGene_g26843.t1","OG0016565"
"111","Pocillopora_acuta_HIv1_PredGene_g2699.t1","OG0005799"
"112","Pocillopora_acuta_HIv1_PredGene_g27085.t1","OG0001208"
"113","Pocillopora_acuta_HIv1_PredGene_g27314.t1","OG0001309"
"114","Pocillopora_acuta_HIv1_PredGene_g27440.t1","OG0004504"
"115","Pocillopora_acuta_HIv1_PredGene_g27509.t1","OG0007310"
"116","Pocillopora_acuta_HIv1_PredGene_g27868.t1","OG0012725"
"117","Pocillopora_acuta_HIv1_PredGene_g28160.t1","OG0006718"
