Orthogroup	Mcavernosa.maker.proteins	plut2v1.1.proteins
OG0000000	Mcavernosa09902-RA	plut2.m8.3510.m1, plut2.m8.30823.m1
OG0000000	Mcavernosa18934-RA	plut2.m8.32705.m1
OG0000000	Mcavernosa11813-RA	plut2.m8.26372.m1, plut2.m8.27293.m1, plut2.m8.26371.m1, plut2.m8.27292.m1, plut2.m8.6473.m1, plut2.m8.18377.m1, plut2.m8.20266.m1, plut2.m8.26267.m1, plut2.m8.4404.m1, plut2.m8.4396.m1, plut2.m8.4416.m1, plut2.m8.18051.m1, plut2.m8.24912.m1, plut2.m8.27289.m1, plut2.m8.26393.m1, plut2.m8.26394.m1, plut2.m8.6474.m1
OG0000001	Mcavernosa08070-RA	plut2.m8.15540.m1
OG0000001	Mcavernosa18525-RA	plut2.m8.25994.m1, plut2.m8.20475.m1, plut2.m8.20471.m1, plut2.m8.32991.m1, plut2.m8.22307.m1, plut2.m8.684.m1, plut2.m8.33194.m1, plut2.m8.26901.m1, plut2.m8.11776.m1, plut2.m8.18059.m1, plut2.m8.21272.m1, plut2.m8.22761.m1, plut2.m8.17175.m1, plut2.m8.9393.m1, plut2.m8.24193.m1, plut2.m8.31464.m1, plut2.m8.24194.m1, plut2.m8.26908.m1, plut2.m8.11771.m1, plut2.m8.21095.m1, plut2.m8.22704.m1, plut2.m8.22759.m1, plut2.m8.18026.m1, plut2.m8.24398.m1, plut2.m8.4493.m1, plut2.m8.7081.m1, plut2.m8.17031.m1, plut2.m8.24387.m1, plut2.m8.21493.m1, plut2.m8.7402.m1, plut2.m8.27440.m1, plut2.m8.25721.m1, plut2.m8.21804.m1, plut2.m8.33378.m1, plut2.m8.12889.m1, plut2.m8.33377.m1, plut2.m8.12647.m1, plut2.m8.17557.m1, plut2.m8.17567.m1, plut2.m8.28825.m1, plut2.m8.20898.m1, plut2.m8.30839.m1, plut2.m8.10005.m1, plut2.m8.27261.m1, plut2.m8.23621.m1, plut2.m8.30838.m1, plut2.m8.27260.m1, plut2.m8.20150.m1, plut2.m8.12880.m1, plut2.m8.6765.m1, plut2.m8.6287.m1, plut2.m8.25771.m1, plut2.m8.17061.m1, plut2.m8.31359.m1, plut2.m8.23674.m1, plut2.m8.21484.m1, plut2.m8.22485.m1, plut2.m8.26240.m1, plut2.m8.17950.m1, plut2.m8.3123.m1, plut2.m8.12765.m1, plut2.m8.28898.m1, plut2.m8.10658.m1, plut2.m8.15835.m1, plut2.m8.33187.m1, plut2.m8.14145.m1, plut2.m8.26256.m1, plut2.m8.20976.m1, plut2.m8.12882.m1
OG0000003	Mcavernosa06791-RA, Mcavernosa06790-RA	plut2.m8.11679.m1, plut2.m8.25183.m1, plut2.m8.28277.m1, plut2.m8.25182.m1, plut2.m8.25180.m1, plut2.m8.28280.m1, plut2.m8.28281.m1, plut2.m8.28279.m1, plut2.m8.32438.m1, plut2.m8.5156.m1, plut2.m8.1350.m1, plut2.m8.1341.m1, plut2.m8.1343.m1
OG0000003	Mcavernosa06384-RA	plut2.m8.976.m1, plut2.m8.32944.m1
OG0000004	Mcavernosa15460-RA	plut2.m8.633.m1
OG0000004	Mcavernosa05413-RA	plut2.m8.8386.m1
OG0000005	Mcavernosa01928-RA	plut2.m8.8653.m1
