"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","5_2","10_2","13_2","14_2","15_2","16_2","19_2","20_2","40_2","45_2","48_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"85","Montipora_capitata_PredGene_adi2mcaRNA21702_R1","GO:0005789",0.0141204061863821,0.995489334278983,8,358,"endoplasmic reticulum membrane","CC",1788,16,31,20,25,17,20,25,18,21,12,25,22.6480214953835,-1.57791365806358,0.33185349520637,-4.75485020003277,1.9859361518049e-06,0.000846803175129607,"CvsMid"
"297","Montipora_capitata_PredGene_g26572","GO:0005789",0.0141204061863821,0.995489334278983,8,358,"endoplasmic reticulum membrane","CC",948,96,56,212,152,21,20,36,39,34,299,32,75.3653619017043,2.02226505711371,0.49968590268457,4.04707246341964,5.18621899122069e-05,0.0134024471385242,"CvsHigh"
"327","Montipora_capitata_PredGene_g27724","GO:0005789",0.0141204061863821,0.995489334278983,8,358,"endoplasmic reticulum membrane","CC",981,6170,1080,3966,4387,767,705,1159,1191,882,2047,668,1679.22618887576,1.53972851748428,0.251593800168767,6.11989848895897,9.36349880082303e-10,1.14074168247741e-06,"CvsHigh"
"331","Montipora_capitata_PredGene_g28211","GO:0005789",0.0141204061863821,0.995489334278983,8,358,"endoplasmic reticulum membrane","CC",678,612,185,596,942,112,231,174,190,308,550,248,317.73333559496,0.790413766463975,0.203864298799061,3.87715637863129,0.000105684435101815,0.0209599270360065,"CvsMid"
"337","Montipora_capitata_PredGene_g30681","GO:0005789",0.0141204061863821,0.995489334278983,8,358,"endoplasmic reticulum membrane","CC",993,317,135,261,275,48,46,54,72,64,122,64,109.8258846057,1.16900115600087,0.312017271884955,3.74659117086281,0.000179253872761454,0.0326775675616467,"CvsHigh"
"343","Montipora_capitata_PredGene_g3118","GO:0005789",0.0141204061863821,0.995489334278983,8,358,"endoplasmic reticulum membrane","CC",1698,795,247,881,751,162,229,212,207,225,412,274,338.569761354664,0.660491196833898,0.176346510757959,3.74541687269585,0.000180094474131964,0.0326775675616467,"CvsHigh"
"586","Montipora_capitata_PredGene_g50913","GO:0005789",0.0141204061863821,0.995489334278983,8,358,"endoplasmic reticulum membrane","CC",420,911,232,770,1143,206,266,277,186,283,700,274,401.200529969516,0.702333115165927,0.193738958368706,3.62515170453901,0.000288791874054229,0.0460339645221395,"CvsMid"
"587","Montipora_capitata_PredGene_g50913","GO:0005789",0.0141204061863821,0.995489334278983,8,358,"endoplasmic reticulum membrane","CC",420,911,232,770,1143,206,266,277,186,283,700,274,401.200529969516,0.81276402179202,0.208616311663256,3.89597541684068,9.78043094480737e-05,0.0208518787743293,"CvsHigh"
"684","Montipora_capitata_PredGene_g62662","GO:0005789",0.0141204061863821,0.995489334278983,8,358,"endoplasmic reticulum membrane","CC",2334,806,587,892,962,460,523,391,486,605,484,650,607.926471555564,-0.56957696914895,0.146541700411286,-3.88679104685129,0.000101578119179248,0.0203825458908383,"CvsMid"
"101","Montipora_capitata_PredGene_adi2mcaRNA26720_R3","GO:0045177",9.24264887756612e-05,0.999989008865545,7,131,"apical part of cell","CC",694,1637,234,987,2350,248,292,379,270,273,818,273,548.673358547113,1.44378759547366,0.299302488799298,4.82384092850568,1.40819740234178e-06,0.000719045218036458,"CvsHigh"
"102","Montipora_capitata_PredGene_adi2mcaRNA26720_R3","GO:0045177",9.24264887756612e-05,0.999989008865545,7,131,"apical part of cell","CC",694,1637,234,987,2350,248,292,379,270,273,818,273,548.673358547113,1.02894117474215,0.276678783707209,3.71890161202604,0.000200090964256231,0.0344722372359018,"CvsMid"
"258","Montipora_capitata_PredGene_g22253","GO:0045177",9.24264887756612e-05,0.999989008865545,7,131,"apical part of cell","CC",513,2191,364,1388,1704,386,593,424,389,506,1095,544,730.788472586583,0.743465191661652,0.202150244911965,3.67778526306227,0.000235267893274107,0.0385839344969535,"CvsMid"
"446","Montipora_capitata_PredGene_g31443","GO:0045177",9.24264887756612e-05,0.999989008865545,7,131,"apical part of cell","CC",816,133,144,171,145,98,114,77,104,144,62,181,127.567876354046,-1.08538323744018,0.259955577545479,-4.17526428049152,2.97640310685721e-05,0.00906527346259937,"CvsHigh"
"447","Montipora_capitata_PredGene_g31443","GO:0045177",9.24264887756612e-05,0.999989008865545,7,131,"apical part of cell","CC",816,133,144,171,145,98,114,77,104,144,62,181,127.567876354046,-1.01012575443792,0.243743643575709,-4.14421373053845,3.40981614165011e-05,0.00923140065269592,"CvsMid"
"473","Montipora_capitata_PredGene_g32152","GO:0045177",9.24264887756612e-05,0.999989008865545,7,131,"apical part of cell","CC",1128,3394,639,1529,2372,590,597,726,788,569,1410,531,1017.2050019017,1.04145716651525,0.262916088204524,3.9611770189776,7.45812141389497e-05,0.0165202232253757,"CvsHigh"
"583","Montipora_capitata_PredGene_g48239","GO:0045177",9.24264887756612e-05,0.999989008865545,7,131,"apical part of cell","CC",1041,50,114,34,89,96,121,84,79,144,99,79,101.78252801131,-1.61859801516424,0.419506212947869,-3.85834098568019,0.000114159304154431,0.0220078617361787,"CvsMid"
