,gene_id,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,length,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Treatment_Compare
1,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0032727,0.002426724,0.999951118,2,11,positive regulation of interferon-alpha production,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
2,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0042588,0.01788027,0.999919865,1,2,zymogen granule,CC,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
3,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0006919,0.022168673,0.996947454,3,69,activation of cysteine-type endopeptidase activity involved in apoptotic process,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
4,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0046696,0.006015084,1,1,1,lipopolysaccharide receptor complex,CC,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
5,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0008035,0.006015084,1,1,1,high-density lipoprotein particle binding,MF,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
6,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0048291,0.006015084,1,1,1,isotype switching to IgG isotypes,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
7,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0002842,0.011991848,0.999964063,1,2,positive regulation of T cell mediated immune response to tumor cell,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
8,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0051702,0.028158564,0.999734034,1,3,interaction with symbiont,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
9,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0032755,0.026795979,0.997918488,2,32,positive regulation of interleukin-6 production,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
10,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0014823,0.005198109,0.999586516,3,44,response to activity,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
11,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0043032,0.025087681,0.999762993,1,4,positive regulation of macrophage activation,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
12,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0006458,0.006015084,1,1,1,'de novo' protein folding,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
13,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0043627,3.27E-05,0.999998253,5,49,response to estrogen,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
14,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0034186,0.029903947,0.999662563,1,4,apolipoprotein A-I binding,MF,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
15,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0034514,0.017932902,0.999892629,1,3,mitochondrial unfolded protein response,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
16,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0071866,0.006015084,1,1,1,negative regulation of apoptotic process in bone marrow cell,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
17,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0045121,0.00924824,0.998189392,5,162,membrane raft,CC,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
18,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0140030,0.011991848,0.999964063,1,2,modification-dependent protein binding,MF,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
19,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0042100,0.044670117,0.999159116,1,6,B cell proliferation,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
20,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0005769,0.026815699,0.993126861,5,201,early endosome,CC,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
21,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0050729,0.034070644,0.996969894,2,37,positive regulation of inflammatory response,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
22,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0034605,0.006982962,0.999380418,3,47,cellular response to heat,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
23,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0003725,0.00831173,0.999211814,3,51,double-stranded RNA binding,MF,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
24,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0031985,0.004866711,0.999858,2,12,Golgi cisterna,CC,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
25,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0050870,0.017932902,0.999892629,1,3,positive regulation of T cell activation,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
26,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0032760,0.022663513,0.998387527,2,33,positive regulation of tumor necrosis factor production,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
27,Montipora_capitata_PredGene_adi2mcaRNA10298_R0,GO:0045041,0.027219715,0.999751581,1,3,protein import into mitochondrial intermembrane space,BP,1770,1555.026697,0.625802441,0.17378852,3.600942354,0.000317066,0.048224078,CvsMid
