"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","5_2","10_2","13_2","14_2","15_2","16_2","19_2","20_2","40_2","45_2","48_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"203","Montipora_capitata_PredGene_adi2mcaRNA9177_R0","GO:0020037",0.00319130032408296,0.999516335531252,5,132,"heme binding","MF",3549,678,107,407,784,61,154,123,145,121,391,212,230.139824834375,1.1125834418097,0.267919859832617,4.15267252866134,3.28614829256142e-05,0.00904008794805284,"CvsMid"
"302","Montipora_capitata_PredGene_g26775","GO:0020037",0.00319130032408296,0.999516335531252,5,132,"heme binding","MF",4671,24,29,13,25,11,32,21,38,29,9,27,25.5999612610378,-1.74308342251578,0.390618889485119,-4.46236336602504,8.10606155846567e-06,0.0028803538737748,"CvsMid"
"303","Montipora_capitata_PredGene_g26775","GO:0020037",0.00319130032408296,0.999516335531252,5,132,"heme binding","MF",4671,24,29,13,25,11,32,21,38,29,9,27,25.5999612610378,-1.64064856771734,0.413819262365339,-3.96465007051533,7.35036931217456e-05,0.0165202232253757,"CvsHigh"
"330","Montipora_capitata_PredGene_g27898","GO:0020037",0.00319130032408296,0.999516335531252,5,132,"heme binding","MF",1560,1065,204,504,1024,150,222,185,261,197,485,137,330.683210481498,1.12604875070903,0.304369179417194,3.69961489814833,0.000215926867481498,0.0365376704624722,"CvsHigh"
"588","Montipora_capitata_PredGene_g50913","GO:0020037",0.00319130032408296,0.999516335531252,5,132,"heme binding","MF",420,911,232,770,1143,206,266,277,186,283,700,274,401.200529969516,0.702333115165927,0.193738958368706,3.62515170453901,0.000288791874054229,0.0460339645221395,"CvsMid"
"589","Montipora_capitata_PredGene_g50913","GO:0020037",0.00319130032408296,0.999516335531252,5,132,"heme binding","MF",420,911,232,770,1143,206,266,277,186,283,700,274,401.200529969516,0.81276402179202,0.208616311663256,3.89597541684068,9.78043094480737e-05,0.0208518787743293,"CvsHigh"
"656","Montipora_capitata_PredGene_g55802","GO:0020037",0.00319130032408296,0.999516335531252,5,132,"heme binding","MF",924,1533,374,1273,1611,294,329,341,341,412,580,341,557.221122506601,0.864332260152626,0.213994850393917,4.03903298869847,5.36720170362484e-05,0.0136631331726903,"CvsHigh"
"95","Montipora_capitata_PredGene_adi2mcaRNA26720_R3","GO:0004089",7.00887817282282e-05,0.999997428539973,4,23,"carbonate dehydratase activity","MF",694,1637,234,987,2350,248,292,379,270,273,818,273,548.673358547113,1.44378759547366,0.299302488799298,4.82384092850568,1.40819740234178e-06,0.000719045218036458,"CvsHigh"
"96","Montipora_capitata_PredGene_adi2mcaRNA26720_R3","GO:0004089",7.00887817282282e-05,0.999997428539973,4,23,"carbonate dehydratase activity","MF",694,1637,234,987,2350,248,292,379,270,273,818,273,548.673358547113,1.02894117474215,0.276678783707209,3.71890161202604,0.000200090964256231,0.0344722372359018,"CvsMid"
"99","Montipora_capitata_PredGene_adi2mcaRNA26720_R3","GO:0004064",3.92810004261384e-06,0.99999993885834,4,13,"arylesterase activity","MF",694,1637,234,987,2350,248,292,379,270,273,818,273,548.673358547113,1.44378759547366,0.299302488799298,4.82384092850568,1.40819740234178e-06,0.000719045218036458,"CvsHigh"
"100","Montipora_capitata_PredGene_adi2mcaRNA26720_R3","GO:0004064",3.92810004261384e-06,0.99999993885834,4,13,"arylesterase activity","MF",694,1637,234,987,2350,248,292,379,270,273,818,273,548.673358547113,1.02894117474215,0.276678783707209,3.71890161202604,0.000200090964256231,0.0344722372359018,"CvsMid"
"112","Montipora_capitata_PredGene_adi2mcaRNA3796_R3","GO:0005200",0.000708937443304743,0.999948767581069,4,51,"structural constituent of cytoskeleton","MF",1311,310,607,670,194,265,452,334,674,560,127,878,502.33038044213,-1.77806972826932,0.425181026425203,-4.18191221564803,2.89067584750406e-05,0.00809420291076694,"CvsMid"
"113","Montipora_capitata_PredGene_adi2mcaRNA3796_R3","GO:0005200",0.000708937443304743,0.999948767581069,4,51,"structural constituent of cytoskeleton","MF",1311,310,607,670,194,265,452,334,674,560,127,878,502.33038044213,-1.82535909691005,0.45870695784242,-3.97935777014553,6.91016856655339e-05,0.0163694215376576,"CvsHigh"
"278","Montipora_capitata_PredGene_g25159","GO:0005200",0.000708937443304743,0.999948767581069,4,51,"structural constituent of cytoskeleton","MF",1359,125,420,213,145,232,338,225,263,336,11,466,289.651168101481,-2.58694440135161,0.527880833177897,-4.90062195624331,9.55337317921335e-07,0.000543141109815543,"CvsHigh"
"279","Montipora_capitata_PredGene_g25159","GO:0005200",0.000708937443304743,0.999948767581069,4,51,"structural constituent of cytoskeleton","MF",1359,125,420,213,145,232,338,225,263,336,11,466,289.651168101481,-2.54840900624289,0.489704487092952,-5.2039731581205,1.95072194839099e-07,0.000118826834113417,"CvsMid"
"490","Montipora_capitata_PredGene_g36333","GO:0005200",0.000708937443304743,0.999948767581069,4,51,"structural constituent of cytoskeleton","MF",1344,34,61,38,45,70,83,50,61,123,0,97,69.3666478499949,-2.78344493743756,0.583042664673392,-4.77399872442746,1.80603525432348e-06,0.000880106779935464,"CvsHigh"
"491","Montipora_capitata_PredGene_g36333","GO:0005200",0.000708937443304743,0.999948767581069,4,51,"structural constituent of cytoskeleton","MF",1344,34,61,38,45,70,83,50,61,123,0,97,69.3666478499949,-2.45527532035571,0.54485788248676,-4.50626741261355,6.59779307672208e-06,0.00244634692862113,"CvsMid"
