"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","5_2","10_2","13_2","14_2","15_2","16_2","19_2","20_2","40_2","45_2","48_2"
"Montipora_capitata_PredGene_g19223",62.1778082885957,-0.919128366014602,0.246206142967525,-3.73316585417544,0.000189087993419505,0.0329090287322764,"CvsMid",79,65,72,103,43,61,62,53,45,35,63
"Montipora_capitata_PredGene_g14329",135.826817387627,-0.708428572458373,0.176628075741889,-4.0108491783244,6.05007509425279e-05,0.0137586774410101,"CvsMid",158,139,205,189,100,108,106,107,138,111,142
"Montipora_capitata_PredGene_g35456",284.460839598599,1.52115917824122,0.237596515196295,6.40227899379956,1.53074616841433e-10,2.0083389729596e-07,"CvsMid",769,95,668,984,113,160,145,98,150,683,164
"Montipora_capitata_PredGene_adi2mcaRNA3796_R3",502.33038044213,-1.77806972826932,0.425181026425203,-4.18191221564803,2.89067584750406e-05,0.00809420291076694,"CvsMid",310,607,670,194,265,452,334,674,560,127,878
"Montipora_capitata_PredGene_g61775",17.6762196375865,-2.60233910976073,0.46554702270023,-5.58985233041947,2.27262796606825e-08,1.84580678996476e-05,"CvsMid",7,17,11,9,16,26,17,16,22,0,25
"Montipora_capitata_PredGene_g63093",17.8346684624415,-1.99304080419224,0.502440397127628,-3.9667208599988,7.28682509058803e-05,0.0155355110931337,"CvsMid",19,14,12,12,16,21,20,17,22,0,22
"Montipora_capitata_PredGene_g9676",37.202902028934,-1.8045899668721,0.421388734291401,-4.28248270544455,1.84819501153467e-05,0.00573142074849734,"CvsMid",42,66,17,42,27,34,21,41,36,8,45
"Montipora_capitata_PredGene_g39266",116.990579850835,0.862062095606475,0.233849952797753,3.68638986364062,0.000227457812819672,0.0376652471403138,"CvsMid",239,81,216,336,48,74,58,54,80,233,119
"Montipora_capitata_PredGene_g66924",31.0929947906593,-2.09034485742237,0.49550762273515,-4.21859273502976,2.45831859321814e-05,0.00722915205619459,"CvsMid",26,78,9,25,19,18,20,25,43,16,28
"Montipora_capitata_PredGene_adi2mcaRNA38767_R7",22.109352596405,-2.10198210010421,0.528213027699749,-3.97942116130282,6.90832641731795e-05,0.0149149892878196,"CvsMid",6,37,8,24,13,33,25,10,16,9,35
"Montipora_capitata_PredGene_g24143",149.620999168334,1.15618847187317,0.230186060364209,5.02284312978728,5.09121272804917e-07,0.000280115239643892,"CvsMid",306,77,375,483,59,88,84,65,72,333,107
"Montipora_capitata_PredGene_adi2mcaRNA36296_R6",200.720417228593,-0.863004984718523,0.225418171920498,-3.82846235228494,0.000128946350467249,0.0233969037613767,"CvsMid",219,225,259,309,150,191,115,179,227,112,214
"Montipora_capitata_PredGene_g18729",200.807808281383,0.825603794562912,0.16887616357007,4.88881187912794,1.01446380111673e-06,0.00048063040532908,"CvsMid",506,108,492,436,88,131,113,115,148,348,158
"Montipora_capitata_PredGene_g43774",108.434994567514,-1.32453794927382,0.224087909447233,-5.91079613594998,3.40458181465134e-09,3.2260304128163e-06,"CvsMid",108,113,100,111,102,119,66,105,125,56,112
"Montipora_capitata_PredGene_g53226",213.545452508858,0.710090346461396,0.185801712815271,3.82176426525941,0.000132500321086476,0.0237886892257993,"CvsMid",660,142,423,530,88,121,122,145,145,330,138
"Montipora_capitata_PredGene_g35468",30.76911985901,-1.09979654697474,0.306461910526929,-3.58868919495984,0.000332344766973571,0.0497234416272037,"CvsMid",29,28,42,36,20,29,38,26,29,19,30
"Montipora_capitata_PredGene_adi2mcaRNA8620_R1",67.9994533756123,-2.84693431061734,0.325759878880479,-8.73936446808995,2.34425432924349e-18,7.9967203679154e-15,"CvsMid",19,81,34,18,55,73,56,54,89,11,149
"Montipora_capitata_PredGene_adi2mcaRNA12026_R0",40.3305184143875,-1.97626667054067,0.397564122897724,-4.97093816246864,6.66296999246962e-07,0.000355136300598631,"CvsMid",11,57,25,31,20,39,47,26,48,21,72
"Montipora_capitata_PredGene_g32748",744.431063691277,0.923254904804532,0.255511197993962,3.61336376664928,0.000302250193938004,0.0477331417389499,"CvsMid",1665,364,1491,2070,321,577,530,294,419,1549,548
"Montipora_capitata_PredGene_g22334",427.877792455207,0.608923379644816,0.152648307806304,3.98906079206251,6.6335421175011e-05,0.0146937265397531,"CvsMid",1177,274,772,1057,203,310,237,260,340,584,353
"Montipora_capitata_PredGene_g33747",132.464567006351,0.967732926734895,0.261609519802946,3.69915027352149,0.000216322496957948,0.0365306584961857,"CvsMid",306,65,212,372,59,88,69,72,91,316,93
"Montipora_capitata_PredGene_g61660",53.5958215837039,-2.07740502163667,0.392729128993393,-5.28966371035753,1.2254145699049e-07,8.36026836171921e-05,"CvsMid",43,103,26,43,26,37,40,62,46,17,93
"Montipora_capitata_PredGene_adi2mcaRNA26986_R2",72.564166517921,-1.74559804846546,0.410703176106708,-4.250266737679,2.13516092573214e-05,0.00638900083320832,"CvsMid",72,54,29,38,68,79,47,75,155,36,55
"Montipora_capitata_PredGene_adi2mcaRNA10298_R0",1555.02669736155,0.625802440730696,0.17378851955007,3.60094235425256,0.000317065877700654,0.0482240776358442,"CvsMid",3202,1031,3368,4701,795,1221,931,730,1115,1941,1338
"Montipora_capitata_PredGene_g40719",51.6620513476617,-0.996059249550007,0.25857118310141,-3.85216650054681,0.000117077369184334,0.0220078617361787,"CvsMid",53,45,64,57,29,50,42,47,73,24,70
"Montipora_capitata_PredGene_g29444",102.715167622297,2.63078456138179,0.60366928850214,4.35798973293713,1.31262539964834e-05,0.0043821238459957,"CvsMid",390,15,373,155,9,11,52,23,14,436,57
"Montipora_capitata_PredGene_g66821",294.433892607698,-4.69712064911566,0.900917625399148,-5.21370713225265,1.85103628313415e-07,0.000116930647574578,"CvsMid",17,351,8,5,325,105,117,402,579,59,635
"Montipora_capitata_PredGene_g67062",34.7481775450266,-2.52361645621059,0.571474071180826,-4.41597717810029,1.00554693751764e-05,0.00350012419720427,"CvsMid",0,47,21,16,27,37,34,37,37,19,48
"Montipora_capitata_PredGene_adi2mcaRNA1577_R1",15.0944743606089,-1.92835636324326,0.477761507641977,-4.03623216269722,5.43164689265366e-05,0.0130481928733945,"CvsMid",12,24,11,5,13,10,8,16,20,9,20
"Montipora_capitata_PredGene_g28211",317.73333559496,0.790413766463975,0.203864298799061,3.87715637863129,0.000105684435101815,0.0209599270360065,"CvsMid",612,185,596,942,112,231,174,190,308,550,248
"Montipora_capitata_PredGene_g41734",176.503596004498,-1.37026897920938,0.34094559555598,-4.01902531392108,5.84393926868464e-05,0.0134694902927953,"CvsMid",249,105,87,133,144,229,131,207,216,89,207
"Montipora_capitata_PredGene_adi2mcaRNA15384_R0",1020.6980525005,1.76948782819482,0.150610774485196,11.7487466234944,7.16740422092235e-32,1.22247246392052e-27,"CvsMid",2812,450,2893,3440,307,466,345,371,548,2594,581
"Montipora_capitata_PredGene_adi2mcaRNA4201_R8",30.2090528545957,-1.88049300193045,0.366619154177297,-5.12928192786415,2.90849480457296e-07,0.000165357624622655,"CvsMid",25,21,18,27,26,37,25,42,36,7,33
"Montipora_capitata_PredGene_g36718",73.7681204268675,-1.86763135495931,0.415216999090618,-4.49796458008625,6.86071235414245e-06,0.00248970872153731,"CvsMid",63,76,27,83,50,116,79,55,81,10,95
"Montipora_capitata_PredGene_adi2mcaRNA15070_R6",44.064763666251,-1.04015586394731,0.280717270035464,-3.70535045391365,0.000211098651603988,0.0360049860175763,"CvsMid",52,41,37,60,24,44,51,46,37,38,39
"Montipora_capitata_PredGene_g63102",1694.80006163767,-1.62812032445972,0.301484928672209,-5.40033736223645,6.65156903067049e-08,4.72704839112983e-05,"CvsMid",676,2029,1284,1818,1052,2101,1756,990,1843,751,2808
"Montipora_capitata_PredGene_g36333",69.3666478499949,-2.45527532035571,0.54485788248676,-4.50626741261355,6.59779307672208e-06,0.00244634692862113,"CvsMid",34,61,38,45,70,83,50,61,123,0,97
"Montipora_capitata_PredGene_g43715",514.504239209492,-0.901570937230578,0.231854236248357,-3.88852475511742,0.00010085538490944,0.0203825458908383,"CvsMid",633,640,647,581,267,439,428,364,531,304,789
"Montipora_capitata_PredGene_g50913",401.200529969516,0.702333115165927,0.193738958368706,3.62515170453901,0.000288791874054229,0.0460339645221395,"CvsMid",911,232,770,1143,206,266,277,186,283,700,274
"Montipora_capitata_PredGene_g22281",2799.81039710439,1.95829999617365,0.321028166711492,6.10008777807206,1.06010233354026e-09,1.13006908755392e-06,"CvsMid",6081,827,5857,11744,824,1479,1243,723,1310,9119,1284
"Montipora_capitata_PredGene_g55946",67.4354282519657,2.53658935003451,0.42169290947099,6.01525255242409,1.79606462992773e-09,1.80198107812043e-06,"CvsMid",137,20,243,383,12,9,26,11,13,192,31
"Montipora_capitata_PredGene_adi2mcaRNA21702_R1",22.6480214953835,-1.57791365806358,0.33185349520637,-4.75485020003277,1.9859361518049e-06,0.000846803175129607,"CvsMid",16,31,20,25,17,20,25,18,21,12,25
"Montipora_capitata_PredGene_g38249",88.1181258248469,-0.811925054740203,0.224863944329386,-3.6107391834721,0.000305325583403125,0.0477764509222358,"CvsMid",100,95,126,115,74,77,59,62,87,59,110
"Montipora_capitata_PredGene_g23101",348.794719459608,-0.622286474267289,0.163446136510539,-3.80728775578714,0.000140499230457704,0.024962029944652,"CvsMid",416,371,514,498,228,330,216,292,345,285,398
"Montipora_capitata_PredGene_g47151",77.2920411026736,1.05743980658663,0.251849492864558,4.19869738294575,2.68454793099698e-05,0.00776061856120075,"CvsMid",242,35,187,175,29,61,44,41,49,136,47
"Montipora_capitata_PredGene_g56911",80.8935219444812,-1.70051895904321,0.441000139604148,-3.85605084064062,0.000115233531821872,0.0220078617361787,"CvsMid",32,96,103,53,58,43,60,68,125,22,162
"Montipora_capitata_PredGene_g21181",16.7888235517263,-1.86653278304377,0.391302338729556,-4.77005271449145,1.84177714906459e-06,0.000805470539857582,"CvsMid",14,18,9,14,11,20,19,17,16,6,22
"Montipora_capitata_PredGene_g31443",127.567876354046,-1.01012575443792,0.243743643575709,-4.14421373053845,3.40981614165011e-05,0.00923140065269592,"CvsMid",133,144,171,145,98,114,77,104,144,62,181
"Montipora_capitata_PredGene_g22815",117.556828801501,-0.758502712997203,0.205500883021008,-3.69099490886208,0.000223378609131396,0.0373524074249519,"CvsMid",154,130,140,170,70,126,73,102,118,71,147
"Montipora_capitata_PredGene_g22253",730.788472586583,0.743465191661652,0.202150244911965,3.67778526306227,0.000235267893274107,0.0385839344969535,"CvsMid",2191,364,1388,1704,386,593,424,389,506,1095,544
"Montipora_capitata_PredGene_g3686",48.3674341242371,-2.16445900745077,0.310665899920686,-6.96715992325955,3.23402982443351e-12,5.01451024413982e-09,"CvsMid",24,59,18,34,27,50,57,51,47,25,75
"Montipora_capitata_PredGene_g64908",41.9748118015189,-3.08215894765466,0.334458660029914,-9.21536595099375,3.10218302826093e-20,1.32277084325046e-16,"CvsMid",17,49,9,15,23,49,50,48,55,7,66
"Montipora_capitata_PredGene_g518",161.336593030947,-3.71554198909093,0.94108249729322,-3.94815757362158,7.87549630105598e-05,0.0163810323061964,"CvsMid",0,246,15,85,92,200,155,106,191,14,393
"Montipora_capitata_PredGene_g46631",1952.96737711743,0.890613585940813,0.204544934894511,4.35412192631474,1.33601336768162e-05,0.0043821238459957,"CvsMid",4313,1227,4105,4452,700,1260,1157,919,1354,4161,1845
"Montipora_capitata_PredGene_g17706",204.8838506533,0.723567900052907,0.18799956696469,3.8487742910004,0.000118710323623853,0.0220078617361787,"CvsMid",433,112,441,521,92,156,141,99,148,352,164
"Montipora_capitata_PredGene_g21615",31.6373954566268,-2.24757375789479,0.385741854741289,-5.82662661639921,5.65589596294788e-09,4.82334807720196e-06,"CvsMid",18,42,26,18,24,26,27,33,45,3,46
"Montipora_capitata_PredGene_g6064",334.838647004211,-4.23150009637775,0.594406523760094,-7.11886550236722,1.08819032284142e-12,2.06224157182037e-09,"CvsMid",142,639,33,15,225,361,250,439,285,11,607
"Montipora_capitata_PredGene_g24884",628.761921320123,0.846033694370834,0.154050358680643,5.49192940293454,3.97566321286463e-08,3.08222326175542e-05,"CvsMid",1689,329,1419,1596,249,471,390,314,480,881,546
"Montipora_capitata_PredGene_adi2mcaRNA12420_R3",19.7818699986117,-1.42609670238068,0.348981137407302,-4.0864578325798,4.380090484895e-05,0.0111686762807594,"CvsMid",15,22,21,19,13,23,18,20,18,10,24
"Montipora_capitata_PredGene_g54997",328.401431190831,-2.71901713968889,0.286246655960772,-9.49886080088045,2.1219892592072e-21,1.56000485736743e-17,"CvsMid",120,362,126,79,275,502,364,287,350,122,421
"Montipora_capitata_PredGene_adi2mcaRNA31183_R2",111.751748447502,-1.02661894446994,0.223138130685378,-4.60082255469578,4.20825811794693e-06,0.00166921047580704,"CvsMid",107,130,139,140,90,95,72,88,134,65,137
"Montipora_capitata_PredGene_g25159",289.651168101481,-2.54840900624289,0.489704487092952,-5.2039731581205,1.95072194839099e-07,0.000118826834113417,"CvsMid",125,420,213,145,232,338,225,263,336,11,466
"Montipora_capitata_PredGene_g28510",92.1763082091228,-3.75675614128954,0.440933278665503,-8.52001044842763,1.5953892802776e-17,4.53515992740245e-14,"CvsMid",38,88,16,22,103,86,68,160,129,3,100
"Montipora_capitata_PredGene_adi2mcaRNA5341_R0",38.6204870728771,-2.43934153989234,0.416075308061436,-5.8627404525821,4.55289601432318e-09,4.08706286422611e-06,"CvsMid",11,61,22,24,21,50,35,34,27,9,79
"Montipora_capitata_PredGene_g65430",344.910029755406,0.952902109310338,0.223694507993074,4.25983685455453,2.04576170977117e-05,0.00623080566461735,"CvsMid",786,240,1058,846,100,205,188,181,212,536,321
"Montipora_capitata_PredGene_g65431",43.2909408778843,1.26137702691228,0.309731975852023,4.07247919250969,4.65153567601034e-05,0.0114980568826134,"CvsMid",100,23,165,104,13,26,20,22,24,74,33
"Montipora_capitata_PredGene_g56282",50.9054367734939,-1.15398876748854,0.244098678489437,-4.72755024578502,2.27244841565362e-06,0.000945338540911905,"CvsMid",51,43,51,56,33,62,48,52,47,32,58
"Montipora_capitata_PredGene_g33208",1800.91825461499,0.975340164404646,0.207054672682574,4.71054408851664,2.47056345740051e-06,0.00100328405546245,"CvsMid",3694,1025,3426,5323,701,1084,1024,861,1229,4045,1468
"Montipora_capitata_PredGene_g59546",129.450624030481,-1.57334084130978,0.316983223237081,-4.96348300469213,6.92401027669729e-07,0.000357866422058633,"CvsMid",168,121,92,104,94,105,91,188,138,44,181
