Orthogroup	Acerv_assembly_v1.0.protein	Pocillopora_acuta_HIv1.genes.pep
OG0000000	Acerv_evm.model.Segkk2669_pilon.10, Acerv_evm.model.Segkk2669_pilon.8, Acerv_evm.model.Segkk2669_pilon.1, Acerv_evm.model.Segkk73_pilon.2, Acerv_evm.model.Segkk2669_pilon.2, Acerv_evm.model.Segkk2669_pilon.3, Acerv_evm.model.Segkk2669_pilon.5, Acerv_evm.model.Segkk793_pilon.1	Pocillopora_acuta_HIv1_PredGene_g17961.t1, Pocillopora_acuta_HIv1_PredGene_g20804.t1, Pocillopora_acuta_HIv1_PredGene_g20801.t1
OG0000000	Acerv_evm.model.Segkk3100_pilon.13	Pocillopora_acuta_HIv1_PredGene_g17496.t1, Pocillopora_acuta_HIv1_PredGene_g3350.t1, Pocillopora_acuta_HIv1_PredGene_g11225.t1, Pocillopora_acuta_HIv1_PredGene_g3389.t1, Pocillopora_acuta_HIv1_PredGene_g28222.t1, Pocillopora_acuta_HIv1_PredGene_g3395.t1
OG0000000	Acerv_evm.model.Segkk2896_pilon.4	Pocillopora_acuta_HIv1_PredGene_g3358.t1
OG0000000	Acerv_evm.model.Segkk2410_pilon.7	Pocillopora_acuta_HIv1_PredGene_g30111.t1
OG0000001	Acerv_evm.model.Segkk3741_pilon.25	Pocillopora_acuta_HIv1_PredGene_g14419.t1
OG0000002	Acerv_evm.model.Segkk1871_pilon.1, Acerv_evm.model.Segkk1871_pilon.6, Acerv_evm.model.Segkk1871_pilon.7	Pocillopora_acuta_HIv1_PredGene_g20323.t1
OG0000002	Acerv_evm.model.Segkk1092_pilon.8	Pocillopora_acuta_HIv1_PredGene_g2033.t1, Pocillopora_acuta_HIv1_PredGene_g12008.t1
OG0000002	Acerv_evm.model.Segkk2199_pilon.17, Acerv_evm.model.Segkk728_pilon.1	Pocillopora_acuta_HIv1_PredGene_g32542.t1, Pocillopora_acuta_HIv1_PredGene_g32542.t2, Pocillopora_acuta_HIv1_PredGene_g30061.t1
OG0000003	Acerv_evm.model.Segkk643_pilon.9, Acerv_evm.model.Segkk4332_pilon.12, Acerv_evm.model.Segkk895_pilon.8, Acerv_evm.model.Segkk3698_pilon.7	Pocillopora_acuta_HIv1_PredGene_g12233.t1
OG0000003	Acerv_evm.model.Segkk2353_pilon.15	Pocillopora_acuta_HIv1_PredGene_g32359.t1
OG0000003	Acerv_evm.model.Segkk3933_pilon.14, Acerv_evm.model.Segkk2361_pilon.3, Acerv_evm.model.Segkk2361_pilon.1, Acerv_evm.model.Segkk2361_pilon.7, Acerv_evm.model.Segkk2361_pilon.5, Acerv_evm.model.Segkk3213_pilon.18, Acerv_evm.model.Segkk3061_pilon.5, Acerv_evm.model.Segkk3213_pilon.12, Acerv_evm.model.Segkk4332_pilon.13, Acerv_evm.model.Segkk601_pilon.11, Acerv_evm.model.Segkk895_pilon.9, Acerv_evm.model.Segkk896_pilon.2, Acerv_evm.model.Segkk1983_pilon.2, Acerv_evm.model.Segkk374_pilon.11, Acerv_evm.model.Segkk719_pilon.3, Acerv_evm.model.Segkk643_pilon.15, Acerv_evm.model.Segkk64_pilon.1, Acerv_evm.model.Segkk643_pilon.10, Acerv_evm.model.Segkk4088_pilon.4, Acerv_evm.model.Segkk1983_pilon.3, Acerv_evm.model.Segkk220_pilon.1	Pocillopora_acuta_HIv1_PredGene_g12236.t1
OG0000004	Acerv_evm.model.Segkk1976_pilon.9	Pocillopora_acuta_HIv1_PredGene_g9153.t1, Pocillopora_acuta_HIv1_PredGene_3330_t
OG0000004	Acerv_evm.model.Segkk1426_pilon.5	Pocillopora_acuta_HIv1_PredGene_g21021.t1, Pocillopora_acuta_HIv1_PredGene_g21019.t1
OG0000005	Acerv_evm.model.Segkk3116_pilon.8	Pocillopora_acuta_HIv1_PredGene_g14339.t1
OG0000006	Acerv_evm.model.Segkk2089_pilon.8	Pocillopora_acuta_HIv1_PredGene_g14581.t3, Pocillopora_acuta_HIv1_PredGene_g21306.t3, Pocillopora_acuta_HIv1_PredGene_g14581.t1, Pocillopora_acuta_HIv1_PredGene_g21306.t1, Pocillopora_acuta_HIv1_PredGene_g14581.t2, Pocillopora_acuta_HIv1_PredGene_g21306.t2
OG0000006	Acerv_evm.model.Segkk2319_pilon.17	Pocillopora_acuta_HIv1_PredGene_g12361.t1
OG0000006	Acerv_evm.model.Segkk1222_pilon.1	Pocillopora_acuta_HIv1_PredGene_g25396.t1, Pocillopora_acuta_HIv1_PredGene_g30390.t1, Pocillopora_acuta_HIv1_PredGene_g30383.t1, Pocillopora_acuta_HIv1_PredGene_g21239.t1, Pocillopora_acuta_HIv1_PredGene_g27970.t1, Pocillopora_acuta_HIv1_PredGene_g27965.t2, Pocillopora_acuta_HIv1_PredGene_g21914.t1, Pocillopora_acuta_HIv1_PredGene_g21230.t1, Pocillopora_acuta_HIv1_PredGene_g32428.t1, Pocillopora_acuta_HIv1_PredGene_g21246.t1
OG0000006	Acerv_evm.model.Segkk2733_pilon.12	Pocillopora_acuta_HIv1_PredGene_g27334.t1, Pocillopora_acuta_HIv1_PredGene_g27965.t1, Pocillopora_acuta_HIv1_PredGene_g21913.t1, Pocillopora_acuta_HIv1_PredGene_g21931.t1, Pocillopora_acuta_HIv1_PredGene_g8897.t1, Pocillopora_acuta_HIv1_PredGene_g26731.t1, Pocillopora_acuta_HIv1_PredGene_g26751.t1, Pocillopora_acuta_HIv1_PredGene_g21918.t1, Pocillopora_acuta_HIv1_PredGene_g28495.t1, Pocillopora_acuta_HIv1_PredGene_g13717.t1
OG0000007	Acerv_evm.model.Segkk2112_pilon.21, Acerv_evm.model.Segkk2722_pilon.40, Acerv_evm.model.Segkk3860_pilon.16	Pocillopora_acuta_HIv1_PredGene_g2059.t1, Pocillopora_acuta_HIv1_PredGene_g13487.t1
OG0000007	Acerv_evm.model.Segkk993_pilon.66, Acerv_evm.model.Segkk1674_pilon.3, Acerv_evm.model.Segkk2594_pilon.5, Acerv_evm.model.Segkk3672_pilon.15, Acerv_evm.model.Segkk4308_pilon.23, Acerv_evm.model.Segkk609_pilon.14, Acerv_evm.model.Segkk2782_pilon.38, Acerv_evm.model.Segkk582_pilon.4, Acerv_evm.model.Segkk3655_pilon.32, Acerv_evm.model.Segkk3050_pilon.44, Acerv_evm.model.Segkk3407_pilon.28, Acerv_evm.model.Segkk1281_pilon.46, Acerv_evm.model.Segkk2978_pilon.29, Acerv_evm.model.Segkk3709_pilon.3, Acerv_evm.model.Segkk514_pilon.6, Acerv_evm.model.Segkk524_pilon.75, Acerv_evm.model.Segkk3668_pilon.24, Acerv_evm.model.Segkk582_pilon.5, Acerv_evm.model.Segkk3655_pilon.31, Acerv_evm.model.Segkk2113_pilon.2, Acerv_evm.model.Segkk4065_pilon.16, Acerv_evm.model.Segkk3407_pilon.27, Acerv_evm.model.Segkk3050_pilon.43, Acerv_evm.model.Segkk208_pilon.10, Acerv_evm.model.Segkk564_pilon.1, Acerv_evm.model.Segkk1845_pilon.3, Acerv_evm.model.Segkk2216_pilon.11, Acerv_evm.model.Segkk3859_pilon.7, Acerv_evm.model.Segkk2407_pilon.3, Acerv_evm.model.Segkk2213_pilon.4, Acerv_evm.model.Segkk3883_pilon.8, Acerv_evm.model.Segkk1440_pilon.18, Acerv_evm.model.Segkk4109_pilon.12, Acerv_evm.model.Segkk3167_pilon.6, Acerv_evm.model.Segkk2407_pilon.4, Acerv_evm.model.Segkk2213_pilon.3, Acerv_evm.model.Segkk3859_pilon.8, Acerv_evm.model.Segkk587_pilon.8	Pocillopora_acuta_HIv1_PredGene_g9409.t1, Pocillopora_acuta_HIv1_PredGene_g16436.t1, Pocillopora_acuta_HIv1_PredGene_g24234.t1, Pocillopora_acuta_HIv1_PredGene_g16848.t1
OG0000007	Acerv_evm.model.Segkk2112_pilon.20	Pocillopora_acuta_HIv1_PredGene_g15890.t1
