"","GO.IDs","gene_id","term","ontology","over_represented_pvalue","log2FoldChange","padj","Treatment_Compare","Species","Site","GO.Term","GO.Slim.Term","Cat"
"2475","GO:0003785","Mcavernosa03157","actin monomer binding","MF",0.047256663,-2.306681698,0.013384452,"CvsT2","M.cavernosa","Florida","actin monomer binding","cytoskeletal activity","F"
"2693","GO:0004081","Mcavernosa26093","bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity","MF",0.008121988,-2.005559371,0.003516066,"CvsT3","M.cavernosa","Florida","bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity","other molecular function","F"
"2694","GO:0004081","Mcavernosa26093","bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity","MF",0.008121988,-2.078882671,0.001419634,"CvsT2","M.cavernosa","Florida","bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity","other molecular function","F"
"2695","GO:0004081","Mcavernosa26093","bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity","MF",0.008121988,-2.065820478,0.002377438,"CvsT1","M.cavernosa","Florida","bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity","other molecular function","F"
"2862","GO:0004370","Mcavernosa24249","glycerol kinase activity","MF",0.00504164,-3.986139509,0.015242565,"CvsT4","M.cavernosa","Florida","glycerol kinase activity","kinase activity","F"
"3119","GO:0004675","Mcavernosa15503","transmembrane receptor protein serine/threonine kinase activity","MF",0.009746732,-1.847841721,0.036764989,"CvsT2","M.cavernosa","Florida","transmembrane receptor protein serine/threonine kinase activity","signal transduction activity","F"
"3120","GO:0004675","Mcavernosa15503","transmembrane receptor protein serine/threonine kinase activity","MF",0.009746732,-1.847841721,0.036764989,"CvsT2","M.cavernosa","Florida","transmembrane receptor protein serine/threonine kinase activity","kinase activity","F"
"3121","GO:0004675","Mcavernosa15503","transmembrane receptor protein serine/threonine kinase activity","MF",0.009746732,-2.09934597,0.008148406,"CvsT3","M.cavernosa","Florida","transmembrane receptor protein serine/threonine kinase activity","signal transduction activity","F"
"3122","GO:0004675","Mcavernosa15503","transmembrane receptor protein serine/threonine kinase activity","MF",0.009746732,-2.09934597,0.008148406,"CvsT3","M.cavernosa","Florida","transmembrane receptor protein serine/threonine kinase activity","kinase activity","F"
"3138","GO:0004698","Mcavernosa03157","calcium-dependent protein kinase C activity","MF",0.021544192,-2.306681698,0.013384452,"CvsT2","M.cavernosa","Florida","calcium-dependent protein kinase C activity","kinase activity","F"
"3139","GO:0004699","Mcavernosa03157","calcium-independent protein kinase C activity","MF",0.009110924,-2.306681698,0.013384452,"CvsT2","M.cavernosa","Florida","calcium-independent protein kinase C activity","kinase activity","F"
"3260","GO:0004820","Mcavernosa26093","glycine-tRNA ligase activity","MF",0.00377484,-2.005559371,0.003516066,"CvsT3","M.cavernosa","Florida","glycine-tRNA ligase activity","other molecular function","F"
"3261","GO:0004820","Mcavernosa26093","glycine-tRNA ligase activity","MF",0.00377484,-2.078882671,0.001419634,"CvsT2","M.cavernosa","Florida","glycine-tRNA ligase activity","other molecular function","F"
"3262","GO:0004820","Mcavernosa26093","glycine-tRNA ligase activity","MF",0.00377484,-2.065820478,0.002377438,"CvsT1","M.cavernosa","Florida","glycine-tRNA ligase activity","other molecular function","F"
"3452","GO:0005025","Mcavernosa15503","transforming growth factor beta receptor activity, type I","MF",0.01439422,-1.847841721,0.036764989,"CvsT2","M.cavernosa","Florida","transforming growth factor beta receptor activity, type I","signal transduction activity","F"
"3453","GO:0005025","Mcavernosa15503","transforming growth factor beta receptor activity, type I","MF",0.01439422,-1.847841721,0.036764989,"CvsT2","M.cavernosa","Florida","transforming growth factor beta receptor activity, type I","kinase activity","F"
"3454","GO:0005025","Mcavernosa15503","transforming growth factor beta receptor activity, type I","MF",0.01439422,-2.09934597,0.008148406,"CvsT3","M.cavernosa","Florida","transforming growth factor beta receptor activity, type I","signal transduction activity","F"
"3455","GO:0005025","Mcavernosa15503","transforming growth factor beta receptor activity, type I","MF",0.01439422,-2.09934597,0.008148406,"CvsT3","M.cavernosa","Florida","transforming growth factor beta receptor activity, type I","kinase activity","F"
"3489","GO:0005085","Mcavernosa18547","guanyl-nucleotide exchange factor activity","MF",0.005543269,-2.18273819,0.000320485,"CvsT2","M.cavernosa","Florida","guanyl-nucleotide exchange factor activity","enzyme regulator activity","F"
"3490","GO:0005085","Mcavernosa03628","guanyl-nucleotide exchange factor activity","MF",0.005543269,-3.231938334,0.019021379,"CvsT2","M.cavernosa","Florida","guanyl-nucleotide exchange factor activity","enzyme regulator activity","F"
"3491","GO:0005085","Mcavernosa18547","guanyl-nucleotide exchange factor activity","MF",0.005543269,-2.68666738,4.73e-07,"CvsT3","M.cavernosa","Florida","guanyl-nucleotide exchange factor activity","enzyme regulator activity","F"
"3492","GO:0005085","Mcavernosa18547","guanyl-nucleotide exchange factor activity","MF",0.005543269,-2.295514097,8.89e-05,"CvsT1","M.cavernosa","Florida","guanyl-nucleotide exchange factor activity","enzyme regulator activity","F"
"3493","GO:0005085","Mcavernosa18547","guanyl-nucleotide exchange factor activity","MF",0.005543269,-2.479373075,2.3e-05,"CvsT4","M.cavernosa","Florida","guanyl-nucleotide exchange factor activity","enzyme regulator activity","F"
"3494","GO:0005085","Mcavernosa03628","guanyl-nucleotide exchange factor activity","MF",0.005543269,-3.563927207,0.006769312,"CvsT1","M.cavernosa","Florida","guanyl-nucleotide exchange factor activity","enzyme regulator activity","F"
"3495","GO:0005085","Mcavernosa24806","guanyl-nucleotide exchange factor activity","MF",0.005543269,-0.991656755,0.041178809,"CvsT2","M.cavernosa","Florida","guanyl-nucleotide exchange factor activity","enzyme regulator activity","F"
"3613","GO:0005244","Mcavernosa02621","voltage-gated ion channel activity","MF",0.035698329,-4.291359851,0.004335238,"CvsT2","M.cavernosa","Florida","voltage-gated ion channel activity","transporter activity","F"
"3766","GO:0005542","Mcavernosa02968","folic acid binding","MF",0.020048352,-2.385831049,0.0402567,"CvsT2","M.cavernosa","Florida","folic acid binding","other molecular function","F"
"3769","GO:0005545","Mcavernosa18547","1-phosphatidylinositol binding","MF",0.044799139,-2.68666738,4.73e-07,"CvsT3","M.cavernosa","Florida","phosphatidylinositol binding","other molecular function","F"
"3770","GO:0005545","Mcavernosa18547","1-phosphatidylinositol binding","MF",0.044799139,-2.18273819,0.000320485,"CvsT2","M.cavernosa","Florida","phosphatidylinositol binding","other molecular function","F"
"3771","GO:0005545","Mcavernosa18547","1-phosphatidylinositol binding","MF",0.044799139,-2.295514097,8.89e-05,"CvsT1","M.cavernosa","Florida","phosphatidylinositol binding","other molecular function","F"
"3772","GO:0005545","Mcavernosa18547","1-phosphatidylinositol binding","MF",0.044799139,-2.479373075,2.3e-05,"CvsT4","M.cavernosa","Florida","phosphatidylinositol binding","other molecular function","F"
"5958","GO:0008137","Mcavernosa30572","NADH dehydrogenase (ubiquinone) activity","MF",0.00263302,2.536921528,2.3e-05,"CvsT4","M.cavernosa","Florida","NADH dehydrogenase (ubiquinone) activity","other molecular function","F"
"5959","GO:0008137","Mcavernosa30572","NADH dehydrogenase (ubiquinone) activity","MF",0.00263302,2.454734168,1.5e-05,"CvsT1","M.cavernosa","Florida","NADH dehydrogenase (ubiquinone) activity","other molecular function","F"
"5960","GO:0008137","Mcavernosa30572","NADH dehydrogenase (ubiquinone) activity","MF",0.00263302,2.621084843,1.71e-06,"CvsT3","M.cavernosa","Florida","NADH dehydrogenase (ubiquinone) activity","other molecular function","F"
"5961","GO:0008137","Mcavernosa30573","NADH dehydrogenase (ubiquinone) activity","MF",0.00263302,1.877006536,0.007611554,"CvsT4","M.cavernosa","Florida","NADH dehydrogenase (ubiquinone) activity","other molecular function","F"
"5962","GO:0008137","Mcavernosa30573","NADH dehydrogenase (ubiquinone) activity","MF",0.00263302,2.621605005,1.71e-06,"CvsT3","M.cavernosa","Florida","NADH dehydrogenase (ubiquinone) activity","other molecular function","F"
"5963","GO:0008137","Mcavernosa30573","NADH dehydrogenase (ubiquinone) activity","MF",0.00263302,2.429376336,2.41e-05,"CvsT2","M.cavernosa","Florida","NADH dehydrogenase (ubiquinone) activity","other molecular function","F"
"5964","GO:0008137","Mcavernosa30572","NADH dehydrogenase (ubiquinone) activity","MF",0.00263302,2.52336795,1.34e-05,"CvsT2","M.cavernosa","Florida","NADH dehydrogenase (ubiquinone) activity","other molecular function","F"
"5965","GO:0008137","Mcavernosa30573","NADH dehydrogenase (ubiquinone) activity","MF",0.00263302,2.642152981,1.36e-06,"CvsT1","M.cavernosa","Florida","NADH dehydrogenase (ubiquinone) activity","other molecular function","F"
"6288","GO:0008519","Mcavernosa20093","ammonium transmembrane transporter activity","MF",0.028021998,-0.762978102,0.0261073,"CvsT2","M.cavernosa","Florida","ammonium transmembrane transporter activity","transporter activity","F"
"6378","GO:0008641","Mcavernosa13005","ubiquitin-like modifier activating enzyme activity","MF",0.014598678,1.258737966,0.015242565,"CvsT4","M.cavernosa","Florida","small protein activating enzyme activity","other molecular function","F"
