"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","X20_T12_Mc_PWC","X21_T33_Mc_EOU","X22_ctl2_Mc_TWF_1","X28_ctl1_Mc_GBM_1","X29_T23_Mc_PND","X33_T43_Mc_RFV","X34_T22_Mc_SVS","X39_T13_Mc_FJE","X42_ctl3_Mc_MGR_1","X46_T41_Mc_QYH_1","X49_T31_Mc_SWQ","X55_T32_Mc_TWP","X56_T42_Mc_JAW","X58_T21_Mc_EAH","X61_T11_Mc_RAP","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"23","Mcavernosa01732","GO:0043167",0.0175071864167264,0.99781070268363,3,117,"ion binding","MF",4318,152,136,55,107,131,89,99,119,104,61,86,60,146,195,122,117.065837293015,-1.79467512055639,0.434206366913683,-4.13323077990045,3.57699234252456e-05,0.0154254711157283,"CvsT2"
"82","Mcavernosa03628","GO:0005085",0.00554326948461673,0.999548951049672,3,76,"guanyl-nucleotide exchange factor activity","MF",1737,34,28,8,24,13,18,15,115,9,29,16,19,17,176,64,40.7448605394761,-3.56392720735876,0.791478035178548,-4.50287569452864,6.70400991131742e-06,0.00676931171089288,"CvsT1"
"83","Mcavernosa03628","GO:0005085",0.00554326948461673,0.999548951049672,3,76,"guanyl-nucleotide exchange factor activity","MF",1737,34,28,8,24,13,18,15,115,9,29,16,19,17,176,64,40.7448605394761,-3.23193833416467,0.794220580297352,-4.06932080877915,4.71503870441799e-05,0.0190213787217585,"CvsT2"
"163","Mcavernosa15302","GO:0043167",0.0175071864167264,0.99781070268363,3,117,"ion binding","MF",666,74,2302,16,139,4,89,436,411,30,91,123,108,434,546,453,426.232262646165,-5.34480804303799,1.28164739565527,-4.17026403764143,3.0424693106722e-05,0.0176407902395157,"CvsT3"
"267","Mcavernosa18547","GO:0005085",0.00554326948461673,0.999548951049672,3,76,"guanyl-nucleotide exchange factor activity","MF",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.18273818988454,0.424178072908575,-5.14580627640079,2.66374206931727e-07,0.000320484810024745,"CvsT2"
"268","Mcavernosa18547","GO:0005085",0.00554326948461673,0.999548951049672,3,76,"guanyl-nucleotide exchange factor activity","MF",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.47937307490951,0.42228621446106,-5.87130952895016,4.32366149794601e-09,2.29765008228639e-05,"CvsT4"
"269","Mcavernosa18547","GO:0005085",0.00554326948461673,0.999548951049672,3,76,"guanyl-nucleotide exchange factor activity","MF",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.29551409666124,0.422600060806472,-5.43188302500616,5.57624728725876e-08,8.89132629953409e-05,"CvsT1"
"270","Mcavernosa18547","GO:0005085",0.00554326948461673,0.999548951049672,3,76,"guanyl-nucleotide exchange factor activity","MF",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.68666737986224,0.421568033905823,-6.37303392045716,1.85324874966424e-10,4.72800821014342e-07,"CvsT3"
"314","Mcavernosa24806","GO:0005085",0.00554326948461673,0.999548951049672,3,76,"guanyl-nucleotide exchange factor activity","MF",4855,1233,804,1036,2273,1463,1053,888,828,1305,738,509,1113,1047,1634,1061,1104.84501549221,-0.991656754989946,0.260593417682122,-3.80537913739477,0.000141587140481008,0.0411788088105928,"CvsT2"
"382","Mcavernosa30410","GO:0043167",0.0175071864167264,0.99781070268363,3,117,"ion binding","MF",2360,169,47,12,7,32,166,11,50,6,14,7,0,215,170,69,67.8741326419284,-4.84003825886524,1.17793336745475,-4.10892363913885,3.9750747474336e-05,0.0310701779946279,"CvsT4"
