"","gene_id","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X20_T12_Mc_PWC","X21_T33_Mc_EOU","X22_ctl2_Mc_TWF_1","X28_ctl1_Mc_GBM_1","X29_T23_Mc_PND","X33_T43_Mc_RFV","X34_T22_Mc_SVS","X39_T13_Mc_FJE","X42_ctl3_Mc_MGR_1","X46_T41_Mc_QYH_1","X49_T31_Mc_SWQ","X55_T32_Mc_TWP","X56_T42_Mc_JAW","X58_T21_Mc_EAH","X61_T11_Mc_RAP","scaffold.y","gene.start.y","gene.stop.y","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"71","Mcavernosa22344",105,180.791274146135,-4.00828950847396,0.938384448146441,-4.27147904719798,1.94180774624072e-05,0.0173458911960617,"CvsT4",526,73,27,18,54,345,31,97,77,102,65,17,605,496,108,"Sc0000369",117234,124116,6882,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"76","Mcavernosa22347",104,230.140105098117,-4.00107603755759,0.888388663196814,-4.50374504235563,6.67663010618746e-06,0.00834979361079804,"CvsT4",639,121,47,42,85,544,47,145,71,119,49,12,700,569,169,"Sc0000369",133014,141135,8121,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"99","Mcavernosa30410",101,67.8741326419284,-4.84003825886524,1.17793336745475,-4.10892363913885,3.9750747474336e-05,0.0310701779946279,"CvsT4",169,47,12,7,32,166,11,50,6,14,7,0,215,170,69,"xfSc0000248",29403,36323,6920,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"123","Mcavernosa30572",91,80.8354241079748,2.53692152780238,0.426786257639898,5.944243710731,2.77736131917406e-09,2.29765008228639e-05,"CvsT4",23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,"xfSc0000281",7576,12957,5381,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"128","Mcavernosa30572",23,80.8354241079748,2.52336795044712,0.428497658263626,5.88887220684567,3.88839968420303e-09,1.34432103053482e-05,"CvsT2",23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,"xfSc0000281",7576,12957,5381,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"133","Mcavernosa30572",3,80.8354241079748,2.45473416846363,0.424001941201887,5.78944087261813,7.0621110826352e-09,1.50140481616824e-05,"CvsT1",23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,"xfSc0000281",7576,12957,5381,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"138","Mcavernosa30572",66,80.8354241079748,2.62108484345424,0.428316869575686,6.11949943986757,9.3869760369927e-10,1.71057523325541e-06,"CvsT3",23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,"xfSc0000281",7576,12957,5381,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"143","Mcavernosa30573",65,48.3775175556967,2.62160500530521,0.428284153526894,6.12118142526743,9.28840719071757e-10,1.71057523325541e-06,"CvsT3",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,"xfSc0000281",13012,14794,1782,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"147","Mcavernosa30573",22,48.3775175556967,2.42937633581986,0.425734666869182,5.70631551732749,1.15447907174855e-08,2.40631921188122e-05,"CvsT2",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,"xfSc0000281",13012,14794,1782,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"151","Mcavernosa30573",90,48.3775175556967,1.877006535893,0.410691899248159,4.57035198242084,4.86905724777192e-06,0.00761155374257945,"CvsT4",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,"xfSc0000281",13012,14794,1782,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"155","Mcavernosa30573",2,48.3775175556967,2.642152980966,0.425552325630858,6.20876170057148,5.34037312230422e-10,1.36243599096225e-06,"CvsT1",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,"xfSc0000281",13012,14794,1782,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"32","Mcavernosa10311",49,461.0292515652,-0.590039990950675,0.141124343011612,-4.18099371348092,2.90237889443592e-05,0.0134433890569687,"CvsT2",493,327,506,1072,415,456,394,402,563,319,344,473,407,604,444,"Sc0000420",233260,247462,14202,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF"
"40","Mcavernosa11839",38,3062.58193234697,-0.665926975948865,0.159159774723495,-4.18401557243824,2.86404478696488e-05,0.0134433890569687,"CvsT2",3382,2263,2683,6319,2526,3300,2411,2986,4458,2242,2207,3191,2109,4740,3084,"Sc0000253",264423,266470,2047,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF"
"73","Mcavernosa22344",105,180.791274146135,-4.00828950847396,0.938384448146441,-4.27147904719798,1.94180774624072e-05,0.0173458911960617,"CvsT4",526,73,27,18,54,345,31,97,77,102,65,17,605,496,108,"Sc0000369",117234,124116,6882,"GO:0004601",1.61439677351114e-05,0.999999851243674,3,12,"peroxidase activity","MF"
"75","Mcavernosa22347",104,230.140105098117,-4.00107603755759,0.888388663196814,-4.50374504235563,6.67663010618746e-06,0.00834979361079804,"CvsT4",639,121,47,42,85,544,47,145,71,119,49,12,700,569,169,"Sc0000369",133014,141135,8121,"GO:0004601",1.61439677351114e-05,0.999999851243674,3,12,"peroxidase activity","MF"
"96","Mcavernosa30410",101,67.8741326419284,-4.84003825886524,1.17793336745475,-4.10892363913885,3.9750747474336e-05,0.0310701779946279,"CvsT4",169,47,12,7,32,166,11,50,6,14,7,0,215,170,69,"xfSc0000248",29403,36323,6920,"GO:0004601",1.61439677351114e-05,0.999999851243674,3,12,"peroxidase activity","MF"
