"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","20_T12_Mc_PWC","21_T33_Mc_EOU","22_ctl2_Mc_TWF_1","28_ctl1_Mc_GBM_1","29_T23_Mc_PND","33_T43_Mc_RFV","34_T22_Mc_SVS","39_T13_Mc_FJE","42_ctl3_Mc_MGR_1","46_T41_Mc_QYH_1","49_T31_Mc_SWQ","55_T32_Mc_TWP","56_T42_Mc_JAW","58_T21_Mc_EAH","61_T11_Mc_RAP","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"1","Mcavernosa00001","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",43960,14,10,76,83,9,19,8,9,136,3,0,8,11,31,13,21.2376153269723,3.05316945190261,0.712480265583676,4.28526879885072,1.82518373462487e-05,0.0140070393688954,"CvsT3"
"9","Mcavernosa10311","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",3272,493,327,506,1072,415,456,394,402,563,319,344,473,407,604,444,461.0292515652,-0.590039990950675,0.141124343011612,-4.18099371348092,2.90237889443592e-05,0.0134433890569687,"CvsT2"
"16","Mcavernosa16456","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",3209,67,32,38,119,125,40,72,36,82,33,33,57,41,76,35,59.1886745752613,-1.4993229588615,0.378217225494184,-3.96418475362265,7.36471995763008e-05,0.0263151965114634,"CvsT2"
"20","Mcavernosa18489","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",1295,23,15,6,21,5,24,13,22,9,6,33,27,20,26,19,18.3986087081639,-2.21705037558269,0.520136386142232,-4.2624404572543,2.02206387283183e-05,0.0140070393688954,"CvsT3"
"52","Mcavernosa30571","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",684,8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,48.8311865525838,4.51229020930242,0.623908042428111,7.23230011868671,4.74881291238108e-13,2.01919525034443e-09,"CvsT1"
"53","Mcavernosa30571","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",684,8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,48.8311865525838,3.0243615096101,0.576772448058852,5.2435956672145,1.57477097338784e-07,0.000328234763219806,"CvsT4"
"54","Mcavernosa30571","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",684,8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,48.8311865525838,3.97506730396992,0.605057226848627,6.56973774972264,5.04039553707136e-11,1.60738213677206e-07,"CvsT3"
"55","Mcavernosa30571","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",684,8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,48.8311865525838,3.29257335410616,0.586079945157256,5.61795942910605,1.93225854344396e-08,3.45211790633002e-05,"CvsT2"
"60","Mcavernosa30572","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",1005,23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,80.8354241079748,2.52336795044712,0.428497658263626,5.88887220684567,3.88839968420303e-09,1.34432103053482e-05,"CvsT2"
"61","Mcavernosa30572","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",1005,23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,80.8354241079748,2.62108484345424,0.428316869575686,6.11949943986757,9.3869760369927e-10,1.71057523325541e-06,"CvsT3"
"62","Mcavernosa30572","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",1005,23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,80.8354241079748,2.45473416846363,0.424001941201887,5.78944087261813,7.0621110826352e-09,1.50140481616824e-05,"CvsT1"
"63","Mcavernosa30572","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",1005,23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,80.8354241079748,2.53692152780238,0.426786257639898,5.944243710731,2.77736131917406e-09,2.29765008228639e-05,"CvsT4"
"112","Mcavernosa30575","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",519,7,7,98,367,13,25,8,3,471,20,6,11,8,21,11,43.9545456035024,3.35116407370178,0.570680151998133,5.87222818590815,4.29976341127402e-09,1.34432103053482e-05,"CvsT2"
"113","Mcavernosa30575","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",519,7,7,98,367,13,25,8,3,471,20,6,11,8,21,11,43.9545456035024,4.20762468867589,0.601279927386925,6.9977800638741,2.60049880312605e-12,3.09100008779067e-08,"CvsT3"
"114","Mcavernosa30575","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",519,7,7,98,367,13,25,8,3,471,20,6,11,8,21,11,43.9545456035024,3.08014044331105,0.55975956549553,5.50261332396231,3.74202541554655e-08,0.000116994424617063,"CvsT4"
"115","Mcavernosa30575","GO:0016020",0.00592881910524923,0.998583979017964,7,479,"membrane","CC",519,7,7,98,367,13,25,8,3,471,20,6,11,8,21,11,43.9545456035024,4.50625649729423,0.611003547236697,7.37517239903772,1.64132519978368e-13,1.45924482288037e-09,"CvsT1"
"44","Mcavernosa30570","GO:0045263",7.88251036704712e-05,0.999999867972357,2,3,"proton-transporting ATP synthase complex, coupling factor F(o)","CC",1260,12,12,127,404,14,26,8,11,558,32,10,16,10,26,17,54.0972095167914,2.91923818592881,0.539884326561985,5.40715490764233,6.40337586055992e-08,0.000160161237024325,"CvsT4"
"45","Mcavernosa30570","GO:0045263",7.88251036704712e-05,0.999999867972357,2,3,"proton-transporting ATP synthase complex, coupling factor F(o)","CC",1260,12,12,127,404,14,26,8,11,558,32,10,16,10,26,17,54.0972095167914,3.78671249559694,0.559207440532592,6.77157029954834,1.27392032804921e-11,4.06253192614892e-08,"CvsT1"
"46","Mcavernosa30570","GO:0045263",7.88251036704712e-05,0.999999867972357,2,3,"proton-transporting ATP synthase complex, coupling factor F(o)","CC",1260,12,12,127,404,14,26,8,11,558,32,10,16,10,26,17,54.0972095167914,3.41965168876641,0.554761631324963,6.16418204806108,7.08483979263803e-10,4.43015032233656e-06,"CvsT2"
"47","Mcavernosa30570","GO:0045263",7.88251036704712e-05,0.999999867972357,2,3,"proton-transporting ATP synthase complex, coupling factor F(o)","CC",1260,12,12,127,404,14,26,8,11,558,32,10,16,10,26,17,54.0972095167914,3.77075515097059,0.562532124761953,6.70318188950768,2.0392936011428e-11,8.6710763920592e-08,"CvsT3"
"104","Mcavernosa30574","GO:0045263",7.88251036704712e-05,0.999999867972357,2,3,"proton-transporting ATP synthase complex, coupling factor F(o)","CC",1797,13,19,179,474,23,32,13,19,622,36,12,29,21,34,21,67.2133170145486,2.7646448394278,0.474133927181954,5.83093653698155,5.51171457449159e-09,2.29765008228639e-05,"CvsT4"
"105","Mcavernosa30574","GO:0045263",7.88251036704712e-05,0.999999867972357,2,3,"proton-transporting ATP synthase complex, coupling factor F(o)","CC",1797,13,19,179,474,23,32,13,19,622,36,12,29,21,34,21,67.2133170145486,3.08019516250379,0.482656855656227,6.38174953159199,1.75076150758792e-10,2.18950234138945e-06,"CvsT2"
"106","Mcavernosa30574","GO:0045263",7.88251036704712e-05,0.999999867972357,2,3,"proton-transporting ATP synthase complex, coupling factor F(o)","CC",1797,13,19,179,474,23,32,13,19,622,36,12,29,21,34,21,67.2133170145486,3.36451038072796,0.486904149286738,6.910005564045,4.84634695483014e-12,3.09100008779067e-08,"CvsT3"
"107","Mcavernosa30574","GO:0045263",7.88251036704712e-05,0.999999867972357,2,3,"proton-transporting ATP synthase complex, coupling factor F(o)","CC",1797,13,19,179,474,23,32,13,19,622,36,12,29,21,34,21,67.2133170145486,3.59045148677925,0.489776631340087,7.33079378849771,2.28793481166567e-13,1.45924482288037e-09,"CvsT1"
