"","gene","GO.ID","term","ontology","over_represented_pvalue","22_ctl2_Mc_TWF_1","28_ctl1_Mc_GBM_1","42_ctl3_Mc_MGR_1","20_T12_Mc_PWC","39_T13_Mc_FJE","61_T11_Mc_RAP","29_T23_Mc_PND","34_T22_Mc_SVS","58_T21_Mc_EAH","21_T33_Mc_EOU","49_T31_Mc_SWQ","55_T32_Mc_TWP","33_T43_Mc_RFV","46_T41_Mc_QYH_1","56_T42_Mc_JAW"
"1","Mcavernosa00001","GO:0007154,GO:0016020","cell communication,membrane","BP,CC","0.0354246941214408,0.0039350225036738",76,83,136,14,9,13,9,8,31,10,0,8,19,3,11
"2","Mcavernosa00103","NA","NA","NA","NA",165,357,282,113,59,77,32,52,93,92,144,111,129,97,95
"3","Mcavernosa01252","NA","NA","NA","NA",23,63,32,90,103,46,81,80,182,28,19,20,21,14,57
"4","Mcavernosa01732","GO:0004383,GO:0004672,GO:0005524,GO:0006182,GO:0006468,GO:0009190,GO:0016021,GO:0016849,GO:0035556","guanylate cyclase activity,protein kinase activity,ATP binding,cGMP biosynthetic process,protein phosphorylation,cyclic nucleotide biosynthetic process,integral component of membrane,phosphorus-oxygen lyase activity,intracellular signal transduction","MF,MF,MF,BP,BP,BP,CC,MF,BP","0.021014032896548,0.079477481083825,0.38067806852431,0.021014032896548,0.0834413172659443,0.0446752593323449,0.0826691262878227,0.028737996393536,0.22471110456418",55,107,104,152,119,122,131,99,195,136,86,60,89,61,146
"5","Mcavernosa02339","GO:0004725,GO:0006470,GO:0008138,GO:0016311,GO:0016791,GO:0017017","protein tyrosine phosphatase activity,protein dephosphorylation,protein tyrosine/serine/threonine phosphatase activity,dephosphorylation,phosphatase activity,MAP kinase tyrosine/serine/threonine phosphatase activity","MF,BP,MF,BP,MF,MF","0.106168467470962,0.119131853327764,0.0675834320972145,0.10577891550803,0.196299201349056,0.0218437694884248",190,578,358,159,81,105,44,65,132,84,89,148,148,85,94
"6","Mcavernosa02620","GO:0005515","protein binding","MF","0.880155968034519",5,25,3,29,22,18,44,18,22,24,10,24,25,25,20
"7","Mcavernosa02621","GO:0005515","protein binding","MF","0.880155968034519",0,31,0,69,26,32,108,27,52,42,35,47,62,15,45
"8","Mcavernosa02761","GO:0003676","nucleic acid binding","MF","0.72130698609467",216,594,346,726,373,620,879,318,746,414,415,632,733,132,490
"9","Mcavernosa02968","GO:0005515","protein binding","MF","0.880155968034519",45,111,59,38,76,90,197,69,228,69,109,32,81,18,82
"10","Mcavernosa03157","NA","NA","NA","NA",152,300,120,274,401,294,731,155,231,139,145,206,246,120,160
