"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast"
"...1","gene-LOC110065550|LOC110065550",43.3544550216377,-4.61754150967055,1.01191744716101,-4.56316028805051,5.03893141911889e-06,0.02442118950998,"Treatment_Treatment1_vs_control"
"...2","gene-LOC110052551|LOC110052551",48.9134760850616,3.72940647947812,0.83406498859802,4.47136198073352,7.77230137441778e-06,0.0285088014413644,"Treatment_Treatment1_vs_control"
"...3","gene-LOC110044078|LOC110044078",432.135619241597,3.36462541362121,0.67496542112498,4.98488560793723,6.19984821566507e-07,0.0113705216275297,"Treatment_Treatment1_vs_control"
"...4","gene-LOC110063000|LOC110063000",74.7253018626041,-4.00100373634048,0.905631130537494,-4.4179176283018,9.96563839229842e-06,0.0302928910200174,"Treatment_Treatment1_vs_control"
"...5","gene-LOC110042871|LOC110042871",243.964293494229,-3.2329081153128,0.737150215453166,-4.38568428461404,1.15621721450448e-05,0.0302928910200174,"Treatment_Treatment1_vs_control"
"...6","gene-LOC110062450|LOC110062450",1392.63757047862,-2.54972162506213,0.595975904798323,-4.27822937896281,1.88385839978111e-05,0.0431874538149819,"Treatment_Treatment1_vs_control"
"...7","gene-LOC110050314|LOC110050314",129.58629967522,-6.28408534462082,1.37549189579802,-4.56860950167574,4.90970544180669e-06,0.02442118950998,"Treatment_Treatment1_vs_control"
"...8","gene-LOC110063009|LOC110063009",144.786075620265,-3.99786084192229,0.878359967569515,-4.55150620420994,5.32632268483751e-06,0.02442118950998,"Treatment_Treatment1_vs_control"
"...9","gene-LOC110039914|LOC110039914",841.725646752124,-3.68392891987655,0.826452580309574,-4.45752001705484,8.29132969106867e-06,0.0147682400680751,"Treatment_Treatment2_vs_control"
"...10","gene-LOC110044078|LOC110044078",432.135619241597,3.0900982566063,0.675492820556385,4.57458341905259,4.77168461586191e-06,0.0127487483724291,"Treatment_Treatment2_vs_control"
"...11","gene-LOC110063000|LOC110063000",74.7253018626041,-4.1302022069072,0.916133287667443,-4.50829836935962,6.53496324545727e-06,0.0139678304408404,"Treatment_Treatment2_vs_control"
"...12","gene-LOC110063719|LOC110063719",73.0744009754662,-3.90792931119401,0.945594178930091,-4.13277640479524,3.58407353770562e-05,0.047878742371825,"Treatment_Treatment2_vs_control"
"...13","gene-LOC110042871|LOC110042871",243.964293494229,-3.44543447832233,0.740029906698053,-4.65580437646844,3.22718247273993e-06,0.0114962996953905,"Treatment_Treatment2_vs_control"
"...14","gene-LOC110050314|LOC110050314",129.58629967522,-5.75081312178237,1.37597451589809,-4.17944740642879,2.92218288240141e-05,0.0446133835203198,"Treatment_Treatment2_vs_control"
"...15","gene-LOC110062641|LOC110062641",144.083414759491,-4.0562989298843,0.870553696806541,-4.65944713664884,3.17059806371575e-06,0.0114962996953905,"Treatment_Treatment2_vs_control"
"...16","gene-LOC110063009|LOC110063009",144.786075620265,-4.13903577492668,0.88374412209146,-4.68352283365832,2.81986025193285e-06,0.0114962996953905,"Treatment_Treatment2_vs_control"
"gene-LOC110039914|LOC110039914",NA,841.725646752124,-3.41528692145055,0.826451858004071,-4.1324692882882,3.58886732266116e-05,0.0434238702846925,"Treatment_Treatment3_vs_control"
"gene-LOC110065550|LOC110065550",NA,43.3544550216377,-4.90465030915475,1.05246515754896,-4.66015456566466,3.15972020225133e-06,0.0203343793615884,"Treatment_Treatment3_vs_control"
"gene-LOC110044078|LOC110044078",NA,432.135619241597,3.47690556708663,0.67539875427823,5.14793008583833,2.63376614811706e-07,0.00338992040924146,"Treatment_Treatment3_vs_control"
"gene-LOC110067001|LOC110067001",NA,64.9037300695116,3.58895237136411,0.841567416884121,4.264604711827,2.00256413454436e-05,0.0322187537196506,"Treatment_Treatment3_vs_control"
"gene-LOC110055167|LOC110055167",NA,98.63644731998,-3.54764495370646,0.863583625972778,-4.10805027678732,3.99013256552204e-05,0.0434238702846925,"Treatment_Treatment3_vs_control"
"gene-LOC110063000|LOC110063000",NA,74.7253018626041,-3.94140026177203,0.916911307024431,-4.29856217452776,1.71909679469698e-05,0.0316092783493498,"Treatment_Treatment3_vs_control"
"gene-LOC110063719|LOC110063719",NA,73.0744009754662,-3.89748903781501,0.94952035548125,-4.10469245373853,4.04853114300606e-05,0.0434238702846925,"Treatment_Treatment3_vs_control"
"gene-LOC110042871|LOC110042871",NA,243.964293494229,-3.06303361336994,0.739464897708269,-4.14222990552062,3.43945303715574e-05,0.0434238702846925,"Treatment_Treatment3_vs_control"
"gene-LOC110050314|LOC110050314",NA,129.58629967522,-6.08935364423714,1.38812134782666,-4.38675887649955,1.15052211504482e-05,0.0312145955082161,"Treatment_Treatment3_vs_control"
"gene-LOC110047759|LOC110047759",NA,134.079314572238,-5.60704393127188,1.28151890933397,-4.37531111748164,1.21259402953213e-05,0.0312145955082161,"Treatment_Treatment3_vs_control"
