"","gene","GO.ID","term","ontology","over_represented_pvalue","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","41_ctl3_Ac_RN_1","37_T13_Ac_ML","52_T11_Ac_II","31_T22_Ac_UV","38_T23_Ac_IN","53_T21_Ac_NH","19_T33_Ac_WK","47_T31_Ac_JB","57_T32_Ac_NM","35_T43_Ac_MT","54_T42_Ac_JQ"
"1","Acerv_evm.TU.Segkk1022_pilon.1","NA","NA","NA","NA",8,13,7,12,14,23,17,10,26,9,6,48,23
"2","Acerv_evm.TU.Segkk1038_pilon.1","GO:0008242","omega peptidase activity","MF","0.0945765381178545",106,73,117,77,61,83,81,55,130,64,64,125,202
"3","Acerv_evm.TU.Segkk1040_pilon.15","NA","NA","NA","NA",422,604,646,104,69,124,160,72,243,193,105,226,146
"4","Acerv_evm.TU.Segkk1078_pilon.63","GO:0005515","protein binding","MF","0.257358007233903",19,26,19,18,25,19,32,18,40,16,7,44,42
"5","Acerv_evm.TU.Segkk1079_pilon.5","GO:0004601,GO:0006979,GO:0020037,GO:0055114","peroxidase activity,response to oxidative stress,heme binding,oxidation-reduction process","MF,BP,MF,BP","0.201662732900575,0.251413783067591,0.0369943450710385,0.720060927670848",7611,6411,2576,2828,2614,4724,5159,4117,4548,1067,1405,6933,10827
"6","Acerv_evm.TU.Segkk1157_pilon.2","NA","NA","NA","NA",917,634,544,32,44,51,67,33,57,28,27,112,100
"7","Acerv_evm.TU.Segkk119_pilon.17","NA","NA","NA","NA",35,36,28,75,50,108,283,81,110,72,38,186,132
"8","Acerv_evm.TU.Segkk1235_pilon.8","NA","NA","NA","NA",44,24,34,24,22,27,45,19,41,16,18,51,31
"9","Acerv_evm.TU.Segkk1268_pilon.2","NA","NA","NA","NA",7,6,10,30,50,27,43,14,25,35,28,35,39
"10","Acerv_evm.TU.Segkk1271_pilon.4","GO:0005515","protein binding","MF","0.257358007233903",204,201,160,91,84,129,123,80,176,106,47,241,185
"11","Acerv_evm.TU.Segkk1291_pilon.1","NA","NA","NA","NA",1316,1108,1200,438,564,316,393,181,521,301,274,501,592
"12","Acerv_evm.TU.Segkk1299_pilon.1","NA","NA","NA","NA",27,24,35,24,47,19,25,21,28,32,15,33,45
"13","Acerv_evm.TU.Segkk1303_pilon.10","GO:0016020,GO:0022857,GO:0071705","membrane,transmembrane transporter activity,nitrogen compound transport","CC,MF,BP","0.329840291341399,0.580429065357732,0.0482428057123934",655,957,473,212,88,784,414,431,392,246,105,1092,501
"14","Acerv_evm.TU.Segkk1318_pilon.7","NA","NA","NA","NA",143,111,110,51,31,77,103,59,79,27,25,158,117
"15","Acerv_evm.TU.Segkk1350_pilon.5","GO:0016021,GO:0055085","integral component of membrane,transmembrane transport","CC,BP","0.610347626540586,0.802764057987146",157,200,110,73,51,166,133,109,92,53,43,224,152
"16","Acerv_evm.TU.Segkk1375_pilon.15","NA","NA","NA","NA",228,168,237,104,147,62,51,24,133,44,69,93,87
