"","gene_id","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2","Treatment_Compare","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","LOC113664124",27,20,20,5,21,15,16,31,21,6,34,15,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"19","LOC113664336",218,133,777,744,402,327,167,178,744,933,378,282,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"39","LOC113664491",14,34,19,5,26,23,32,23,10,17,35,25,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"55","LOC113664685",840,758,533,1578,867,1232,1099,819,549,525,1128,873,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"66","LOC113664893",91,60,69,45,64,76,57,39,43,56,85,44,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"228","LOC113667471",294,181,237,293,362,366,249,420,396,569,422,300,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"243","LOC113667899",201,82,10,4,95,13,259,15,8,6,243,178,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"327","LOC113670042",23,48,18,35,25,17,54,45,41,38,33,40,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"340","LOC113670163",278,116,662,402,305,254,154,223,709,938,373,296,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"394","LOC113671029",40,36,25,17,9,25,44,34,24,8,28,45,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"429","LOC113671742",107,57,301,409,96,139,92,110,381,398,122,84,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"480","LOC113672798",249,148,218,334,136,292,501,276,223,341,176,201,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"487","LOC113672901",37,14,38,36,27,48,43,40,48,46,38,19,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"509","LOC113673305",19,18,15,14,19,18,15,21,15,18,21,6,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"549","LOC113674261",94,32,13,30,56,127,118,14,67,29,100,57,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"564","LOC113674392",110,0,409,263,35,25,13,9,473,666,40,133,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"649","LOC113676057",126,61,412,494,190,149,125,107,352,483,166,167,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"668","LOC113676583",6066,2496,2155,2942,4562,4158,3904,4385,3773,4625,3911,2785,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"672","LOC113676603",237,265,248,366,239,257,247,281,235,299,321,217,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"687","LOC113676989",26,54,24,39,38,29,40,33,24,25,35,23,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"708","LOC113677292",106,187,58,11,313,89,260,150,29,22,61,169,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"721","LOC113677341",2546,1641,9101,11397,1126,3194,2889,3548,10531,9804,3718,2424,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"788","LOC113678608",908,339,2826,2355,1165,1001,522,617,2746,2549,1298,626,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"802","LOC113678825",316,517,318,190,221,411,234,420,268,272,404,263,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"890","LOC113681103",50,124,60,22,63,20,33,96,18,43,23,24,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"909","LOC113681384",46,39,10,9,40,52,15,10,12,21,4,36,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"937","LOC113681925",8,343,43,28,171,305,15,15,35,36,16,153,"CvsHigh","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"1054","LOC113684534",18,6,25,15,26,38,21,28,20,24,40,24,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"1087","LOC113685434",52,27,50,45,64,66,54,46,46,36,57,34,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"1112","LOC113686179",17,10,7,7,11,25,19,24,18,3,12,9,"CvsMid","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"6","LOC113664139",16,75,9,7,13,13,7,110,5,6,231,14,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"8","LOC113664141",233,353,79,116,218,259,335,234,227,140,426,342,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"12","LOC113664150",458,152,4,63,226,290,121,16,130,113,241,95,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"21","LOC113664336",218,133,777,744,402,327,167,178,744,933,378,282,"CvsHigh","GO:0016020",0,1,18,18,"membrane","CC"
"46","LOC113664632",53,75,336,494,90,165,35,318,564,401,20,38,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"164","LOC113666401",39,7,15,7,13,57,18,38,19,31,49,13,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"271","LOC113668461",25,17,25,14,22,26,13,17,29,26,38,27,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"291","LOC113669063",9,13,627,778,33,8,156,15,892,533,64,23,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"343","LOC113670163",278,116,662,402,305,254,154,223,709,938,373,296,"CvsHigh","GO:0016020",0,1,18,18,"membrane","CC"
"414","LOC113671459",30,11,15,25,36,45,17,35,16,19,36,25,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
