"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"1","LOC110044078","GO:0032813",0.000375161286076861,1,1,1,"tumor necrosis factor receptor superfamily binding","MF",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.16350581871835,0.686248929286891,-4.60985173704486,4.02956238306175e-06,0.0264124382335087,"CvsT1"
"2","LOC110044078","GO:0032813",0.000375161286076861,1,1,1,"tumor necrosis factor receptor superfamily binding","MF",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.27683638181401,0.6866619012388,-4.77212493645315,1.82292361741076e-06,0.00664565690352721,"CvsT3"
"3","LOC110044078","GO:0005164",0.0107006668540682,0.999951631738709,1,26,"tumor necrosis factor receptor binding","MF",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.16350581871835,0.686248929286891,-4.60985173704486,4.02956238306175e-06,0.0264124382335087,"CvsT1"
"4","LOC110044078","GO:0005164",0.0107006668540682,0.999951631738709,1,26,"tumor necrosis factor receptor binding","MF",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.27683638181401,0.6866619012388,-4.77212493645315,1.82292361741076e-06,0.00664565690352721,"CvsT3"
"22","LOC110045321","GO:0019901",0.0471931283849705,0.999016152087816,1,119,"protein kinase binding","MF",2855,245,73,158,100,139,223,204,217,328,220,172,268,345,457,217.197987452254,-1.645674615117,0.341261478734566,-4.82232750446767,1.41892720654481e-06,0.00664565690352721,"CvsT3"
"23","LOC110045321","GO:0047756",0.00152833968062482,0.999999233048408,1,4,"chondroitin 4-sulfotransferase activity","MF",2855,245,73,158,100,139,223,204,217,328,220,172,268,345,457,217.197987452254,-1.645674615117,0.341261478734566,-4.82232750446767,1.41892720654481e-06,0.00664565690352721,"CvsT3"
"28","LOC110045321","GO:0004709",0.00535352808600968,0.999988481563265,1,12,"MAP kinase kinase kinase activity","MF",2855,245,73,158,100,139,223,204,217,328,220,172,268,345,457,217.197987452254,-1.645674615117,0.341261478734566,-4.82232750446767,1.41892720654481e-06,0.00664565690352721,"CvsT3"
"34","LOC110045321","GO:0050659",0.00226062380349728,0.999998135077315,1,6,"N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity","MF",2855,245,73,158,100,139,223,204,217,328,220,172,268,345,457,217.197987452254,-1.645674615117,0.341261478734566,-4.82232750446767,1.41892720654481e-06,0.00664565690352721,"CvsT3"
"38","LOC110045321","GO:0008146",0.0304616593060514,0.999594687133296,1,76,"sulfotransferase activity","MF",2855,245,73,158,100,139,223,204,217,328,220,172,268,345,457,217.197987452254,-1.645674615117,0.341261478734566,-4.82232750446767,1.41892720654481e-06,0.00664565690352721,"CvsT3"
"44","LOC110045321","GO:0004983",0.0196865307823134,0.999832647094043,1,49,"neuropeptide Y receptor activity","MF",2855,245,73,158,100,139,223,204,217,328,220,172,268,345,457,217.197987452254,-1.645674615117,0.341261478734566,-4.82232750446767,1.41892720654481e-06,0.00664565690352721,"CvsT3"
"49","LOC110059125","GO:0008168",0.0388996843822998,0.999334840942636,1,99,"methyltransferase activity","MF",4906,293,467,237,183,120,184,190,103,219,360,276,144,243,221,296.262026481503,-3.06731411985987,0.677842279394681,-4.52511478422239,6.03627351323453e-06,0.0169567546234634,"CvsT3"
