"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","23_ctl1_Of_CT_1","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"4","LOC110039914","GO:0004013",0.00315833370252037,0.99999648841628,1,4,"adenosylhomocysteinase activity","MF",2022,1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,839.973277465816,3.41127786288898,0.825679959067753,4.13147712430921,3.6043956604452e-05,0.0437704300502686,"CvsT3"
"5","LOC110039914","GO:0004013",0.00315833370252037,0.99999648841628,1,4,"adenosylhomocysteinase activity","MF",2022,1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,839.973277465816,3.54364420908728,0.824896699182102,4.29586421257457,1.74014079398499e-05,0.0306585596072295,"CvsT4"
"6","LOC110039914","GO:0004013",0.00315833370252037,0.99999648841628,1,4,"adenosylhomocysteinase activity","MF",2022,1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,839.973277465816,3.68038584033829,0.825681159024962,4.45739351093395,8.29622263537985e-06,0.0174090306130135,"CvsT2"
"16","LOC110044078","GO:0032813",0.00104943697770095,1,1,1,"tumor necrosis factor receptor superfamily binding","MF",5685,128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238,432.158160229469,-3.08939721962386,0.675288793395076,-4.57492742340892,4.76385099557944e-06,0.0153628700589137,"CvsT2"
"17","LOC110044078","GO:0032813",0.00104943697770095,1,1,1,"tumor necrosis factor receptor superfamily binding","MF",5685,128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238,432.158160229469,-3.36487676091324,0.674761112458179,-4.9867674630135,6.13978889624007e-07,0.0112579169201458,"CvsT1"
"18","LOC110044078","GO:0032813",0.00104943697770095,1,1,1,"tumor necrosis factor receptor superfamily binding","MF",5685,128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238,432.158160229469,-3.08909881637764,0.674871742431295,-4.57731243161678,4.7098776835989e-06,0.0306312781284598,"CvsT4"
"19","LOC110044078","GO:0032813",0.00104943697770095,1,1,1,"tumor necrosis factor receptor superfamily binding","MF",5685,128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238,432.158160229469,-3.47662245565916,0.67519445559267,-5.14906843037902,2.6178336899933e-07,0.00336889017565238,"CvsT3"
"24","LOC110044078","GO:0005164",0.0213128867910101,0.999793980610801,1,25,"tumor necrosis factor receptor binding","MF",5685,128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238,432.158160229469,-3.08939721962386,0.675288793395076,-4.57492742340892,4.76385099557944e-06,0.0153628700589137,"CvsT2"
"25","LOC110044078","GO:0005164",0.0213128867910101,0.999793980610801,1,25,"tumor necrosis factor receptor binding","MF",5685,128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238,432.158160229469,-3.36487676091324,0.674761112458179,-4.9867674630135,6.13978889624007e-07,0.0112579169201458,"CvsT1"
"26","LOC110044078","GO:0005164",0.0213128867910101,0.999793980610801,1,25,"tumor necrosis factor receptor binding","MF",5685,128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238,432.158160229469,-3.08909881637764,0.674871742431295,-4.57731243161678,4.7098776835989e-06,0.0306312781284598,"CvsT4"
"27","LOC110044078","GO:0005164",0.0213128867910101,0.999793980610801,1,25,"tumor necrosis factor receptor binding","MF",5685,128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238,432.158160229469,-3.47662245565916,0.67519445559267,-5.14906843037902,2.6178336899933e-07,0.00336889017565238,"CvsT3"
"45","LOC110050314","GO:0016301",0.0411556754374749,0.999210797145476,1,48,"kinase activity","MF",1038,13,2,45,12,6,12,7,11,55,40,11,14,9,7,15,129.227854192404,6.27916055373154,1.37510585759816,4.56631067276457,4.96382943468064e-06,0.024651088491769,"CvsT1"
"46","LOC110050314","GO:0016301",0.0411556754374749,0.999210797145476,1,48,"kinase activity","MF",1038,13,2,45,12,6,12,7,11,55,40,11,14,9,7,15,129.227854192404,5.9261677356751,1.36894884425965,4.32899137212104,1.49793801326071e-05,0.0306585596072295,"CvsT4"
"47","LOC110050314","GO:0016301",0.0411556754374749,0.999210797145476,1,48,"kinase activity","MF",1038,13,2,45,12,6,12,7,11,55,40,11,14,9,7,15,129.227854192404,6.0849294015172,1.38773388630994,4.38479557323295,1.16094750843945e-05,0.0315145477757345,"CvsT3"
"48","LOC110052551","GO:0004725",0.0398847650635611,0.999259467478912,1,47,"protein tyrosine phosphatase activity","MF",2305,31,9,0,276,7,87,23,37,27,67,11,96,55,173,72,48.9233023471916,-3.73050411460743,0.833786780168785,-4.47417037944912,7.67085591899366e-06,0.0281305628261335,"CvsT1"
