"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2"
"35","LOC113665701","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",47.5725525261979,-1.25126958729996,0.326114843973648,-3.83689859698956,0.000124597889508432,0.00866925818157664,"CvsMid",56,49,38,29,28,58,46,87,31,38,41,25
"36","LOC113665701","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",47.5725525261979,-1.91909969444675,0.317846340022568,-6.03782222035495,1.56208023381594e-09,4.32571258348311e-07,"CvsHigh",56,49,38,29,28,58,46,87,31,38,41,25
"37","LOC113665702","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",81.7010084816572,-1.4514256328037,0.390392211347771,-3.71786524068415,0.000200913389545149,0.0101527255169421,"CvsHigh",68,117,49,81,52,83,75,82,108,71,89,39
"126","LOC113670426","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",59.6797564930728,-3.23940369890664,0.875531908121272,-3.69992648909598,0.000215661927412055,0.0135729774861241,"CvsMid",109,0,8,14,28,88,47,140,7,43,110,65
"127","LOC113670426","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",59.6797564930728,-2.84174820036268,0.876831420339106,-3.24092879708127,0.00119140938608374,0.0402347667310132,"CvsHigh",109,0,8,14,28,88,47,140,7,43,110,65
"167","LOC113673097","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",175.963400261807,-1.40960511004806,0.354281438771408,-3.97877211670006,6.92720967140454e-05,0.00413423039268393,"CvsHigh",165,75,84,193,103,214,335,238,230,144,165,142
"168","LOC113673162","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",57.3023849016028,-3.37091521879494,0.481110278955112,-7.00653335887144,2.44295335281471e-12,1.05703537884602e-09,"CvsHigh",75,83,21,12,47,56,88,72,9,24,28,39
"169","LOC113673162","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",57.3023849016028,-2.67813496349877,0.485416961514238,-5.51718455643667,3.44473629175181e-08,6.91243749211529e-06,"CvsMid",75,83,21,12,47,56,88,72,9,24,28,39
"226","LOC113677713","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",143.699247840983,-1.60661102254707,0.441471369322015,-3.63921906196182,0.000273466097300468,0.0130565916662837,"CvsHigh",118,141,80,237,109,160,188,190,73,73,145,85
"239","LOC113679283","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",122.099983225904,-1.385072596387,0.437741034473402,-3.16413698353235,0.00155543567714767,0.0478051720965662,"CvsHigh",104,112,51,172,159,146,121,119,68,119,93,87
"370","LOC113687128","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",28.428355199367,-1.28320296724712,0.347583327815102,-3.69178514778972,0.000222685547157195,0.0110118003069233,"CvsHigh",30,26,18,21,23,22,37,29,22,42,29,23
"371","LOC113687128","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF",28.428355199367,-1.17704984314926,0.350015030439855,-3.36285513702109,0.000771408323822039,0.037345872907832,"CvsMid",30,26,18,21,23,22,37,29,22,42,29,23
"99","LOC113669355","GO:0003950",0.0121670437917324,0.998074385709742,4,37,"NAD+ ADP-ribosyltransferase activity","MF",96.3128318785193,-1.52269684093543,0.341792606808388,-4.45503153258394,8.38808653420923e-06,0.00078461549046718,"CvsHigh",94,83,63,69,137,85,69,118,92,47,110,76
"100","LOC113669355","GO:0003950",0.0121670437917324,0.998074385709742,4,37,"NAD+ ADP-ribosyltransferase activity","MF",96.3128318785193,-1.76428136937238,0.340462006063095,-5.18202130620538,2.1949413462466e-07,3.70623876586956e-05,"CvsMid",94,83,63,69,137,85,69,118,92,47,110,76
"105","LOC113669444","GO:0003950",0.0121670437917324,0.998074385709742,4,37,"NAD+ ADP-ribosyltransferase activity","MF",193.174234814624,-1.27050406838166,0.310935478792714,-4.08606979594195,4.38741848553401e-05,0.0037498886636237,"CvsMid",179,147,228,121,250,161,159,229,224,148,235,130
"106","LOC113669444","GO:0003950",0.0121670437917324,0.998074385709742,4,37,"NAD+ ADP-ribosyltransferase activity","MF",193.174234814624,-1.0720495755922,0.311577175867367,-3.44071921381221,0.000580170257596407,0.0239792160796414,"CvsHigh",179,147,228,121,250,161,159,229,224,148,235,130
"109","LOC113669449","GO:0003950",0.0121670437917324,0.998074385709742,4,37,"NAD+ ADP-ribosyltransferase activity","MF",60.9979866369283,-2.14715237327372,0.636211670468267,-3.37490252527647,0.000738418401942859,0.0363848441042734,"CvsMid",60,72,49,9,67,21,27,76,29,59,145,35
"248","LOC113679585","GO:0003950",0.0121670437917324,0.998074385709742,4,37,"NAD+ ADP-ribosyltransferase activity","MF",87.4277806384212,-3.38336589885944,0.840672183132821,-4.02459599204424,5.70732108402954e-05,0.00462126127072942,"CvsMid",169,105,6,29,161,185,8,37,30,26,27,55
"249","LOC113679585","GO:0003950",0.0121670437917324,0.998074385709742,4,37,"NAD+ ADP-ribosyltransferase activity","MF",87.4277806384212,-3.09640168049075,0.841339494861751,-3.68032369739109,0.00023293806667767,0.0113966801103146,"CvsHigh",169,105,6,29,161,185,8,37,30,26,27,55
"54","LOC113666660","GO:0008289",0.0409027207786445,0.993038645777263,3,32,"lipid binding","MF",387.445706179502,-1.58104482574259,0.371297904360011,-4.25815714868566,2.0611903740681e-05,0.00160332819771612,"CvsHigh",467,180,136,382,589,520,356,450,285,200,522,227
"55","LOC113666660","GO:0008289",0.0409027207786445,0.993038645777263,3,32,"lipid binding","MF",387.445706179502,-1.94662412146775,0.37082696096822,-5.24941367905172,1.52584077980322e-07,2.67427739710827e-05,"CvsMid",467,180,136,382,589,520,356,450,285,200,522,227
"182","LOC113673934","GO:0008289",0.0409027207786445,0.993038645777263,3,32,"lipid binding","MF",301.892250548677,1.59944818656068,0.40769840627945,3.92311611212029,8.74109973878389e-05,0.00506443913341135,"CvsHigh",174,61,993,800,197,163,177,161,765,845,390,49
"311","LOC113682888","GO:0008289",0.0409027207786445,0.993038645777263,3,32,"lipid binding","MF",261.069654136759,-3.61500450485738,0.908331261018431,-3.97983055301234,6.89644066524252e-05,0.00413423039268393,"CvsHigh",372,200,24,52,340,410,344,386,64,93,443,0
"312","LOC113682888","GO:0008289",0.0409027207786445,0.993038645777263,3,32,"lipid binding","MF",261.069654136759,-3.38421456948076,0.90848488600089,-3.72511928555897,0.000195222884558294,0.0126311030822156,"CvsMid",372,200,24,52,340,410,344,386,64,93,443,0
"229","LOC113677818","GO:0051537",0.048566162092739,0.995042801680789,2,15,"2 iron, 2 sulfur cluster binding","MF",413.618702448642,0.622249304537661,0.163241310848925,3.81183722001311,0.000137937707777544,0.00731756897275047,"CvsHigh",293,187,878,848,296,359,248,282,857,884,426,258
"300","LOC113682506","GO:0051537",0.048566162092739,0.995042801680789,2,15,"2 iron, 2 sulfur cluster binding","MF",2249.55276639096,1.15674432746738,0.367707758762686,3.14582518291089,0.00165618967689106,0.0496355027407653,"CvsHigh",1496,369,5015,7008,1350,2262,1410,952,4214,4852,2491,1633
"24","LOC113665266","GO:0048487",0.0459571577001183,0.999460476846502,1,2,"beta-tubulin binding","MF",164.01931656422,-5.24789695663669,0.473288223459513,-11.0881629766256,1.43198208841348e-28,1.98272239961731e-25,"CvsHigh",236,41,7,13,123,307,186,305,7,15,237,202
"25","LOC113665266","GO:0048487",0.0459571577001183,0.999460476846502,1,2,"beta-tubulin binding","MF",164.01931656422,-5.37398595247321,0.473018160996665,-11.3610562883041,6.5349660762262e-30,1.00536822546031e-26,"CvsMid",236,41,7,13,123,307,186,305,7,15,237,202
"31","LOC113665451","GO:0004817",0.0244155994305271,1,1,1,"cysteine-tRNA ligase activity","MF",312.520083911524,-0.911682968054006,0.277056426591518,-3.29060393678634,0.000999725617846568,0.0354020483496255,"CvsHigh",270,168,187,467,228,419,303,385,350,374,357,265
"45","LOC113666259","GO:0003868",0.0239005266408133,1,1,1,"4-hydroxyphenylpyruvate dioxygenase activity","MF",195.828683192122,-0.651379177301899,0.192956035442626,-3.37579063441932,0.00073603906615996,0.0283877351254897,"CvsHigh",131,115,235,200,117,212,264,253,386,309,174,120
"46","LOC113666259","GO:0016701",0.0239005266408133,1,1,1,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","MF",195.828683192122,-0.651379177301899,0.192956035442626,-3.37579063441932,0.00073603906615996,0.0283877351254897,"CvsHigh",131,115,235,200,117,212,264,253,386,309,174,120
"47","LOC113666334","GO:0004044",0.0236193110395536,1,1,1,"amidophosphoribosyltransferase activity","MF",286.16643039206,0.75767094869216,0.193180462503634,3.92208890522718,8.77845870300971e-05,0.00506443913341135,"CvsHigh",250,77,652,592,217,244,213,192,557,661,277,161
"63","LOC113666995","GO:0004733",0.0236183783840856,1,1,1,"pyridoxamine-phosphate oxidase activity","MF",303.350673360141,1.47709731882647,0.266041925915547,5.55212233464043,2.82221969457645e-08,5.35293888919253e-06,"CvsHigh",207,72,773,1091,172,210,148,150,671,670,262,180
"64","LOC113666995","GO:0004733",0.0236183783840856,1,1,1,"pyridoxamine-phosphate oxidase activity","MF",303.350673360141,0.877520667251059,0.263530699132832,3.32986126526665,0.000868892655008927,0.0413425694201155,"CvsMid",207,72,773,1091,172,210,148,150,671,670,262,180
"83","LOC113668014","GO:0008113",0.0234730838855008,1,1,1,"peptide-methionine (S)-S-oxide reductase activity","MF",721.83965202877,1.1727609713625,0.333208490737631,3.51960110249993,0.000432196277609157,0.0194291872070662,"CvsHigh",499,111,1568,2024,389,550,459,401,1404,1581,894,627
"91","LOC113668931","GO:0004421",0.0236206543160192,1,1,1,"hydroxymethylglutaryl-CoA synthase activity","MF",192.136328980654,0.815822482203799,0.161704587514936,5.04514123403238,4.53186489241936e-07,5.97071152614189e-05,"CvsHigh",139,57,399,403,114,169,120,153,538,456,163,118
"92","LOC113668931","GO:0004421",0.0236206543160192,1,1,1,"hydroxymethylglutaryl-CoA synthase activity","MF",192.136328980654,0.617687554967343,0.160110821690012,3.85787511704387,0.00011437705878521,0.00812135772276935,"CvsMid",139,57,399,403,114,169,120,153,538,456,163,118
"115","LOC113669646","GO:0016755",0.0230452907991091,1,1,1,"transferase activity, transferring amino-acyl groups","MF",33.4968308536427,-2.58051815945058,0.778467741148007,-3.31486845639241,0.000916862591138342,0.0427437018077491,"CvsMid",41,10,33,5,49,81,8,11,23,7,18,65
