"","gene_id","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2","Treatment_Compare","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"31","LOC113664439",462,332,111,327,521,488,376,445,15,111,582,379,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"35","LOC113664448",22,15,20,3,20,22,23,26,23,27,27,22,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"50","LOC113664651",47,12,129,122,35,46,40,59,154,148,45,26,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"54","LOC113664669",14,21,16,13,37,23,11,38,43,13,45,26,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"59","LOC113664769",571,477,289,143,586,523,510,654,261,825,729,473,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"75","LOC113664907",1423,842,5229,5619,1974,1834,1653,1316,4480,4382,2290,1607,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"84","LOC113665132",832,342,3208,2492,623,422,806,346,2641,2193,1249,741,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"118","LOC113665670",143,45,66,58,71,97,147,201,39,61,128,93,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"130","LOC113665823",34,10,78,84,12,32,21,33,93,124,34,17,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"145","LOC113666137",17,31,16,20,14,19,17,66,3,23,54,14,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"200","LOC113666891",140,76,50,66,48,115,93,191,79,121,112,63,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"215","LOC113667133",154,70,168,70,104,106,120,217,125,129,129,86,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"258","LOC113668150",974,1112,59,214,355,842,796,930,197,381,1090,328,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"267","LOC113668440",518,207,54,69,440,506,499,468,130,136,616,317,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"315","LOC113669782",96,55,29,32,62,69,102,117,31,20,70,38,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"318","LOC113669820",572,363,109,87,445,967,380,526,80,147,970,327,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
