"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2","prot","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr","GO_terms","length"
"1","LOC113664124",21.4625021638535,-2.00278649355018,0.489232223367657,-4.09373380960864,4.2448161268648e-05,0.00366471866738769,"CvsMid",27,20,20,5,21,15,16,31,21,6,34,15,"XP_027035528.1","NW_020843402.1","Gnomon","CDS",785649,786323,".","-","0","ID=cds-XP_027035528.1;Parent=rna-XM_027179727.1;Dbxref=GeneID:113664124,Genbank:XP_027035528.1;Name=XP_027035528.1;end_range=786323,.;gbkey=CDS;gene=LOC113664124;partial=true;product=substance-P receptor-like;protein_id=XP_027035528.1","GO:0016021,GO:0004930,GO:0007186,GO:0016021",674
"2","LOC113664139",50.0164673284491,-4.19296468585671,0.985672302046057,-4.25391347322326,2.10066501318199e-05,0.00191353998503407,"CvsMid",16,75,9,7,13,13,7,110,5,6,231,14,"XP_027035537.1","NW_020843939.1","Gnomon","CDS",76034,77026,".","+","0","ID=cds-XP_027035537.1;Parent=rna-XM_027179736.1;Dbxref=GeneID:113664139,Genbank:XP_027035537.1;Name=XP_027035537.1;gbkey=CDS;gene=LOC113664139;product=beta-1%2C3-galactosyltransferase 5-like;protein_id=XP_027035537.1","GO:0006486,GO:0016020",992
"3","LOC113664141",290.482134507231,-2.28302636442786,0.409692825839152,-5.57253195672066,2.51063419134547e-08,5.51781603386816e-06,"CvsMid",233,353,79,116,218,259,335,234,227,140,426,342,"XP_027035539.1","NW_020843939.1","Gnomon","CDS",98915,98965,".","+","0","ID=cds-XP_027035539.1;Parent=rna-XM_027179738.1;Dbxref=GeneID:113664141,Genbank:XP_027035539.1;Name=XP_027035539.1;gbkey=CDS;gene=LOC113664141;product=multiple epidermal growth factor-like domains protein 11;protein_id=XP_027035539.1","GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020",50
"4","LOC113664141",290.482134507231,-2.28302636442786,0.409692825839152,-5.57253195672066,2.51063419134547e-08,5.51781603386816e-06,"CvsMid",233,353,79,116,218,259,335,234,227,140,426,342,"XP_027035539.1","NW_020843939.1","Gnomon","CDS",109768,110299,".","+","1","ID=cds-XP_027035539.1;Parent=rna-XM_027179738.1;Dbxref=GeneID:113664141,Genbank:XP_027035539.1;Name=XP_027035539.1;gbkey=CDS;gene=LOC113664141;product=multiple epidermal growth factor-like domains protein 11;protein_id=XP_027035539.1","GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020",531
"5","LOC113664141",290.482134507231,-2.28302636442786,0.409692825839152,-5.57253195672066,2.51063419134547e-08,5.51781603386816e-06,"CvsMid",233,353,79,116,218,259,335,234,227,140,426,342,"XP_027035539.1","NW_020843939.1","Gnomon","CDS",108452,108902,".","+","2","ID=cds-XP_027035539.1;Parent=rna-XM_027179738.1;Dbxref=GeneID:113664141,Genbank:XP_027035539.1;Name=XP_027035539.1;gbkey=CDS;gene=LOC113664141;product=multiple epidermal growth factor-like domains protein 11;protein_id=XP_027035539.1","GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020",450
"6","LOC113664141",290.482134507231,-2.28302636442786,0.409692825839152,-5.57253195672066,2.51063419134547e-08,5.51781603386816e-06,"CvsMid",233,353,79,116,218,259,335,234,227,140,426,342,"XP_027035539.1","NW_020843939.1","Gnomon","CDS",103986,104514,".","+","1","ID=cds-XP_027035539.1;Parent=rna-XM_027179738.1;Dbxref=GeneID:113664141,Genbank:XP_027035539.1;Name=XP_027035539.1;gbkey=CDS;gene=LOC113664141;product=multiple epidermal growth factor-like domains protein 11;protein_id=XP_027035539.1","GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020",528
"7","LOC113664141",290.482134507231,-2.28302636442786,0.409692825839152,-5.57253195672066,2.51063419134547e-08,5.51781603386816e-06,"CvsMid",233,353,79,116,218,259,335,234,227,140,426,342,"XP_027035539.1","NW_020843939.1","Gnomon","CDS",102242,102508,".","+","0","ID=cds-XP_027035539.1;Parent=rna-XM_027179738.1;Dbxref=GeneID:113664141,Genbank:XP_027035539.1;Name=XP_027035539.1;gbkey=CDS;gene=LOC113664141;product=multiple epidermal growth factor-like domains protein 11;protein_id=XP_027035539.1","GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020",266
"8","LOC113664141",290.482134507231,-2.28302636442786,0.409692825839152,-5.57253195672066,2.51063419134547e-08,5.51781603386816e-06,"CvsMid",233,353,79,116,218,259,335,234,227,140,426,342,"XP_027035539.1","NW_020843939.1","Gnomon","CDS",106915,106993,".","+","0","ID=cds-XP_027035539.1;Parent=rna-XM_027179738.1;Dbxref=GeneID:113664141,Genbank:XP_027035539.1;Name=XP_027035539.1;gbkey=CDS;gene=LOC113664141;product=multiple epidermal growth factor-like domains protein 11;protein_id=XP_027035539.1","GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020",78
"9","LOC113664141",290.482134507231,-2.28302636442786,0.409692825839152,-5.57253195672066,2.51063419134547e-08,5.51781603386816e-06,"CvsMid",233,353,79,116,218,259,335,234,227,140,426,342,"XP_027035539.1","NW_020843939.1","Gnomon","CDS",103153,103727,".","+","0","ID=cds-XP_027035539.1;Parent=rna-XM_027179738.1;Dbxref=GeneID:113664141,Genbank:XP_027035539.1;Name=XP_027035539.1;gbkey=CDS;gene=LOC113664141;product=multiple epidermal growth factor-like domains protein 11;protein_id=XP_027035539.1","GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020,GO:0007154,GO:0016020",574
"10","LOC113664150",183.041454303506,-2.8815137076891,0.832822146767834,-3.45993885834112,0.000540298053673829,0.02804448966107,"CvsMid",458,152,4,63,226,290,121,16,130,113,241,95,"XP_027035546.1","NW_020843939.1","Gnomon","CDS",115950,116454,".","+","1","ID=cds-XP_027035546.1;Parent=rna-XM_027179745.1;Dbxref=GeneID:113664150,Genbank:XP_027035546.1;Name=XP_027035546.1;gbkey=CDS;gene=LOC113664150;partial=true;product=protein jagged-1-like;protein_id=XP_027035546.1","GO:0007154,GO:0016020,GO:0007154,GO:0016020",504
