"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2","length"
"1","LOC113664141","GO:0007154",0.000509546274168961,0.999970416915403,4,15,"cell communication","BP",290.482134507231,-2.32638306719626,0.409640798721396,-5.67908048821688,1.3542074896528e-08,2.88467029257426e-06,"CvsHigh",233,353,79,116,218,259,335,234,227,140,426,342,12015
"2","LOC113664141","GO:0007154",0.000509546274168961,0.999970416915403,4,15,"cell communication","BP",290.482134507231,-2.28302636442786,0.409692825839152,-5.57253195672066,2.51063419134547e-08,5.51781603386816e-06,"CvsMid",233,353,79,116,218,259,335,234,227,140,426,342,12015
"3","LOC113664150","GO:0007154",0.000509546274168961,0.999970416915403,4,15,"cell communication","BP",183.041454303506,-2.8815137076891,0.832822146767834,-3.45993885834112,0.000540298053673829,0.02804448966107,"CvsMid",458,152,4,63,226,290,121,16,130,113,241,95,2364
"52","LOC113672798","GO:0007154",0.000509546274168961,0.999970416915403,4,15,"cell communication","BP",258.074142599471,-1.15202165396591,0.330092134600031,-3.49000031570519,0.0004830199765164,0.0207055560211953,"CvsHigh",249,148,218,334,136,292,501,276,223,341,176,201,6812
"66","LOC113676583","GO:0007154",0.000509546274168961,0.999970416915403,4,15,"cell communication","BP",4019.07086747084,-1.51916715045148,0.260047004847618,-5.84189443497602,5.16105092081507e-09,1.42919822099211e-06,"CvsMid",6066,2496,2155,2942,4562,4158,3904,4385,3773,4625,3911,2785,8280
"67","LOC113676583","GO:0007154",0.000509546274168961,0.999970416915403,4,15,"cell communication","BP",4019.07086747084,-1.24848561140912,0.260097397327779,-4.80006960560146,1.5861049388526e-06,0.000190967034637853,"CvsHigh",6066,2496,2155,2942,4562,4158,3904,4385,3773,4625,3911,2785,8280
"31","LOC113668931","GO:0008299",0.017945819997958,0.999011220581532,2,9,"isoprenoid biosynthetic process","BP",192.136328980654,0.815822482203799,0.161704587514936,5.04514123403238,4.53186489241936e-07,5.97071152614189e-05,"CvsHigh",139,57,399,403,114,169,120,153,538,456,163,118,6307
"32","LOC113668931","GO:0008299",0.017945819997958,0.999011220581532,2,9,"isoprenoid biosynthetic process","BP",192.136328980654,0.617687554967343,0.160110821690012,3.85787511704387,0.00011437705878521,0.00812135772276935,"CvsMid",139,57,399,403,114,169,120,153,538,456,163,118,6307
"59","LOC113674379","GO:0006099",0.0374314591008225,0.996743357175023,2,13,"tricarboxylic acid cycle","BP",1680.72627367413,1.02575838437167,0.264598567688585,3.87665886982017,0.000105900671225297,0.00596057192595714,"CvsHigh",1130,721,3935,5019,1102,1128,1069,745,3437,3355,1551,1080,8541
"65","LOC113676559","GO:0008299",0.017945819997958,0.999011220581532,2,9,"isoprenoid biosynthetic process","BP",74.469637060122,0.88847260490703,0.252191705799585,3.52300485890322,0.000426683537844426,0.019306732892137,"CvsHigh",54,38,180,192,42,60,41,43,167,172,72,30,7233
"82","LOC113682506","GO:0006099",0.0374314591008225,0.996743357175023,2,13,"tricarboxylic acid cycle","BP",2249.55276639096,1.15674432746738,0.367707758762686,3.14582518291089,0.00165618967689106,0.0496355027407653,"CvsHigh",1496,369,5015,7008,1350,2262,1410,952,4214,4852,2491,1633,5647
"93","LOC113684236","GO:0006915",0.0156774520659154,0.999217587351877,2,8,"apoptotic process","BP",130.165561129919,-1.18418658265478,0.312040740906741,-3.79497426910897,0.000147658769071776,0.0100219770419991,"CvsMid",99,43,101,152,115,195,130,119,116,155,172,154,3398
"96","LOC113685074","GO:0006915",0.0156774520659154,0.999217587351877,2,8,"apoptotic process","BP",224.131877282766,2.36287057074206,0.73659479130703,3.20782959454455,0.00133740716287872,0.0434688722469925,"CvsHigh",25,30,705,430,180,39,164,38,1145,653,360,26,8563
"6","LOC113665266","GO:0007021",0.0459571577001183,0.999460476846502,1,2,"tubulin complex assembly","BP",164.01931656422,-5.24789695663669,0.473288223459513,-11.0881629766256,1.43198208841348e-28,1.98272239961731e-25,"CvsHigh",236,41,7,13,123,307,186,305,7,15,237,202,3140
"7","LOC113665266","GO:0007021",0.0459571577001183,0.999460476846502,1,2,"tubulin complex assembly","BP",164.01931656422,-5.37398595247321,0.473018160996665,-11.3610562883041,6.5349660762262e-30,1.00536822546031e-26,"CvsMid",236,41,7,13,123,307,186,305,7,15,237,202,3140
"8","LOC113665266","GO:0007023",0.0459571577001183,0.999460476846502,1,2,"post-chaperonin tubulin folding pathway","BP",164.01931656422,-5.24789695663669,0.473288223459513,-11.0881629766256,1.43198208841348e-28,1.98272239961731e-25,"CvsHigh",236,41,7,13,123,307,186,305,7,15,237,202,3140
"9","LOC113665266","GO:0007023",0.0459571577001183,0.999460476846502,1,2,"post-chaperonin tubulin folding pathway","BP",164.01931656422,-5.37398595247321,0.473018160996665,-11.3610562883041,6.5349660762262e-30,1.00536822546031e-26,"CvsMid",236,41,7,13,123,307,186,305,7,15,237,202,3140
"11","LOC113665451","GO:0006423",0.0244155994305271,1,1,1,"cysteinyl-tRNA aminoacylation","BP",312.520083911524,-0.911682968054006,0.277056426591518,-3.29060393678634,0.000999725617846568,0.0354020483496255,"CvsHigh",270,168,187,467,228,419,303,385,350,374,357,265,13761
"15","LOC113666052","GO:0017183",0.0467963939613129,0.999440348436022,1,2,"peptidyl-diphthamide biosynthetic process from peptidyl-histidine","BP",80.5324804937744,-0.840492399233886,0.239660829320818,-3.50700780605568,0.00045317585439876,0.0197939207571143,"CvsHigh",65,44,72,104,60,112,82,104,80,136,74,60,9672
"19","LOC113666334","GO:0009113",0.0466827706291861,0.999443095699252,1,2,"purine nucleobase biosynthetic process","BP",286.16643039206,0.75767094869216,0.193180462503634,3.92208890522718,8.77845870300971e-05,0.00506443913341135,"CvsHigh",250,77,652,592,217,244,213,192,557,661,277,161,5179
"20","LOC113666513","GO:0006278",0.0464172712943597,0.999449488139165,1,2,"RNA-dependent DNA biosynthetic process","BP",23.8709757161105,-1.67772675330637,0.50513590122804,-3.32133738510297,0.000895871703950549,0.0329899989704769,"CvsHigh",37,27,24,17,11,20,42,18,24,9,23,11,2825
"25","LOC113666995","GO:0008615",0.0236183783840856,1,1,1,"pyridoxine biosynthetic process","BP",303.350673360141,1.47709731882647,0.266041925915547,5.55212233464043,2.82221969457645e-08,5.35293888919253e-06,"CvsHigh",207,72,773,1091,172,210,148,150,671,670,262,180,4968
"26","LOC113666995","GO:0008615",0.0236183783840856,1,1,1,"pyridoxine biosynthetic process","BP",303.350673360141,0.877520667251059,0.263530699132832,3.32986126526665,0.000868892655008927,0.0413425694201155,"CvsMid",207,72,773,1091,172,210,148,150,671,670,262,180,4968
"44","LOC113672399","GO:0019343",0.0475188316528492,0.999422718813608,1,2,"cysteine biosynthetic process via cystathionine","BP",39.7914511828995,-1.44823137629141,0.268885415834233,-5.38605402527386,7.20213228013238e-08,1.3475773452799e-05,"CvsMid",44,17,35,30,36,57,35,40,41,33,44,47,4547
"45","LOC113672399","GO:0019343",0.0475188316528492,0.999422718813608,1,2,"cysteine biosynthetic process via cystathionine","BP",39.7914511828995,-1.13080027389517,0.273802827297435,-4.12998026739428,3.62794371839791e-05,0.00243609735778959,"CvsHigh",44,17,35,30,36,57,35,40,41,33,44,47,4547
"46","LOC113672399","GO:0006535",0.0475188316528492,0.999422718813608,1,2,"cysteine biosynthetic process from serine","BP",39.7914511828995,-1.44823137629141,0.268885415834233,-5.38605402527386,7.20213228013238e-08,1.3475773452799e-05,"CvsMid",44,17,35,30,36,57,35,40,41,33,44,47,4547
"47","LOC113672399","GO:0006535",0.0475188316528492,0.999422718813608,1,2,"cysteine biosynthetic process from serine","BP",39.7914511828995,-1.13080027389517,0.273802827297435,-4.12998026739428,3.62794371839791e-05,0.00243609735778959,"CvsHigh",44,17,35,30,36,57,35,40,41,33,44,47,4547
"50","LOC113672624","GO:0048869",0.0237319623857667,1,1,1,"cellular developmental process","BP",57.1602872566003,-1.61524523243565,0.427643576993961,-3.77708287773129,0.000158675942208643,0.00822856590195085,"CvsHigh",88,46,51,14,46,76,62,62,78,32,59,31,9270
"51","LOC113672624","GO:0048869",0.0237319623857667,1,1,1,"cellular developmental process","BP",57.1602872566003,-1.49421733190997,0.428554066425279,-3.48664835775277,0.000489114011701249,0.025860062358947,"CvsMid",88,46,51,14,46,76,62,62,78,32,59,31,9270
