Orthogroup	plut2v1.1.proteins	Pocillopora_acuta_HIv1.genes.pep
OG0000000	plut2.m8.30690.m1	Pocillopora_acuta_HIv1_PredGene_g22080.t1
OG0000000	plut2.m8.13359.m1, plut2.m8.20070.m1, plut2.m8.13361.m1	Pocillopora_acuta_HIv1_PredGene_g18572.t1, Pocillopora_acuta_HIv1_PredGene_g18571.t1
OG0000000	plut2.m8.11062.m1, plut2.m8.11064.m1	Pocillopora_acuta_HIv1_PredGene_g14419.t1
OG0000001	plut2.m8.32705.m1	Pocillopora_acuta_HIv1_PredGene_g13252.t1, Pocillopora_acuta_HIv1_PredGene_g17496.t1, Pocillopora_acuta_HIv1_PredGene_g3350.t1, Pocillopora_acuta_HIv1_PredGene_g11225.t1, Pocillopora_acuta_HIv1_PredGene_g3389.t1, Pocillopora_acuta_HIv1_PredGene_g28222.t1, Pocillopora_acuta_HIv1_PredGene_g3395.t1
OG0000001	plut2.m8.26268.m1	Pocillopora_acuta_HIv1_PredGene_g30111.t1
OG0000001	plut2.m8.30823.m1, plut2.m8.3510.m1	Pocillopora_acuta_HIv1_PredGene_g20804.t1, Pocillopora_acuta_HIv1_PredGene_g20801.t1, Pocillopora_acuta_HIv1_PredGene_g17961.t1
OG0000001	plut2.m8.32638.m1, plut2.m8.32643.m1, plut2.m8.32652.m1, plut2.m8.32653.m1	Pocillopora_acuta_HIv1_PredGene_g3358.t1
OG0000002	plut2.m8.32872.m1, plut2.m8.23830.m1, plut2.m8.22088.m1, plut2.m8.17793.m1	Pocillopora_acuta_HIv1_PredGene_g2102.t1, Pocillopora_acuta_HIv1_PredGene_g26225.t1, Pocillopora_acuta_HIv1_PredGene_g21251.t1
OG0000002	plut2.m8.26633.m1, jamg1.model.Sc0000320.78, jamg1.model.Sc0000381.30, plut2.m8.30505.m1	Pocillopora_acuta_HIv1_PredGene_g26226.t1
OG0000002	jamg1.model.Sc0000984.4, jamg1.model.Sc0000322.13	Pocillopora_acuta_HIv1_PredGene_g2094.t1
OG0000002	jamg1.model.xpSc0007185.1, plut2.m8.32909.m1, plut2.m8.26871.m1, plut2.m8.16793.m1, jamg1.model.Sc0000436.16, jamg1.model.Sc0000436.12, jamg1.model.Sc0000685.4, jamg1.model.Sc0000095.5, jamg1.model.xfSc0000152.3, jamg1.model.Sc0000214.22, plut2.m8.1939.m1	Pocillopora_acuta_HIv1_PredGene_g10836.t1, Pocillopora_acuta_HIv1_PredGene_g16645.t1
OG0000002	plut2.m8.29992.m1, jamg1.model.Sc0000107.69, jamg1.model.xfSc0000004.62, jamg1.model.Sc0000083.5, jamg1.model.Sc0000322.18	Pocillopora_acuta_HIv1_PredGene_g11217.t1
OG0000002	jamg1.model.Sc0000436.17, jamg1.model.Sc0000436.11, plut2.m8.8697.m1, plut2.m8.29334.m1, plut2.m8.14397.m1, jamg1.model.Sc0000095.4, plut2.m8.5636.m1, plut2.m8.21792.m1, jamg1.model.xpSc0007169.4, jamg1.model.Sc0000685.5, plut2.m8.21791.m1	Pocillopora_acuta_HIv1_PredGene_g11216.t1
OG0000002	plut2.m8.11175.m1, plut2.m8.11174.m1, plut2.m8.30506.m1, plut2.m8.3988.m1, jamg1.model.Sc0000137.81, plut2.m8.28349.m1, jamg1.model.Sc0000148.13, plut2.m8.11176.m1, plut2.m8.11178.m1	Pocillopora_acuta_HIv1_PredGene_g6147.t1, Pocillopora_acuta_HIv1_PredGene_g27534.t1, Pocillopora_acuta_HIv1_PredGene_g32628.t1
OG0000003	plut2.m8.17369.m1	Pocillopora_acuta_HIv1_PredGene_g14581.t1, Pocillopora_acuta_HIv1_PredGene_g21306.t1, Pocillopora_acuta_HIv1_PredGene_g14581.t2, Pocillopora_acuta_HIv1_PredGene_g21306.t3, Pocillopora_acuta_HIv1_PredGene_g21306.t2, Pocillopora_acuta_HIv1_PredGene_g14581.t3
OG0000003	plut2.m8.17538.m1, plut2.m8.30215.m1, plut2.m8.11245.m1, plut2.m8.19481.m1, plut2.m8.25676.m1, plut2.m8.24512.m1, plut2.m8.25675.m1, plut2.m8.13873.m1, plut2.m8.17539.m1, plut2.m8.17535.m1	Pocillopora_acuta_HIv1_PredGene_g5973.t1
OG0000003	jamg1.model.xfSc0002268.1, plut2.m8.9049.m1, plut2.m8.9050.m1, plut2.m8.9051.m1	Pocillopora_acuta_HIv1_PredGene_g12361.t1
OG0000003	jamg1.model.Sc0000270.25, plut2.m8.32895.m1, plut2.m8.33138.m1, plut2.m8.29681.m1, plut2.m8.17381.m1, plut2.m8.23727.m1, plut2.m8.32811.m1, plut2.m8.29677.m1, plut2.m8.29680.m1	Pocillopora_acuta_HIv1_PredGene_g21239.t1
OG0000003	plut2.m8.24292.m1	Pocillopora_acuta_HIv1_PredGene_g21305.t1, Pocillopora_acuta_HIv1_PredGene_g14583.t1
OG0000004	plut2.m8.8386.m1	Pocillopora_acuta_HIv1_PredGene_g27104.t1
OG0000004	plut2.m8.14570.m1	Pocillopora_acuta_HIv1_PredGene_g21434.t1, Pocillopora_acuta_HIv1_PredGene_g21445.t1, Pocillopora_acuta_HIv1_PredGene_g21437.t1
OG0000004	plut2.m8.25105.m1	Pocillopora_acuta_HIv1_PredGene_g3261.t1, Pocillopora_acuta_HIv1_PredGene_g24696.t1
OG0000004	plut2.m8.14717.m1	Pocillopora_acuta_HIv1_PredGene_3330_t, Pocillopora_acuta_HIv1_PredGene_g9153.t1
OG0000005	plut2.m8.28874.m1, plut2.m8.32837.m1, plut2.m8.9030.m1	Pocillopora_acuta_HIv1_PredGene_g20967.t1, Pocillopora_acuta_HIv1_PredGene_g32004.t1, Pocillopora_acuta_HIv1_PredGene_g20954.t1, Pocillopora_acuta_HIv1_PredGene_g24631.t1, Pocillopora_acuta_HIv1_PredGene_g14370.t1, Pocillopora_acuta_HIv1_PredGene_g9735.t1, Pocillopora_acuta_HIv1_PredGene_g29877.t1, Pocillopora_acuta_HIv1_PredGene_g23877.t1, Pocillopora_acuta_HIv1_PredGene_g28476.t1, Pocillopora_acuta_HIv1_PredGene_g29498.t1, Pocillopora_acuta_HIv1_PredGene_g8354.t1, Pocillopora_acuta_HIv1_PredGene_g18501.t1, Pocillopora_acuta_HIv1_PredGene_g5642.t1, Pocillopora_acuta_HIv1_PredGene_g29499.t1, Pocillopora_acuta_HIv1_PredGene_g30288.t1, Pocillopora_acuta_HIv1_PredGene_g18395.t1, Pocillopora_acuta_HIv1_PredGene_g15535.t1, Pocillopora_acuta_HIv1_PredGene_g16023.t1, Pocillopora_acuta_HIv1_PredGene_g21558.t1, Pocillopora_acuta_HIv1_PredGene_g15668.t1, Pocillopora_acuta_HIv1_PredGene_g16776.t1, Pocillopora_acuta_HIv1_PredGene_g19349.t1, Pocillopora_acuta_HIv1_PredGene_g9445.t1, Pocillopora_acuta_HIv1_PredGene_g22221.t1, Pocillopora_acuta_HIv1_PredGene_g14163.t1, Pocillopora_acuta_HIv1_PredGene_g32134.t1, Pocillopora_acuta_HIv1_PredGene_g32127.t1, Pocillopora_acuta_HIv1_PredGene_g2007.t1
OG0000006	plut2.m8.1341.m1, plut2.m8.1350.m1, plut2.m8.1343.m1	Pocillopora_acuta_HIv1_PredGene_g12233.t1
OG0000006	plut2.m8.976.m1, plut2.m8.32944.m1	Pocillopora_acuta_HIv1_PredGene_g12236.t1
OG0000006	plut2.m8.654.m1	Pocillopora_acuta_HIv1_PredGene_g32359.t1, Pocillopora_acuta_HIv1_PredGene_g17515.t1, Pocillopora_acuta_HIv1_PredGene_g32356.t1, Pocillopora_acuta_HIv1_PredGene_g17513.t1, Pocillopora_acuta_HIv1_PredGene_g32357.t1, Pocillopora_acuta_HIv1_PredGene_g17512.t1, Pocillopora_acuta_HIv1_PredGene_g17514.t1, Pocillopora_acuta_HIv1_PredGene_g32355.t1, Pocillopora_acuta_HIv1_PredGene_g32348.t1
