Orthogroup	Pocillopora_acuta_HIv1.genes.pep	Acerv_assembly_v1.0.protein
OG0000000	Pocillopora_acuta_HIv1_PredGene_g17961.t1, Pocillopora_acuta_HIv1_PredGene_g20804.t1, Pocillopora_acuta_HIv1_PredGene_g20801.t1	Acerv_evm.model.Segkk2669_pilon.10, Acerv_evm.model.Segkk2669_pilon.8, Acerv_evm.model.Segkk2669_pilon.1, Acerv_evm.model.Segkk73_pilon.2, Acerv_evm.model.Segkk2669_pilon.2, Acerv_evm.model.Segkk2669_pilon.3, Acerv_evm.model.Segkk2669_pilon.5, Acerv_evm.model.Segkk793_pilon.1
OG0000000	Pocillopora_acuta_HIv1_PredGene_g17496.t1, Pocillopora_acuta_HIv1_PredGene_g3350.t1, Pocillopora_acuta_HIv1_PredGene_g11225.t1, Pocillopora_acuta_HIv1_PredGene_g3389.t1, Pocillopora_acuta_HIv1_PredGene_g28222.t1, Pocillopora_acuta_HIv1_PredGene_g3395.t1	Acerv_evm.model.Segkk3100_pilon.13
OG0000000	Pocillopora_acuta_HIv1_PredGene_g3358.t1	Acerv_evm.model.Segkk2896_pilon.4
OG0000000	Pocillopora_acuta_HIv1_PredGene_g30111.t1	Acerv_evm.model.Segkk2410_pilon.7
OG0000001	Pocillopora_acuta_HIv1_PredGene_g14419.t1	Acerv_evm.model.Segkk3741_pilon.25
OG0000002	Pocillopora_acuta_HIv1_PredGene_g20323.t1	Acerv_evm.model.Segkk1871_pilon.1, Acerv_evm.model.Segkk1871_pilon.6, Acerv_evm.model.Segkk1871_pilon.7
OG0000002	Pocillopora_acuta_HIv1_PredGene_g2033.t1, Pocillopora_acuta_HIv1_PredGene_g12008.t1	Acerv_evm.model.Segkk1092_pilon.8
OG0000002	Pocillopora_acuta_HIv1_PredGene_g32542.t1, Pocillopora_acuta_HIv1_PredGene_g32542.t2, Pocillopora_acuta_HIv1_PredGene_g30061.t1	Acerv_evm.model.Segkk2199_pilon.17, Acerv_evm.model.Segkk728_pilon.1
OG0000003	Pocillopora_acuta_HIv1_PredGene_g12233.t1	Acerv_evm.model.Segkk643_pilon.9, Acerv_evm.model.Segkk4332_pilon.12, Acerv_evm.model.Segkk895_pilon.8, Acerv_evm.model.Segkk3698_pilon.7
OG0000003	Pocillopora_acuta_HIv1_PredGene_g32359.t1	Acerv_evm.model.Segkk2353_pilon.15
