"","gene","prot","scaffold","Gene.Predict","id.x","gene.start","gene.stop","pos1.x","pos2.x","pos3.x","attr.x","Predict","id.y","start","stop","pos1.y","pos2.y","pos3.y","attr.y"
"1","LOC110039914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LOC110042871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",115074,115193,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",933,955,"0.0042","+",".","date=25-09-2020;Target=XP_020605257.1 933 955;Ontology_term=GO:0005515;ID=match$231972_933_955;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"4","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",115074,115193,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",961,983,"0.02","+",".","date=25-09-2020;Target=XP_020605257.1 961 983;Ontology_term=GO:0005515;ID=match$231972_961_983;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"5","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",112842,112919,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1677,1699,"0.0088","+",".","date=25-09-2020;Target=XP_020605257.1 1677 1699;Ontology_term=GO:0005515;ID=match$231972_1677_1699;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"6","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",115074,115193,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1789,1811,"0.54","+",".","date=25-09-2020;Target=XP_020605257.1 1789 1811;Ontology_term=GO:0005515;ID=match$231972_1789_1811;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"7","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",112842,112919,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1397,1419,"1.0","+",".","date=25-09-2020;Target=XP_020605257.1 1397 1419;Ontology_term=GO:0005515;ID=match$231972_1397_1419;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"8","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",115074,115193,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1537,1559,"0.065","+",".","date=25-09-2020;Target=XP_020605257.1 1537 1559;Ontology_term=GO:0005515;ID=match$231972_1537_1559;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"9","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",115074,115193,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1845,1864,"1.8","+",".","date=25-09-2020;Target=XP_020605257.1 1845 1864;Ontology_term=GO:0005515;ID=match$231972_1845_1864;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"10","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",112842,112919,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1761,1783,"5.9E-4","+",".","date=25-09-2020;Target=XP_020605257.1 1761 1783;Ontology_term=GO:0005515;ID=match$231972_1761_1783;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"11","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",112842,112919,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",989,1011,"3.5E-4","+",".","date=25-09-2020;Target=XP_020605257.1 989 1011;Ontology_term=GO:0005515;ID=match$231972_989_1011;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"12","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",112842,112919,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1229,1251,"0.0075","+",".","date=25-09-2020;Target=XP_020605257.1 1229 1251;Ontology_term=GO:0005515;ID=match$231972_1229_1251;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"13","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",112842,112919,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1017,1038,"0.2","+",".","date=25-09-2020;Target=XP_020605257.1 1017 1038;Ontology_term=GO:0005515;ID=match$231972_1017_1038;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"14","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",112842,112919,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1201,1223,"0.0054","+",".","date=25-09-2020;Target=XP_020605257.1 1201 1223;Ontology_term=GO:0005515;ID=match$231972_1201_1223;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"15","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",112842,112919,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",961,983,"0.02","+",".","date=25-09-2020;Target=XP_020605257.1 961 983;Ontology_term=GO:0005515;ID=match$231972_961_983;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"16","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",113272,113376,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",877,899,"0.32","+",".","date=25-09-2020;Target=XP_020605257.1 877 899;Ontology_term=GO:0005515;ID=match$231972_877_899;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"17","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",112842,112919,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1705,1727,"8.9E-5","+",".","date=25-09-2020;Target=XP_020605257.1 1705 1727;Ontology_term=GO:0005515;ID=match$231972_1705_1727;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"18","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",112842,112919,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1425,1447,"3.8E-6","+",".","date=25-09-2020;Target=XP_020605257.1 1425 1447;Ontology_term=GO:0005515;ID=match$231972_1425_1447;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"19","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",112842,112919,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1145,1167,"0.0062","+",".","date=25-09-2020;Target=XP_020605257.1 1145 1167;Ontology_term=GO:0005515;ID=match$231972_1145_1167;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"20","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",113272,113376,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1705,1727,"8.9E-5","+",".","date=25-09-2020;Target=XP_020605257.1 1705 1727;Ontology_term=GO:0005515;ID=match$231972_1705_1727;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
"21","LOC110044078","XP_020605257.1","NW_018148871.1","Gnomon","CDS",113272,113376,".","-","2","ID=cds-XP_020605257.1;Parent=rna-XM_020749598.1;Dbxref=GeneID:110044078,Genbank:XP_020605257.1;Name=XP_020605257.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC110044078;product=LOW QUALITY PROTEIN: protein NLRC5-like;protein_id=XP_020605257.1;transl_except=(pos:complement(109590..109592)%2Caa:Other)","Pfam","protein_match",1201,1223,"0.0054","+",".","date=25-09-2020;Target=XP_020605257.1 1201 1223;Ontology_term=GO:0005515;ID=match$231972_1201_1223;signature_desc=Leucine Rich repeat;Name=PF13516;status=T;Dbxref=InterPro:IPR001611"
