"","gene","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"Acerv_evm.TU.Segkk105_pilon.25","Acerv_evm.TU.Segkk105_pilon.25",93,63,216,206,93,128,110,122,242,303,124,160,68,183,64,"Segkk105_pilon","EVM","CDS",242184,242280,".","+","2","ID=cds.Acerv_evm.model.Segkk105_pilon.25;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=cds.Acerv_evm.model.Segkk105_pilon.25"
"Acerv_evm.TU.Segkk1157_pilon.2","Acerv_evm.TU.Segkk1157_pilon.2",57,0,917,634,51,112,32,67,544,795,28,44,33,100,27,"Segkk1157_pilon","EVM","CDS",28501,28769,".","+","2","ID=cds.Acerv_evm.model.Segkk1157_pilon.2;Parent=Acerv_evm.model.Segkk1157_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk1157_pilon.2"
"Acerv_evm.TU.Segkk119_pilon.17","Acerv_evm.TU.Segkk119_pilon.17",110,0,35,36,108,186,75,283,28,36,72,50,81,132,38,"Segkk119_pilon","EVM","exon",200300,200457,".","-",".","ID=Acerv_evm.model.Segkk119_pilon.17.exon4;Parent=Acerv_evm.model.Segkk119_pilon.17;transcript_id=Acerv_evm.model.Segkk119_pilon.17.exon4"
"Acerv_evm.TU.Segkk1268_pilon.2","Acerv_evm.TU.Segkk1268_pilon.2",25,0,7,6,27,35,30,43,10,12,35,50,14,39,28,"Segkk1268_pilon","EVM","CDS",5673,5835,".","-","1","ID=cds.Acerv_evm.model.Segkk1268_pilon.2;Parent=Acerv_evm.model.Segkk1268_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk1268_pilon.2"
"Acerv_evm.TU.Segkk1466_pilon.9","Acerv_evm.TU.Segkk1466_pilon.9",44,0,43,73,47,120,53,139,43,85,29,21,62,175,26,"Segkk1466_pilon","EVM","mRNA",86641,88407,".","+",".","ID=Acerv_evm.model.Segkk1466_pilon.9;Parent=Acerv_evm.TU.Segkk1466_pilon.9;product=Hepatic_leukemia_factor_;transcript_id=Acerv_evm.model.Segkk1466_pilon.9"
"Acerv_evm.TU.Segkk1600_pilon.13","Acerv_evm.TU.Segkk1600_pilon.13",82,20,76,72,49,127,51,45,81,96,29,49,47,85,25,"Segkk1600_pilon","EVM","exon",117162,119267,".","+",".","ID=Acerv_evm.model.Segkk1600_pilon.13.exon1;Parent=Acerv_evm.model.Segkk1600_pilon.13;transcript_id=Acerv_evm.model.Segkk1600_pilon.13.exon1"
"Acerv_evm.TU.Segkk1630_pilon.6","Acerv_evm.TU.Segkk1630_pilon.6",112,0,10,15,99,178,97,80,8,5,56,134,48,179,62,"Segkk1630_pilon","EVM","mRNA",24754,32930,".","+",".","ID=Acerv_evm.model.Segkk1630_pilon.6;Parent=Acerv_evm.TU.Segkk1630_pilon.6;product=PiggyBac_transposable_element-derived_protein_4_;transcript_id=Acerv_evm.model.Segkk1630_pilon.6"
"Acerv_evm.TU.Segkk1677_pilon.1","Acerv_evm.TU.Segkk1677_pilon.1",85,7,48,38,70,158,69,99,55,74,70,86,45,112,37,"Segkk1677_pilon","EVM","CDS",12161,15450,".","+","2","ID=cds.Acerv_evm.model.Segkk1677_pilon.1;Parent=Acerv_evm.model.Segkk1677_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk1677_pilon.1"
"Acerv_evm.TU.Segkk1708_pilon.21","Acerv_evm.TU.Segkk1708_pilon.21",14,0,7,4,10,14,10,20,11,15,10,18,9,22,7,"Segkk1708_pilon","EVM","exon",192697,192857,".","+",".","ID=Acerv_evm.model.Segkk1708_pilon.21.exon4;Parent=Acerv_evm.model.Segkk1708_pilon.21;transcript_id=Acerv_evm.model.Segkk1708_pilon.21.exon4"
"Acerv_evm.TU.Segkk1779_pilon.5","Acerv_evm.TU.Segkk1779_pilon.5",59,0,14,16,30,52,30,48,33,45,30,15,31,58,10,"Segkk1779_pilon","EVM","CDS",34098,35002,".","+","2","ID=cds.Acerv_evm.model.Segkk1779_pilon.5;Parent=Acerv_evm.model.Segkk1779_pilon.5;transcript_id=cds.Acerv_evm.model.Segkk1779_pilon.5"
"Acerv_evm.TU.Segkk1793_pilon.1","Acerv_evm.TU.Segkk1793_pilon.1",36,0,6,9,24,38,25,41,6,13,33,37,14,37,13,"Segkk1793_pilon","EVM","exon",2457,2543,".","+",".","ID=Acerv_evm.model.Segkk1793_pilon.1.exon2;Parent=Acerv_evm.model.Segkk1793_pilon.1;transcript_id=Acerv_evm.model.Segkk1793_pilon.1.exon2"
