"","gene","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"Acerv_evm.TU.Segkk1022_pilon.1","Acerv_evm.TU.Segkk1022_pilon.1",26,8,13,23,48,12,17,7,9,14,10,23,6,"Segkk1022_pilon","EVM","exon",29352,30163,".","+",".","ID=Acerv_evm.model.Segkk1022_pilon.1.exon6;Parent=Acerv_evm.model.Segkk1022_pilon.1;transcript_id=Acerv_evm.model.Segkk1022_pilon.1.exon6"
"Acerv_evm.TU.Segkk1038_pilon.1","Acerv_evm.TU.Segkk1038_pilon.1",130,106,73,83,125,77,81,117,64,61,55,202,64,"Segkk1038_pilon","EVM","CDS",2667,2779,".","+","2","ID=cds.Acerv_evm.model.Segkk1038_pilon.1;Parent=Acerv_evm.model.Segkk1038_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk1038_pilon.1"
"Acerv_evm.TU.Segkk1040_pilon.15","Acerv_evm.TU.Segkk1040_pilon.15",243,422,604,124,226,104,160,646,193,69,72,146,105,"Segkk1040_pilon","EVM","gene",105599,106661,".","+",".","ID=Acerv_evm.TU.Segkk1040_pilon.15;Name=Acerv_gene.model.Segkk1040_pilon.15"
"Acerv_evm.TU.Segkk1078_pilon.63","Acerv_evm.TU.Segkk1078_pilon.63",40,19,26,19,44,18,32,19,16,25,18,42,7,"Segkk1078_pilon","EVM","gene",619296,626782,".","+",".","ID=Acerv_evm.TU.Segkk1078_pilon.63;Name=Acerv_gene.model.Segkk1078_pilon.63"
"Acerv_evm.TU.Segkk1079_pilon.5","Acerv_evm.TU.Segkk1079_pilon.5",4548,7611,6411,4724,6933,2828,5159,2576,1067,2614,4117,10827,1405,"Segkk1079_pilon","EVM","CDS",58879,59423,".","+","1","ID=cds.Acerv_evm.model.Segkk1079_pilon.5;Parent=Acerv_evm.model.Segkk1079_pilon.5;transcript_id=cds.Acerv_evm.model.Segkk1079_pilon.5"
"Acerv_evm.TU.Segkk1157_pilon.2","Acerv_evm.TU.Segkk1157_pilon.2",57,917,634,51,112,32,67,544,28,44,33,100,27,"Segkk1157_pilon","EVM","exon",21825,21931,".","+",".","ID=Acerv_evm.model.Segkk1157_pilon.2.exon6;Parent=Acerv_evm.model.Segkk1157_pilon.2;transcript_id=Acerv_evm.model.Segkk1157_pilon.2.exon6"
"Acerv_evm.TU.Segkk119_pilon.17","Acerv_evm.TU.Segkk119_pilon.17",110,35,36,108,186,75,283,28,72,50,81,132,38,"Segkk119_pilon","EVM","CDS",201076,201139,".","-","0","ID=cds.Acerv_evm.model.Segkk119_pilon.17;Parent=Acerv_evm.model.Segkk119_pilon.17;transcript_id=cds.Acerv_evm.model.Segkk119_pilon.17"
"Acerv_evm.TU.Segkk1235_pilon.8","Acerv_evm.TU.Segkk1235_pilon.8",41,44,24,27,51,24,45,34,16,22,19,31,18,"Segkk1235_pilon","EVM","gene",35971,36735,".","+",".","ID=Acerv_evm.TU.Segkk1235_pilon.8;Name=Acerv_gene.model.Segkk1235_pilon.8"
"Acerv_evm.TU.Segkk1268_pilon.2","Acerv_evm.TU.Segkk1268_pilon.2",25,7,6,27,35,30,43,10,35,50,14,39,28,"Segkk1268_pilon","EVM","CDS",5673,5835,".","-","1","ID=cds.Acerv_evm.model.Segkk1268_pilon.2;Parent=Acerv_evm.model.Segkk1268_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk1268_pilon.2"
"Acerv_evm.TU.Segkk1271_pilon.4","Acerv_evm.TU.Segkk1271_pilon.4",176,204,201,129,241,91,123,160,106,84,80,185,47,"Segkk1271_pilon","EVM","start_codon",59647,59649,".","+",".","ID=Acerv_evm.model.Segkk1271_pilon.4:start;Parent=Acerv_evm.model.Segkk1271_pilon.4;transcript_id=Acerv_evm.model.Segkk1271_pilon.4:start"
