"","GO.IDs","gene_id","term","ontology","over_represented_pvalue","log2FoldChange","padj","Treatment_Compare","Species","Site","GO.Term","GO.Slim.Term","Cat"
"7","GO:0000010","Pocillopora_acuta_HIv1_PredGene_g4955.t1","trans-hexaprenyltranstransferase activity","MF",0.025012717,0.932705836,0.044854356,"CvsHigh","P.acuta","Hawaii","trans-hexaprenyltranstransferase activity","other molecular function","F"
"30","GO:0000035","Pocillopora_acuta_HIv1_PredGene_g24638.t1","acyl binding","MF",0.045040348,-2.790061721,5.09e-08,"CvsMid","P.acuta","Hawaii","acyl binding","other molecular function","F"
"31","GO:0000035","Pocillopora_acuta_HIv1_PredGene_g24638.t1","acyl binding","MF",0.045040348,-2.800082065,5.48e-08,"CvsHigh","P.acuta","Hawaii","acyl binding","other molecular function","F"
"32","GO:0000036","Pocillopora_acuta_HIv1_PredGene_g24638.t1","acyl carrier activity","MF",0.045866053,-2.790061721,5.09e-08,"CvsMid","P.acuta","Hawaii","acyl carrier activity","transporter activity","F"
"33","GO:0000036","Pocillopora_acuta_HIv1_PredGene_g24638.t1","acyl carrier activity","MF",0.045866053,-2.800082065,5.48e-08,"CvsHigh","P.acuta","Hawaii","acyl carrier activity","transporter activity","F"
"178","GO:0000170","Pocillopora_acuta_HIv1_PredGene_g8027.t1","sphingosine hydroxylase activity","MF",0.013092246,1.118018932,1.24e-05,"CvsHigh","P.acuta","Hawaii","sphingosine hydroxylase activity","other molecular function","F"
"1338","GO:0001972","Pocillopora_acuta_HIv1_PredGene_g28160.t1","retinoic acid binding","MF",0.014492203,1.564500504,0.000145701,"CvsHigh","P.acuta","Hawaii","retinoic acid binding","other molecular function","F"
"1339","GO:0001972","Pocillopora_acuta_HIv1_PredGene_g12087.t1","retinoic acid binding","MF",0.014492203,1.58446803,0.000113344,"CvsHigh","P.acuta","Hawaii","retinoic acid binding","other molecular function","F"
"2538","GO:0003725","Pocillopora_acuta_HIv1_PredGene_g28596.t1","double-stranded RNA binding","MF",0.031218323,-2.476070571,0.011147969,"CvsHigh","P.acuta","Hawaii","double-stranded RNA binding","nucleic acid binding activity","F"
"2539","GO:0003725","Pocillopora_acuta_HIv1_PredGene_g19003.t1","double-stranded RNA binding","MF",0.031218323,-1.543168552,0.02206762,"CvsHigh","P.acuta","Hawaii","double-stranded RNA binding","nucleic acid binding activity","F"
"2540","GO:0003725","Pocillopora_acuta_HIv1_PredGene_g6360.t1","double-stranded RNA binding","MF",0.031218323,-1.931875827,0.013821784,"CvsMid","P.acuta","Hawaii","double-stranded RNA binding","nucleic acid binding activity","F"
