"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"1","Pocillopora_acuta_HIv1_PredGene_17795_t","GO:0008614",0.0280627133165739,0.999801066136635,1,2,"pyridoxine metabolic process","BP",705,135,32,365,644,88,149,104,93,397,442,199,111,181.157324209446,1.19700450453109,0.298995531565562,4.00341937641505,6.24334842019145e-05,0.0118427256605906,"CvsHigh"
"2","Pocillopora_acuta_HIv1_PredGene_17795_t","GO:0008615",0.0392976531458539,0.999478008279032,1,3,"pyridoxine biosynthetic process","BP",705,135,32,365,644,88,149,104,93,397,442,199,111,181.157324209446,1.19700450453109,0.298995531565562,4.00341937641505,6.24334842019145e-05,0.0118427256605906,"CvsHigh"
"5","Pocillopora_acuta_HIv1_PredGene_17795_t","GO:0055114",0.0129138783984272,0.994023812817755,16,776,"oxidation-reduction process","BP",705,135,32,365,644,88,149,104,93,397,442,199,111,181.157324209446,1.19700450453109,0.298995531565562,4.00341937641505,6.24334842019145e-05,0.0118427256605906,"CvsHigh"
"7","Pocillopora_acuta_HIv1_PredGene_17795_t","GO:0002168",0.013160630881287,0.999334696930358,2,15,"instar larval development","BP",705,135,32,365,644,88,149,104,93,397,442,199,111,181.157324209446,1.19700450453109,0.298995531565562,4.00341937641505,6.24334842019145e-05,0.0118427256605906,"CvsHigh"
"9","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0016571",0.0248711000102883,0.996417174781107,3,62,"histone methylation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"10","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:1905516",0.0184369786565883,0.998851336965817,2,21,"positive regulation of fertilization","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"12","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0007292",0.0424138328719339,0.995741789441224,2,36,"female gamete generation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"13","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0060903",0.0120316600909532,0.999408753965941,2,18,"positive regulation of meiosis I","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"15","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0051567",0.015524627860811,0.999108169921077,2,24,"histone H3-K9 methylation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"17","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0006311",0.00794944630766018,0.999691031060166,2,15,"meiotic gene conversion","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"19","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:1905437",0.00781312350401769,0.999701510596395,2,14,"positive regulation of histone H3-K4 trimethylation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"20","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0044648",0.0174709558087123,0.998938355342737,2,22,"histone H3-K4 dimethylation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
