"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","X19_T33_Ac_WK","X25_ctl1_Ac_GF_1","X27_ctl2_Ac_YG_1","X31_T22_Ac_UV","X35_T43_Ac_MT","X37_T13_Ac_ML","X38_T23_Ac_IN","X41_ctl3_Ac_RN_1","X47_T31_Ac_JB","X52_T11_Ac_II","X53_T21_Ac_NH","X54_T42_Ac_JQ","X57_T32_Ac_NM","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"1","Acerv_evm.model.Segkk1022_pilon.1","GO:0036477",0.0110941526491426,0.998304929804106,4,36,"somatodendritic compartment","CC",26,8,13,23,48,12,17,7,9,14,10,23,6,2385,16.7543130019435,-1.92582675466436,0.529597611437035,-3.63639622436878,0.00027647895304548,0.0455815873666253,"CvsT3"
"2","Acerv_evm.model.Segkk1022_pilon.1","GO:0036477",0.0110941526491426,0.998304929804106,4,36,"somatodendritic compartment","CC",26,8,13,23,48,12,17,7,9,14,10,23,6,2385,16.7543130019435,-2.29057355954668,0.514700022374093,-4.45030786861293,8.57472767507857e-06,0.00168530680239968,"CvsT2"
"3","Acerv_evm.model.Segkk1022_pilon.1","GO:0036477",0.0110941526491426,0.998304929804106,4,36,"somatodendritic compartment","CC",26,8,13,23,48,12,17,7,9,14,10,23,6,2385,16.7543130019435,-2.49101680494707,0.536788030089989,-4.64059678180505,3.47404420667626e-06,0.00120803206432923,"CvsT4"
"16","Acerv_evm.model.Segkk1022_pilon.1","GO:0098793",0.00534615049028164,0.999116134218519,5,47,"presynapse","CC",26,8,13,23,48,12,17,7,9,14,10,23,6,2385,16.7543130019435,-1.92582675466436,0.529597611437035,-3.63639622436878,0.00027647895304548,0.0455815873666253,"CvsT3"
"17","Acerv_evm.model.Segkk1022_pilon.1","GO:0098793",0.00534615049028164,0.999116134218519,5,47,"presynapse","CC",26,8,13,23,48,12,17,7,9,14,10,23,6,2385,16.7543130019435,-2.29057355954668,0.514700022374093,-4.45030786861293,8.57472767507857e-06,0.00168530680239968,"CvsT2"
"18","Acerv_evm.model.Segkk1022_pilon.1","GO:0098793",0.00534615049028164,0.999116134218519,5,47,"presynapse","CC",26,8,13,23,48,12,17,7,9,14,10,23,6,2385,16.7543130019435,-2.49101680494707,0.536788030089989,-4.64059678180505,3.47404420667626e-06,0.00120803206432923,"CvsT4"
"28","Acerv_evm.model.Segkk1078_pilon.63","GO:0071944",0.0149057401211656,0.997494650624873,4,41,"cell periphery","CC",40,19,26,19,44,18,32,19,16,25,18,42,7,4242,24.8323641007104,-1.57492273869818,0.414064150194464,-3.80357183291169,0.000142624610837806,0.0215340556956614,"CvsT4"
"29","Acerv_evm.model.Segkk1078_pilon.63","GO:0071944",0.0149057401211656,0.997494650624873,4,41,"cell periphery","CC",40,19,26,19,44,18,32,19,16,25,18,42,7,4242,24.8323641007104,-1.5732386199431,0.393867659585848,-3.99433307521964,6.48766090043203e-05,0.00782065896010747,"CvsT2"
"40","Acerv_evm.model.Segkk1424_pilon.6","GO:0034362",0.02424851633823,1,1,1,"low-density lipoprotein particle","CC",285,626,341,125,245,202,83,387,106,280,49,285,139,855,213.466170369132,1.55061075932362,0.359293924228013,4.31571661740536,1.59085960188511e-05,0.00990928733289509,"T1vsT2"
"49","Acerv_evm.model.Segkk1575_pilon.7","GO:0008180",0.0324166105895982,0.997430552587002,2,12,"COP9 signalosome","CC",18,22,9,24,42,15,19,8,12,14,11,20,10,1956,17.8707116113022,-1.94556320612351,0.494905872384025,-3.93117825971933,8.45305649113783e-05,0.00943507206621939,"CvsT2"
"50","Acerv_evm.model.Segkk1630_pilon.6","GO:0035098",0.00798405368936271,0.99974569015649,2,6,"ESC/E(Z) complex","CC",112,10,15,99,178,97,80,8,56,134,48,179,62,2700,94.0690851613865,-4.89515178342068,0.38346737963803,-12.7654972583102,2.55513693095633e-37,7.70033099759206e-34,"CvsT1"
"51","Acerv_evm.model.Segkk1630_pilon.6","GO:0035098",0.00798405368936271,0.99974569015649,2,6,"ESC/E(Z) complex","CC",112,10,15,99,178,97,80,8,56,134,48,179,62,2700,94.0690851613865,-4.58861074777731,0.379354440516021,-12.0958403479754,1.11099546798373e-33,3.34817000868029e-30,"CvsT4"
"52","Acerv_evm.model.Segkk1630_pilon.6","GO:0035098",0.00798405368936271,0.99974569015649,2,6,"ESC/E(Z) complex","CC",112,10,15,99,178,97,80,8,56,134,48,179,62,2700,94.0690851613865,-4.3047837196881,0.364606757969853,-11.8066481917596,3.60653921700777e-32,1.08689070203224e-28,"CvsT3"
"53","Acerv_evm.model.Segkk1630_pilon.6","GO:0035098",0.00798405368936271,0.99974569015649,2,6,"ESC/E(Z) complex","CC",112,10,15,99,178,97,80,8,56,134,48,179,62,2700,94.0690851613865,-4.23781293379458,0.364173675861868,-11.6367909453236,2.67907066525565e-31,8.07382596152545e-28,"CvsT2"
"55","Acerv_evm.model.Segkk1732_pilon.65","GO:0005794",0.0364795901722606,0.986181141927686,8,161,"Golgi apparatus","CC",33,151,104,19,38,25,27,100,16,33,13,47,12,1860,36.4763660174834,1.12145019199981,0.311721441941561,3.59760363295784,0.000321162547196004,0.0261588341369286,"CvsT2"
"64","Acerv_evm.model.Segkk1793_pilon.1","GO:0000793",0.0145986544537164,0.999301284027216,2,8,"condensed chromosome","CC",36,6,9,24,38,25,41,6,33,37,14,37,13,682,28.2148757275827,-3.44992983255853,0.488798293809378,-7.05798255896519,1.68937256430611e-12,2.18194533627022e-09,"CvsT3"
"65","Acerv_evm.model.Segkk1793_pilon.1","GO:0000793",0.0145986544537164,0.999301284027216,2,8,"condensed chromosome","CC",36,6,9,24,38,25,41,6,33,37,14,37,13,682,28.2148757275827,-3.64688473949684,0.522311169670211,-6.9822070659517,2.90578412652653e-12,4.37853238132106e-09,"CvsT1"
"66","Acerv_evm.model.Segkk1793_pilon.1","GO:0000793",0.0145986544537164,0.999301284027216,2,8,"condensed chromosome","CC",36,6,9,24,38,25,41,6,33,37,14,37,13,682,28.2148757275827,-2.98672220368715,0.516873149139213,-5.7784433350062,7.53949273990963e-09,4.5443035907682e-06,"CvsT4"
"67","Acerv_evm.model.Segkk1793_pilon.1","GO:0000793",0.0145986544537164,0.999301284027216,2,8,"condensed chromosome","CC",36,6,9,24,38,25,41,6,33,37,14,37,13,682,28.2148757275827,-3.342112867859,0.488904249312729,-6.83592517871779,8.14774629295052e-12,6.69670674859688e-09,"CvsT2"
"80","Acerv_evm.model.Segkk1822_pilon.2","GO:0070652",0.0212607052772925,1,1,1,"HAUS complex","CC",386,406,368,522,938,404,1163,250,96,224,739,1588,352,3081,599.904250476083,-2.74925435197546,0.49611784161171,-5.54153493662738,2.99831738261229e-08,1.50598819201098e-05,"CvsT2"
"81","Acerv_evm.model.Segkk1822_pilon.2","GO:0070652",0.0212607052772925,1,1,1,"HAUS complex","CC",386,406,368,522,938,404,1163,250,96,224,739,1588,352,3081,599.904250476083,-2.47086024159738,0.553965664322637,-4.46031297737313,8.18400494402675e-06,0.00227523018835294,"CvsT4"
"95","Acerv_evm.model.Segkk1895_pilon.6","GO:0008180",0.0324166105895982,0.997430552587002,2,12,"COP9 signalosome","CC",106,116,145,64,136,116,91,128,94,113,44,123,91,459,108.038694294678,-1.18183823321385,0.291386487252983,-4.05591297096688,4.99388527291276e-05,0.0111050162432418,"CvsT3"
"96","Acerv_evm.model.Segkk1895_pilon.6","GO:0008180",0.0324166105895982,0.997430552587002,2,12,"COP9 signalosome","CC",106,116,145,64,136,116,91,128,94,113,44,123,91,459,108.038694294678,-1.3060326455052,0.323682686224193,-4.03491660533427,5.46216942987845e-05,0.010735537785985,"CvsT1"
"99","Acerv_evm.model.Segkk1895_pilon.6","GO:0044291",0.015719266612473,0.999217636998517,2,8,"cell-cell contact zone","CC",106,116,145,64,136,116,91,128,94,113,44,123,91,459,108.038694294678,-1.18183823321385,0.291386487252983,-4.05591297096688,4.99388527291276e-05,0.0111050162432418,"CvsT3"
"100","Acerv_evm.model.Segkk1895_pilon.6","GO:0044291",0.015719266612473,0.999217636998517,2,8,"cell-cell contact zone","CC",106,116,145,64,136,116,91,128,94,113,44,123,91,459,108.038694294678,-1.3060326455052,0.323682686224193,-4.03491660533427,5.46216942987845e-05,0.010735537785985,"CvsT1"
"109","Acerv_evm.model.Segkk1929_pilon.4","GO:0043204",0.0255005360526249,0.996445518385473,3,27,"perikaryon","CC",229,211,265,169,263,118,146,254,98,105,135,252,74,576,168.120660303619,-0.786410040888889,0.211927182126634,-3.71075589736753,0.000206641291149411,0.0189695858010449,"CvsT2"
"110","Acerv_evm.model.Segkk1929_pilon.4","GO:0044291",0.015719266612473,0.999217636998517,2,8,"cell-cell contact zone","CC",229,211,265,169,263,118,146,254,98,105,135,252,74,576,168.120660303619,-0.786410040888889,0.211927182126634,-3.71075589736753,0.000206641291149411,0.0189695858010449,"CvsT2"
"111","Acerv_evm.model.Segkk1929_pilon.4","GO:0001533",0.027822697259761,1,1,1,"cornified envelope","CC",229,211,265,169,263,118,146,254,98,105,135,252,74,576,168.120660303619,-0.786410040888889,0.211927182126634,-3.71075589736753,0.000206641291149411,0.0189695858010449,"CvsT2"
"116","Acerv_evm.model.Segkk1945_pilon.2","GO:0005770",0.0377183773296265,0.993812215624208,3,32,"late endosome","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.49558738735355,0.600891203235296,-4.15314348740155,3.27938961656946e-05,0.00470295028445673,"CvsT2"
"117","Acerv_evm.model.Segkk1945_pilon.2","GO:0005770",0.0377183773296265,0.993812215624208,3,32,"late endosome","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.97198302222227,0.59091760902446,-5.02943722920812,4.91921505897359e-07,0.00021178392070562,"CvsT3"
"118","Acerv_evm.model.Segkk1945_pilon.2","GO:0005770",0.0377183773296265,0.993812215624208,3,32,"late endosome","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.95364415423031,0.645065097699942,-4.57883113620917,4.67581480375564e-06,0.00169096166563019,"CvsT1"
"131","Acerv_evm.model.Segkk1945_pilon.2","GO:0005794",0.0364795901722606,0.986181141927686,8,161,"Golgi apparatus","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.49558738735355,0.600891203235296,-4.15314348740155,3.27938961656946e-05,0.00470295028445673,"CvsT2"
