"","GO.IDs","gene_id","term","ontology","over_represented_pvalue","log2FoldChange","padj","Treatment_Compare","Species","Site","GO.Term","GO.Slim.Term","Cat"
"48","GO:0000055","Acerv_evm.model.Segkk3087_pilon.2","ribosomal large subunit export from nucleus","BP",0.020514623,-3.190539144,1.35e-11,"CvsT4","A.cervicornis","Florida","ribosomal large subunit export from nucleus","transport","P"
"49","GO:0000055","Acerv_evm.model.Segkk3087_pilon.2","ribosomal large subunit export from nucleus","BP",0.020514623,-3.011216852,8.44e-11,"CvsT3","A.cervicornis","Florida","ribosomal large subunit export from nucleus","transport","P"
"50","GO:0000055","Acerv_evm.model.Segkk3087_pilon.2","ribosomal large subunit export from nucleus","BP",0.020514623,-3.08881108,8.44e-12,"CvsT2","A.cervicornis","Florida","ribosomal large subunit export from nucleus","transport","P"
"51","GO:0000055","Acerv_evm.model.Segkk3087_pilon.2","ribosomal large subunit export from nucleus","BP",0.020514623,-3.168032468,2.77e-10,"CvsT1","A.cervicornis","Florida","ribosomal large subunit export from nucleus","transport","P"
"191","GO:0000183","Acerv_evm.model.Segkk3209_pilon.11","rDNA heterochromatin assembly","BP",0.044079209,1.258191844,0.005323492,"CvsT2","A.cervicornis","Florida","chromatin silencing at rDNA","RNA metabolism","P"
"391","GO:0000398","Acerv_evm.model.Segkk3453_pilon.14","mRNA splicing, via spliceosome","BP",0.034957595,1.373336682,0.003790713,"CvsT2","A.cervicornis","Florida","nuclear mRNA splicing, via spliceosome","RNA metabolism","P"
"392","GO:0000398","Acerv_evm.model.Segkk1821_pilon.34","mRNA splicing, via spliceosome","BP",0.034957595,-1.68612304,0.011629261,"CvsT1","A.cervicornis","Florida","nuclear mRNA splicing, via spliceosome","RNA metabolism","P"
"393","GO:0000398","Acerv_evm.model.Segkk3453_pilon.14","mRNA splicing, via spliceosome","BP",0.034957595,1.325693825,0.019991259,"CvsT4","A.cervicornis","Florida","nuclear mRNA splicing, via spliceosome","RNA metabolism","P"
"394","GO:0000398","Acerv_evm.model.Segkk999_pilon.5","mRNA splicing, via spliceosome","BP",0.034957595,-1.407900655,0.016896259,"CvsT2","A.cervicornis","Florida","nuclear mRNA splicing, via spliceosome","RNA metabolism","P"
"408","GO:0000412","Acerv_evm.model.Segkk3453_pilon.14","histone peptidyl-prolyl isomerization","BP",0.030716833,1.373336682,0.003790713,"CvsT2","A.cervicornis","Florida","histone peptidyl-prolyl isomerization","cell organization and biogenesis","P"
"409","GO:0000412","Acerv_evm.model.Segkk3453_pilon.14","histone peptidyl-prolyl isomerization","BP",0.030716833,1.373336682,0.003790713,"CvsT2","A.cervicornis","Florida","histone peptidyl-prolyl isomerization","protein metabolism","P"
"410","GO:0000412","Acerv_evm.model.Segkk3453_pilon.14","histone peptidyl-prolyl isomerization","BP",0.030716833,1.325693825,0.019991259,"CvsT4","A.cervicornis","Florida","histone peptidyl-prolyl isomerization","cell organization and biogenesis","P"
"411","GO:0000412","Acerv_evm.model.Segkk3453_pilon.14","histone peptidyl-prolyl isomerization","BP",0.030716833,1.325693825,0.019991259,"CvsT4","A.cervicornis","Florida","histone peptidyl-prolyl isomerization","protein metabolism","P"
"477","GO:0000463","Acerv_evm.model.Segkk893_pilon.2","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",0.048184647,-0.760589572,0.013316569,"CvsT2","A.cervicornis","Florida","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","RNA metabolism","P"
"559","GO:0000720","Acerv_evm.model.Segkk3209_pilon.11","pyrimidine dimer repair by nucleotide-excision repair","BP",0.023199075,1.258191844,0.005323492,"CvsT2","A.cervicornis","Florida","pyrimidine dimer repair by nucleotide-excision repair","DNA metabolism","P"
