"","GO.IDs","gene_id","term","ontology","over_represented_pvalue","log2FoldChange","padj","Treatment_Compare","Species","Site","GO.Term","GO.Slim.Term","Cat"
"924","GO:0001595","Acerv_evm.model.Segkk4113_pilon.15","angiotensin receptor activity","MF",0.022782273,-1.720746028,0.031101355,"T1vsT2","A.cervicornis","Florida","angiotensin receptor activity","signal transduction activity","F"
"1031","GO:0001733","Acerv_evm.model.Segkk2116_pilon.21","galactosylceramide sulfotransferase activity","MF",0.045450337,0.730761808,0.02702159,"CvsT2","A.cervicornis","Florida","galactosylceramide sulfotransferase activity","other molecular function","F"
"1089","GO:0001784","Acerv_evm.model.Segkk2763_pilon.1","phosphotyrosine residue binding","MF",0.011361643,-1.575710714,0.024513937,"CvsT1","A.cervicornis","Florida","phosphotyrosine binding","other molecular function","F"
"1090","GO:0001784","Acerv_evm.model.Segkk1945_pilon.2","phosphotyrosine residue binding","MF",0.011361643,-2.953644154,0.001690962,"CvsT1","A.cervicornis","Florida","phosphotyrosine binding","other molecular function","F"
"1091","GO:0001784","Acerv_evm.model.Segkk1945_pilon.2","phosphotyrosine residue binding","MF",0.011361643,-2.495587387,0.00470295,"CvsT2","A.cervicornis","Florida","phosphotyrosine binding","other molecular function","F"
"1092","GO:0001784","Acerv_evm.model.Segkk1945_pilon.2","phosphotyrosine residue binding","MF",0.011361643,-2.971983022,0.000211784,"CvsT3","A.cervicornis","Florida","phosphotyrosine binding","other molecular function","F"
"2469","GO:0003690","Acerv_evm.model.Segkk4302_pilon.1","double-stranded DNA binding","MF",0.004158618,1.638823803,0.032737812,"T1vsT2","A.cervicornis","Florida","double-stranded DNA binding","nucleic acid binding activity","F"
"2470","GO:0003690","Acerv_evm.model.Segkk1945_pilon.2","double-stranded DNA binding","MF",0.004158618,-2.953644154,0.001690962,"CvsT1","A.cervicornis","Florida","double-stranded DNA binding","nucleic acid binding activity","F"
"2471","GO:0003690","Acerv_evm.model.Segkk3096_pilon.7","double-stranded DNA binding","MF",0.004158618,-2.129694522,0.011527798,"CvsT1","A.cervicornis","Florida","double-stranded DNA binding","nucleic acid binding activity","F"
"2472","GO:0003690","Acerv_evm.model.Segkk1945_pilon.2","double-stranded DNA binding","MF",0.004158618,-2.971983022,0.000211784,"CvsT3","A.cervicornis","Florida","double-stranded DNA binding","nucleic acid binding activity","F"
"2473","GO:0003690","Acerv_evm.model.Segkk3096_pilon.7","double-stranded DNA binding","MF",0.004158618,-1.716490536,0.036288986,"CvsT2","A.cervicornis","Florida","double-stranded DNA binding","nucleic acid binding activity","F"
"2474","GO:0003690","Acerv_evm.model.Segkk1945_pilon.2","double-stranded DNA binding","MF",0.004158618,-2.495587387,0.00470295,"CvsT2","A.cervicornis","Florida","double-stranded DNA binding","nucleic acid binding activity","F"
"2502","GO:0003723","Acerv_evm.model.Segkk3377_pilon.3","RNA binding","MF",0.026488352,2.273605709,0.012119733,"CvsT4","A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2503","GO:0003723","Acerv_evm.model.Segkk999_pilon.5","RNA binding","MF",0.026488352,-1.407900655,0.016896259,"CvsT2","A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2504","GO:0003723","Acerv_evm.model.Segkk3192_pilon.40","RNA binding","MF",0.026488352,-1.533216165,0.017452579,"T1vsT2","A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2505","GO:0003723","Acerv_evm.model.Segkk1851_pilon.3","RNA binding","MF",0.026488352,-1.663676546,0.003267425,"CvsT2","A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2506","GO:0003723","Acerv_evm.model.Segkk3395_pilon.4","RNA binding","MF",0.026488352,-1.842618737,0.001251042,"CvsT1","A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2507","GO:0003723","Acerv_evm.model.Segkk2838_pilon.7","RNA binding","MF",0.026488352,1.661276656,0.022442569,"CvsT2","A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2508","GO:0003723","Acerv_evm.model.Segkk3395_pilon.4","RNA binding","MF",0.026488352,-1.797626241,0.001305218,"CvsT4","A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2509","GO:0003723","Acerv_evm.model.Segkk3395_pilon.4","RNA binding","MF",0.026488352,-1.604234269,0.001491095,"CvsT2","A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2510","GO:0003723","Acerv_evm.model.Segkk3377_pilon.3","RNA binding","MF",0.026488352,2.015625137,0.009356018,"CvsT2","A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2511","GO:0003723","Acerv_evm.model.Segkk893_pilon.2","RNA binding","MF",0.026488352,-0.760589572,0.013316569,"CvsT2","A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2648","GO:0003968","Acerv_evm.model.Segkk2008_pilon.3","RNA-directed 5'-3' RNA polymerase activity","MF",0.042348194,-0.708447661,0.012374488,"CvsT2","A.cervicornis","Florida","RNA-directed RNA polymerase activity","other molecular function","F"
"2754","GO:0004089","Acerv_evm.model.Segkk3903_pilon.2","carbonate dehydratase activity","MF",0.045886458,-1.998539758,0.017452579,"T1vsT2","A.cervicornis","Florida","carbonate dehydratase activity","other molecular function","F"
"2755","GO:0004089","Acerv_evm.model.Segkk3903_pilon.2","carbonate dehydratase activity","MF",0.045886458,-1.514443734,0.03869906,"CvsT2","A.cervicornis","Florida","carbonate dehydratase activity","other molecular function","F"
"2827","GO:0004165","Acerv_evm.model.Segkk2237_pilon.15","dodecenoyl-CoA delta-isomerase activity","MF",0.026387443,1.689798995,0.009909287,"T1vsT2","A.cervicornis","Florida","dodecenoyl-CoA delta-isomerase activity","other molecular function","F"
"2949","GO:0004415","Acerv_evm.model.Segkk4124_pilon.3","hyalurononglucosaminidase activity","MF",0.048080123,1.96437116,0.017452579,"T1vsT2","A.cervicornis","Florida","hyalurononglucosaminidase activity","other molecular function","F"
"3053","GO:0004532","Acerv_evm.model.Segkk1851_pilon.3","exoribonuclease activity","MF",0.044274366,-1.663676546,0.003267425,"CvsT2","A.cervicornis","Florida","exoribonuclease activity","other molecular function","F"
"3469","GO:0005001","Acerv_evm.model.Segkk984_pilon.10","transmembrane receptor protein tyrosine phosphatase activity","MF",0.026197771,0.941687851,0.029710627,"CvsT2","A.cervicornis","Florida","transmembrane receptor protein tyrosine phosphatase activity","signal transduction activity","F"
"3470","GO:0005001","Acerv_evm.model.Segkk984_pilon.10","transmembrane receptor protein tyrosine phosphatase activity","MF",0.026197771,1.217256192,0.006310753,"CvsT4","A.cervicornis","Florida","transmembrane receptor protein tyrosine phosphatase activity","signal transduction activity","F"
"3501","GO:0005025","Acerv_evm.model.Segkk4124_pilon.10","transforming growth factor beta receptor activity, type I","MF",0.031712692,-3.779735827,0.007353092,"CvsT1","A.cervicornis","Florida","transforming growth factor beta receptor activity, type I","signal transduction activity","F"
"3502","GO:0005025","Acerv_evm.model.Segkk4124_pilon.10","transforming growth factor beta receptor activity, type I","MF",0.031712692,-3.779735827,0.007353092,"CvsT1","A.cervicornis","Florida","transforming growth factor beta receptor activity, type I","kinase activity","F"
"3604","GO:0005161","Acerv_evm.model.Segkk2763_pilon.1","platelet-derived growth factor receptor binding","MF",0.048939659,-1.575710714,0.024513937,"CvsT1","A.cervicornis","Florida","platelet-derived growth factor receptor binding","signal transduction activity","F"
"3741","GO:0005381","Acerv_evm.model.Segkk3419_pilon.10","iron ion transmembrane transporter activity","MF",0.029949103,-2.517370874,0.04991833,"CvsT4","A.cervicornis","Florida","iron ion transmembrane transporter activity","transporter activity","F"
"3742","GO:0005381","Acerv_evm.model.Segkk3419_pilon.10","iron ion transmembrane transporter activity","MF",0.029949103,-2.875865615,0.011902611,"CvsT1","A.cervicornis","Florida","iron ion transmembrane transporter activity","transporter activity","F"
"3743","GO:0005381","Acerv_evm.model.Segkk3419_pilon.10","iron ion transmembrane transporter activity","MF",0.029949103,-2.431610742,0.045581587,"CvsT3","A.cervicornis","Florida","iron ion transmembrane transporter activity","transporter activity","F"
"3744","GO:0005381","Acerv_evm.model.Segkk3419_pilon.10","iron ion transmembrane transporter activity","MF",0.029949103,-2.277502973,0.043986163,"CvsT2","A.cervicornis","Florida","iron ion transmembrane transporter activity","transporter activity","F"
"3811","GO:0005543","Acerv_evm.model.Segkk4025_pilon.2","phospholipid binding","MF",0.001147086,-0.842605507,0.032737812,"T1vsT2","A.cervicornis","Florida","phospholipid binding","other molecular function","F"
"3812","GO:0005543","Acerv_evm.model.Segkk2119_pilon.10","phospholipid binding","MF",0.001147086,1.170245445,0.00470295,"CvsT2","A.cervicornis","Florida","phospholipid binding","other molecular function","F"
"3813","GO:0005543","Acerv_evm.model.Segkk2119_pilon.10","phospholipid binding","MF",0.001147086,1.026515941,0.047726234,"CvsT4","A.cervicornis","Florida","phospholipid binding","other molecular function","F"
"3814","GO:0005543","Acerv_evm.model.Segkk3914_pilon.1","phospholipid binding","MF",0.001147086,-1.348994207,0.010735538,"CvsT1","A.cervicornis","Florida","phospholipid binding","other molecular function","F"
"3815","GO:0005543","Acerv_evm.model.Segkk2585_pilon.5","phospholipid binding","MF",0.001147086,-1.227653055,0.037119122,"CvsT2","A.cervicornis","Florida","phospholipid binding","other molecular function","F"
"6166","GO:0008254","Acerv_evm.model.Segkk2370_pilon.2","3'-nucleotidase activity","MF",0.026805507,-1.864251553,0.000675437,"CvsT3","A.cervicornis","Florida","3'-nucleotidase activity","other molecular function","F"
"6167","GO:0008254","Acerv_evm.model.Segkk2370_pilon.2","3'-nucleotidase activity","MF",0.026805507,-1.870808456,0.001307684,"CvsT4","A.cervicornis","Florida","3'-nucleotidase activity","other molecular function","F"
"6168","GO:0008254","Acerv_evm.model.Segkk2370_pilon.2","3'-nucleotidase activity","MF",0.026805507,-1.85170704,0.004907944,"CvsT1","A.cervicornis","Florida","3'-nucleotidase activity","other molecular function","F"
"6169","GO:0008254","Acerv_evm.model.Segkk2370_pilon.2","3'-nucleotidase activity","MF",0.026805507,-1.71577842,0.00227844,"CvsT2","A.cervicornis","Florida","3'-nucleotidase activity","other molecular function","F"
"8479","GO:0010698","Acerv_evm.model.Segkk3394_pilon.16","acetyltransferase activator activity","MF",0.021414665,-5.367576715,9.06e-45,"CvsT2","A.cervicornis","Florida","acetyltransferase activator activity","enzyme regulator activity","F"
"8480","GO:0010698","Acerv_evm.model.Segkk3394_pilon.16","acetyltransferase activator activity","MF",0.021414665,-5.21903369,1.07e-35,"CvsT1","A.cervicornis","Florida","acetyltransferase activator activity","enzyme regulator activity","F"
"8481","GO:0010698","Acerv_evm.model.Segkk3394_pilon.16","acetyltransferase activator activity","MF",0.021414665,-5.668645984,2.23e-43,"CvsT4","A.cervicornis","Florida","acetyltransferase activator activity","enzyme regulator activity","F"
"8482","GO:0010698","Acerv_evm.model.Segkk3394_pilon.16","acetyltransferase activator activity","MF",0.021414665,-5.146010627,1.03e-40,"CvsT3","A.cervicornis","Florida","acetyltransferase activator activity","enzyme regulator activity","F"
"10022","GO:0016034","Acerv_evm.model.Segkk2634_pilon.20","maleylacetoacetate isomerase activity","MF",0.022991107,-1.950081226,0.011902611,"CvsT1","A.cervicornis","Florida","maleylacetoacetate isomerase activity","other molecular function","F"
"10229","GO:0016247","Acerv_evm.model.Segkk223_pilon.4","channel regulator activity","MF",0.021364539,-1.81313044,0.019991259,"CvsT4","A.cervicornis","Florida","channel regulator activity","other molecular function","F"
"10230","GO:0016247","Acerv_evm.model.Segkk223_pilon.4","channel regulator activity","MF",0.021364539,-1.907117848,0.003129276,"CvsT3","A.cervicornis","Florida","channel regulator activity","other molecular function","F"
"10231","GO:0016247","Acerv_evm.model.Segkk223_pilon.4","channel regulator activity","MF",0.021364539,-2.106918486,0.003247754,"CvsT1","A.cervicornis","Florida","channel regulator activity","other molecular function","F"
"10232","GO:0016247","Acerv_evm.model.Segkk223_pilon.4","channel regulator activity","MF",0.021364539,-2.143028793,0.000200263,"CvsT2","A.cervicornis","Florida","channel regulator activity","other molecular function","F"
"10236","GO:0016251","Acerv_evm.model.Segkk2701_pilon.2","RNA polymerase II general transcription initiation factor activity","MF",0.01439035,-1.344041019,0.007410038,"CvsT2","A.cervicornis","Florida","general RNA polymerase II transcription factor activity","transcription regulatory activity","F"
"10237","GO:0016251","Acerv_evm.model.Segkk3047_pilon.5","RNA polymerase II general transcription initiation factor activity","MF",0.01439035,-2.818322328,1.71e-08,"CvsT3","A.cervicornis","Florida","general RNA polymerase II transcription factor activity","transcription regulatory activity","F"
"10238","GO:0016251","Acerv_evm.model.Segkk3047_pilon.5","RNA polymerase II general transcription initiation factor activity","MF",0.01439035,-2.85672963,6.79e-08,"CvsT4","A.cervicornis","Florida","general RNA polymerase II transcription factor activity","transcription regulatory activity","F"
"10239","GO:0016251","Acerv_evm.model.Segkk3047_pilon.5","RNA polymerase II general transcription initiation factor activity","MF",0.01439035,-2.727694155,2.07e-06,"CvsT1","A.cervicornis","Florida","general RNA polymerase II transcription factor activity","transcription regulatory activity","F"
"10240","GO:0016251","Acerv_evm.model.Segkk3047_pilon.5","RNA polymerase II general transcription initiation factor activity","MF",0.01439035,-3.30114616,1.16e-12,"CvsT2","A.cervicornis","Florida","general RNA polymerase II transcription factor activity","transcription regulatory activity","F"
"10330","GO:0016361","Acerv_evm.model.Segkk4124_pilon.10","activin receptor activity, type I","MF",0.031712692,-3.779735827,0.007353092,"CvsT1","A.cervicornis","Florida","activin receptor activity, type I","kinase activity","F"
"10331","GO:0016361","Acerv_evm.model.Segkk4124_pilon.10","activin receptor activity, type I","MF",0.031712692,-3.779735827,0.007353092,"CvsT1","A.cervicornis","Florida","activin receptor activity, type I","signal transduction activity","F"
"10786","GO:0016929","Acerv_evm.model.Segkk2788_pilon.3","SUMO-specific protease activity","MF",0.042104504,-0.839564994,0.026770889,"CvsT4","A.cervicornis","Florida","SUMO-specific protease activity","other molecular function","F"
"12792","GO:0019966","Acerv_evm.model.Segkk3450_pilon.3","interleukin-1 binding","MF",0.02140892,-0.872868173,0.014871409,"CvsT2","A.cervicornis","Florida","interleukin-1 binding","other molecular function","F"
"12793","GO:0019966","Acerv_evm.model.Segkk3450_pilon.3","interleukin-1 binding","MF",0.02140892,-0.938500769,0.032596441,"CvsT4","A.cervicornis","Florida","interleukin-1 binding","other molecular function","F"
