"","gene_id","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","start","stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","Acerv_evm.TU.Segkk0_pilon.10",21,0,35,42,7,20,12,11,28,28,6,7,11,18,5,"Segkk0_pilon",39451,41118,1667,NA,NA,NA,NA,NA,NA,NA
"2","Acerv_evm.TU.Segkk0_pilon.12",225,0,368,313,152,249,126,158,332,410,102,112,127,283,81,"Segkk0_pilon",59997,71870,11873,NA,NA,NA,NA,NA,NA,NA
"3","Acerv_evm.TU.Segkk0_pilon.15",40,0,95,83,23,39,41,49,118,186,41,40,20,47,24,"Segkk0_pilon",88002,96504,8502,NA,NA,NA,NA,NA,NA,NA
"4","Acerv_evm.TU.Segkk0_pilon.25",56,0,69,110,25,56,35,47,116,116,35,45,20,47,30,"Segkk0_pilon",212134,214279,2145,NA,NA,NA,NA,NA,NA,NA
"5","Acerv_evm.TU.Segkk0_pilon.8",103,0,203,173,68,107,70,68,179,229,47,41,37,114,30,"Segkk0_pilon",26871,30842,3971,NA,NA,NA,NA,NA,NA,NA
"6","Acerv_evm.TU.Segkk100_pilon.1",109,0,228,234,59,126,87,94,210,207,103,134,61,134,58,"Segkk100_pilon",1773,20245,18472,NA,NA,NA,NA,NA,NA,NA
"7","Acerv_evm.TU.Segkk1001_pilon.1",58,0,123,164,36,61,27,30,121,133,26,38,28,45,22,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"8","Acerv_evm.TU.Segkk1001_pilon.2",23,2,18,44,22,40,15,25,30,37,17,15,15,33,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Acerv_evm.TU.Segkk1001_pilon.5",47,2,55,87,41,90,25,20,18,22,10,24,26,48,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Acerv_evm.TU.Segkk1001_pilon.6",102,0,95,127,53,115,43,44,77,125,35,67,41,93,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
