,gene_id,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,X19_T33_Ac_WK,X25_ctl1_Ac_GF_1,X27_ctl2_Ac_YG_1,X31_T22_Ac_UV,X35_T43_Ac_MT,X37_T13_Ac_ML,X38_T23_Ac_IN,X41_ctl3_Ac_RN_1,X47_T31_Ac_JB,X52_T11_Ac_II,X53_T21_Ac_NH,X54_T42_Ac_JQ,X57_T32_Ac_NM,length,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Treatment_Compare
690,Acerv_evm.model.Segkk3422_pilon.23,GO:0009792,0.029388933,0.997790769,2,12,embryo development ending in birth or egg hatching,BP,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.571409273,0.316934902,-20.73425564,1.70E-95,1.54E-91,CvsT3
694,Acerv_evm.model.Segkk3422_pilon.23,GO:1902624,0.043230355,0.999524629,1,2,positive regulation of neutrophil migration,BP,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.571409273,0.316934902,-20.73425564,1.70E-95,1.54E-91,CvsT3
698,Acerv_evm.model.Segkk3422_pilon.23,GO:0005834,0.022310891,1,1,1,heterotrimeric G-protein complex,CC,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.571409273,0.316934902,-20.73425564,1.70E-95,1.54E-91,CvsT3
702,Acerv_evm.model.Segkk3422_pilon.23,GO:0040013,0.022310891,1,1,1,negative regulation of locomotion,BP,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.571409273,0.316934902,-20.73425564,1.70E-95,1.54E-91,CvsT3
691,Acerv_evm.model.Segkk3422_pilon.23,GO:0009792,0.029388933,0.997790769,2,12,embryo development ending in birth or egg hatching,BP,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.500485914,0.338080461,-19.22762969,2.17E-82,1.96E-78,CvsT1
695,Acerv_evm.model.Segkk3422_pilon.23,GO:1902624,0.043230355,0.999524629,1,2,positive regulation of neutrophil migration,BP,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.500485914,0.338080461,-19.22762969,2.17E-82,1.96E-78,CvsT1
699,Acerv_evm.model.Segkk3422_pilon.23,GO:0005834,0.022310891,1,1,1,heterotrimeric G-protein complex,CC,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.500485914,0.338080461,-19.22762969,2.17E-82,1.96E-78,CvsT1
703,Acerv_evm.model.Segkk3422_pilon.23,GO:0040013,0.022310891,1,1,1,negative regulation of locomotion,BP,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.500485914,0.338080461,-19.22762969,2.17E-82,1.96E-78,CvsT1
692,Acerv_evm.model.Segkk3422_pilon.23,GO:0009792,0.029388933,0.997790769,2,12,embryo development ending in birth or egg hatching,BP,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.433317876,0.336652167,-19.10968802,2.10E-81,1.90E-77,CvsT4
696,Acerv_evm.model.Segkk3422_pilon.23,GO:1902624,0.043230355,0.999524629,1,2,positive regulation of neutrophil migration,BP,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.433317876,0.336652167,-19.10968802,2.10E-81,1.90E-77,CvsT4
700,Acerv_evm.model.Segkk3422_pilon.23,GO:0005834,0.022310891,1,1,1,heterotrimeric G-protein complex,CC,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.433317876,0.336652167,-19.10968802,2.10E-81,1.90E-77,CvsT4
704,Acerv_evm.model.Segkk3422_pilon.23,GO:0040013,0.022310891,1,1,1,negative regulation of locomotion,BP,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.433317876,0.336652167,-19.10968802,2.10E-81,1.90E-77,CvsT4
693,Acerv_evm.model.Segkk3422_pilon.23,GO:0009792,0.029388933,0.997790769,2,12,embryo development ending in birth or egg hatching,BP,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.312290118,0.317141514,-19.9037018,3.78E-88,3.42E-84,CvsT2
697,Acerv_evm.model.Segkk3422_pilon.23,GO:1902624,0.043230355,0.999524629,1,2,positive regulation of neutrophil migration,BP,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.312290118,0.317141514,-19.9037018,3.78E-88,3.42E-84,CvsT2
701,Acerv_evm.model.Segkk3422_pilon.23,GO:0005834,0.022310891,1,1,1,heterotrimeric G-protein complex,CC,799,15,8,471,680,524,537,22,402,449,304,1079,353,1131,501.4147614,-6.312290118,0.317141514,-19.9037018,3.78E-88,3.42E-84,CvsT2
