"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","Treatment_Compare"
"LOC113665943",109,127,48,20,394,430,27,109,102,51,173,173,"CvsMid"
"LOC113673559",254,91,236,262,229,296,251,250,274,288,311,170,"CvsMid"
"LOC113680168",39,75,49,40,114,173,152,71,42,28,178,14,"CvsMid"
"LOC113670244",62,46,4,15,40,88,42,115,25,59,41,56,"CvsMid"
"LOC113664618",107,133,461,457,66,287,340,210,450,607,159,142,"CvsMid"
"LOC113687093",103,33,51,65,78,141,110,135,77,88,113,71,"CvsMid"
"LOC113667295",48,11,4,6,52,128,23,54,6,39,25,48,"CvsMid"
"LOC113668658",87,78,22,62,46,126,91,59,36,48,99,59,"CvsMid"
"LOC113673942",14,80,265,361,8,0,165,26,570,583,11,21,"CvsMid"
"LOC113674693",136,224,103,204,183,249,159,196,55,21,286,147,"CvsMid"
"LOC113684160",246,448,496,272,710,829,729,442,106,246,613,518,"CvsMid"
"LOC113683630",44,17,65,19,52,60,79,67,60,42,67,71,"CvsMid"
"LOC113685809",53,26,12,15,23,54,43,42,33,64,74,37,"CvsMid"
"LOC113666862",32,13,40,40,84,28,26,18,53,41,70,74,"CvsMid"
"LOC113686341",82,224,28,16,40,124,164,66,68,26,178,82,"CvsMid"
"LOC113671094",233,157,87,113,166,115,274,284,133,226,228,141,"CvsMid"
"LOC113664667",68,40,50,50,42,50,45,42,36,30,48,52,"CvsMid"
"LOC113672399",44,17,35,30,36,57,35,40,41,33,44,47,"CvsMid"
"LOC113672232",377,233,665,559,476,508,456,445,334,536,511,548,"CvsMid"
"LOC113668150",974,1112,59,214,355,842,796,930,197,381,1090,328,"CvsMid"
"LOC113666192",26,44,125,361,20,20,44,7,217,178,24,11,"CvsMid"
"LOC113685915",156,67,12,11,86,122,126,171,15,12,181,5,"CvsMid"
"LOC113678385",101,106,71,17,41,84,71,73,75,42,82,65,"CvsMid"
"LOC113670157",20,13,580,526,17,292,83,0,393,485,27,7,"CvsMid"
"LOC113672755",43,17,16,27,107,33,100,14,35,50,64,31,"CvsMid"
"LOC113685434",52,27,50,45,64,66,54,46,46,36,57,34,"CvsMid"
"LOC113675963",51,13,42,22,48,72,31,49,40,50,39,39,"CvsMid"
"LOC113670459",76,25,354,499,57,165,113,98,510,653,127,70,"CvsMid"
"LOC113664139",16,75,9,7,13,13,7,110,5,6,231,14,"CvsMid"
"LOC113675164",32,4,10,14,11,36,23,26,10,6,32,34,"CvsMid"
"LOC113669293",95,42,14,35,58,54,100,62,42,44,84,7,"CvsMid"
"LOC113677341",2546,1641,9101,11397,1126,3194,2889,3548,10531,9804,3718,2424,"CvsMid"
"LOC113674261",94,32,13,30,56,127,118,14,67,29,100,57,"CvsMid"
"LOC113671271",34,4,14,11,19,41,31,48,16,27,42,22,"CvsMid"
"LOC113668070",14,15,12,6,20,68,34,28,6,12,18,22,"CvsMid"
"LOC113685534",153,47,24,26,193,258,234,162,37,40,205,84,"CvsMid"
"LOC113685034",14,5,306,953,22,30,32,418,998,506,7,7,"CvsMid"
"LOC113686536",35,19,35,38,32,47,35,31,27,30,57,31,"CvsMid"
"LOC113678667",75,19,27,19,47,34,29,110,45,31,48,22,"CvsMid"
"LOC113665515",29,46,29,23,22,45,31,23,35,19,50,42,"CvsMid"
"LOC113679700",12,18,99,46,5,12,13,30,67,58,10,12,"CvsMid"
"LOC113669444",179,147,228,121,250,161,159,229,224,148,235,130,"CvsMid"
"LOC113669449",60,72,49,9,67,21,27,76,29,59,145,35,"CvsMid"
"LOC113671171",117,100,57,37,75,51,43,59,66,41,122,25,"CvsMid"
"LOC113680137",50,40,20,23,56,62,66,18,37,38,61,47,"CvsMid"
"LOC113671742",107,57,301,409,96,139,92,110,381,398,122,84,"CvsMid"
"LOC113671685",285,43,160,84,211,320,215,149,115,391,247,347,"CvsMid"
"LOC113675135",123,23,94,59,82,43,105,102,123,116,133,85,"CvsMid"
"LOC113673162",75,83,21,12,47,56,88,72,9,24,28,39,"CvsMid"
"LOC113672715",43,30,23,36,30,36,52,50,23,23,70,33,"CvsMid"
"LOC113686086",195,167,149,171,155,195,196,146,102,192,198,179,"CvsMid"
"LOC113669355",94,83,63,69,137,85,69,118,92,47,110,76,"CvsMid"
"LOC113681444",214,109,84,73,154,260,109,195,147,130,206,67,"CvsMid"
"LOC113677891",644,637,406,165,941,792,431,947,896,769,1094,543,"CvsMid"
"LOC113674431",1979,715,820,391,1609,1627,1762,1796,476,811,1770,267,"CvsMid"
"LOC113670678",57,94,16,36,134,34,152,34,25,37,44,37,"CvsMid"
"LOC113686351",37,50,5,42,20,32,34,44,7,9,41,44,"CvsMid"
"LOC113682626",200,103,48,112,112,231,265,252,37,102,333,139,"CvsMid"
"LOC113683892",77,80,1,8,84,162,96,165,8,11,153,89,"CvsMid"
"LOC113666383",45,22,8,50,153,195,115,140,53,61,134,289,"CvsMid"
"LOC113675698",1180,1242,11565,16852,1391,2782,3696,366,11325,12376,1199,1915,"CvsMid"
"LOC113680239",120,49,81,61,72,100,69,150,89,150,136,63,"CvsMid"
"LOC113670912",28,17,11,12,42,42,16,32,31,30,57,15,"CvsMid"
"LOC113668956",40,16,13,1,11,43,53,37,9,7,34,7,"CvsMid"
"LOC113686220",104,46,297,506,70,197,113,128,548,630,171,99,"CvsMid"
"LOC113672358",30,8,232,222,15,17,24,34,348,129,15,0,"CvsMid"
"LOC113666714",17,3,10,6,14,12,7,25,8,10,17,13,"CvsMid"
"LOC113666721",50,22,17,20,40,26,99,10,17,11,40,16,"CvsMid"
"LOC113667899",201,82,10,4,95,13,259,15,8,6,243,178,"CvsMid"
"LOC113664141",233,353,79,116,218,259,335,234,227,140,426,342,"CvsMid"
"LOC113667471",294,181,237,293,362,366,249,420,396,569,422,300,"CvsMid"
"LOC113678352",58,32,5,23,16,94,29,14,10,8,85,58,"CvsMid"
"LOC113684855",1279,372,314,183,647,2034,904,1767,1432,987,1608,1357,"CvsMid"
