"","GO.IDs","gene_id","term","ontology","over_represented_pvalue","log2FoldChange","padj","Treatment_Compare","Species","Site","GO.Term","GO.Slim.Term","Cat"
"250","GO:0000245","plut2.m8.26404","spliceosomal complex assembly","BP",0.004146037,-3.163892784,0.010173491,"CvsHigh","P.lobata","Hawaii","spliceosome assembly","RNA metabolism","P"
"251","GO:0000245","plut2.m8.26404","spliceosomal complex assembly","BP",0.004146037,-3.163892784,0.010173491,"CvsHigh","P.lobata","Hawaii","spliceosome assembly","cell organization and biogenesis","P"
"252","GO:0000245","plut2.m8.7161","spliceosomal complex assembly","BP",0.004146037,-1.274131318,0.041816981,"CvsMid","P.lobata","Hawaii","spliceosome assembly","RNA metabolism","P"
"253","GO:0000245","plut2.m8.7161","spliceosomal complex assembly","BP",0.004146037,-1.274131318,0.041816981,"CvsMid","P.lobata","Hawaii","spliceosome assembly","cell organization and biogenesis","P"
"254","GO:0000245","plut2.m8.26404","spliceosomal complex assembly","BP",0.004146037,-3.013390926,0.017983616,"CvsMid","P.lobata","Hawaii","spliceosome assembly","RNA metabolism","P"
"255","GO:0000245","plut2.m8.26404","spliceosomal complex assembly","BP",0.004146037,-3.013390926,0.017983616,"CvsMid","P.lobata","Hawaii","spliceosome assembly","cell organization and biogenesis","P"
"507","GO:0000578","jamg1.model.Sc0000225.27","embryonic axis specification","BP",0.03784146,-1.229896511,0.001063275,"CvsHigh","P.lobata","Hawaii","embryonic axis specification","developmental processes","P"
"543","GO:0000717","plut2.m8.10671","nucleotide-excision repair, DNA duplex unwinding","BP",0.015494047,-1.923426966,0.000224193,"CvsMid","P.lobata","Hawaii","nucleotide-excision repair, DNA duplex unwinding","stress response","P"
"544","GO:0000717","plut2.m8.10671","nucleotide-excision repair, DNA duplex unwinding","BP",0.015494047,-1.923426966,0.000224193,"CvsMid","P.lobata","Hawaii","nucleotide-excision repair, DNA duplex unwinding","DNA metabolism","P"
"545","GO:0000717","plut2.m8.10671","nucleotide-excision repair, DNA duplex unwinding","BP",0.015494047,-2.029422588,3.37e-05,"CvsHigh","P.lobata","Hawaii","nucleotide-excision repair, DNA duplex unwinding","stress response","P"
"546","GO:0000717","plut2.m8.10671","nucleotide-excision repair, DNA duplex unwinding","BP",0.015494047,-2.029422588,3.37e-05,"CvsHigh","P.lobata","Hawaii","nucleotide-excision repair, DNA duplex unwinding","DNA metabolism","P"
"942","GO:0001654","jamg1.model.xfSc0000800.1","eye development","BP",0.001623067,-1.821912475,0.000741426,"CvsMid","P.lobata","Hawaii","eye development","developmental processes","P"
"943","GO:0001654","plut2.m8.33535","eye development","BP",0.001623067,-1.20524184,0.000414935,"CvsHigh","P.lobata","Hawaii","eye development","developmental processes","P"
"944","GO:0001654","jamg1.model.Sc0000225.27","eye development","BP",0.001623067,-1.229896511,0.001063275,"CvsHigh","P.lobata","Hawaii","eye development","developmental processes","P"
