"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"6","jamg1.model.Sc0000055.95","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",35,8,10,8,116,6,6,24,17,10,73,5,3270,24.6234791683458,2.65062307069962,0.596770036276003,4.44161554631693,8.92859805025643e-06,0.0193170218817298,"MidvsHigh"
"7","jamg1.model.Sc0000055.95","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",35,8,10,8,116,6,6,24,17,10,73,5,3270,24.6234791683458,-2.29750495807373,0.564529990498902,-4.06976599426245,4.70603822157489e-05,0.00977138882087813,"CvsMid"
"27","jamg1.model.Sc0000225.27","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"66","plut2.m8.10411","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",481,199,369,163,242,390,466,384,281,296,540,355,3697,380.699216079369,-1.59918592823888,0.355522870766415,-4.49812391757372,6.85557371939991e-06,0.00214722639956481,"CvsMid"
"120","plut2.m8.1212","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",682,223,85,97,162,170,240,461,413,121,75,53,2664,180.48500445574,0.782628118801629,0.21896843848903,3.5741594734021,0.000351354747603249,0.0495281256598525,"CvsMid"
"122","plut2.m8.1221","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",18,43,15,3,32,18,19,10,12,14,25,14,2343,20.0640908482059,-2.31420775665462,0.406290721600647,-5.69594045253466,1.22693698166252e-08,9.92204564381295e-06,"CvsMid"
"123","plut2.m8.1221","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",18,43,15,3,32,18,19,10,12,14,25,14,2343,20.0640908482059,-2.22162626834008,0.40202587208747,-5.52607785365791,3.27468861383767e-08,2.64038813629722e-05,"CvsHigh"
"261","plut2.m8.21905","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",161,33,14,35,29,42,39,107,87,20,9,10,1180,36.5947694584531,1.36251190883715,0.289448815522775,4.70726372252143,2.5106401808545e-06,0.000989127855867419,"CvsMid"
"268","plut2.m8.22300","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",42,55,13,0,74,61,40,37,27,34,22,12,957,33.4385811254953,-2.09145136483422,0.453911054626533,-4.60762377015694,4.0729676595161e-06,0.00156452870221162,"CvsHigh"
"330","plut2.m8.24633","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,1626,1485.67812011291,-4.63774906255612,0.280036534393105,-16.561228600429,1.32853292606253e-61,2.04129084089508e-57,"CvsHigh"
"331","plut2.m8.24633","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,1626,1485.67812011291,-5.05325759810502,0.280013336524623,-18.0464890023574,8.40678662831793e-73,1.29170276544105e-68,"CvsMid"
"453","plut2.m8.33367","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",25,22,22,5,55,18,23,10,9,16,42,7,1965,22.1476384211051,-2.59524466612575,0.390301881754144,-6.64932655323585,2.94437090747496e-11,3.4800199225656e-08,"CvsMid"
"454","plut2.m8.33367","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",25,22,22,5,55,18,23,10,9,16,42,7,1965,22.1476384211051,-1.81406914296758,0.399673710521842,-4.53887532557245,5.65550601776659e-06,0.00202085697588334,"CvsHigh"
"459","plut2.m8.33377","GO:0005576",0.0438769750138629,0.979067108014765,12,695,"extracellular region","CC",16,30,22,16,25,19,35,11,12,17,17,11,4155,21.4678000378603,-1.68023544979038,0.455813869250015,-3.68623151497123,0.000227599315698285,0.0403333120526608,"CvsHigh"
